time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction
0.0,11.572872709327106,11.572872709327104,1.7763568394002505e-15,1.5349316319435567e-16,3.1251792600821884e-16,2.700435180249986e-17,11.572872709327106,0.0
5.0,11.572543448351192,11.572542972297853,4.760533389713828e-7,4.1136448620481e-8,8.659770442024574e-5,7.483031263329049e-6,11.572543448351192,0.0
10.0,11.57211282657152,11.572112050489894,7.76081625630809e-7,6.706481670735138e-8,8.927227265240748e-5,7.714431581363718e-6,11.57211282657152,0.0
15.0,11.571714282837862,11.571713662867705,6.199701569897798e-7,5.35763450286069e-8,8.908878971476001e-5,7.698841116988915e-6,11.571714282837862,0.0
20.0,11.571311785079214,11.571311130908727,6.541704866691589e-7,5.6533822510312785e-8,8.909052418649489e-5,7.69925880844157e-6,11.571311785079214,0.0
25.0,11.570913405978288,11.570912794004125,6.119741637888865e-7,5.288901077357478e-8,8.903734095158731e-5,7.694927602308805e-6,11.570913405978288,0.0
30.0,11.570514142635435,11.570513532027507,6.106079286638533e-7,5.277275677956814e-8,8.889294229257742e-5,7.682713248240336e-6,11.570514142635435,0.0
35.0,11.57012084542977,11.570120247233277,5.981964932288975e-7,5.170183624012767e-8,8.884408865891949e-5,7.678752006640722e-6,11.57012084542977,0.0
40.0,11.56972887266113,11.569728283895108,5.887660226022717e-7,5.088848918434947e-8,8.879647379126654e-5,7.674896686739957e-6,11.56972887266113,0.0
45.0,11.56933984546911,11.569339264988841,5.804802682973786e-7,5.017401822842222e-8,8.877409936205479e-5,7.673220818802492e-6,11.56933984546911,0.0
50.0,11.56894780605341,11.56894723946695,5.665864595272296e-7,4.8974761493068996e-8,8.874911585948311e-5,7.671321311783036e-6,11.56894780605341,0.0
55.0,11.568564010573052,11.568563453764073,5.568089793683839e-7,4.813120961767512e-8,8.873237293650888e-5,7.670128535867736e-6,11.568564010573052,0.0
60.0,11.568178600400723,11.568178054005019,5.463957037932232e-7,4.7232647650711065e-8,8.871494667932481e-5,7.668877681076925e-6,11.568178600400723,0.0
65.0,11.567799209864573,11.567798672592911,5.372716618268214e-7,4.644545190312924e-8,8.870025119683631e-5,7.667858819782778e-6,11.567799209864573,0.0
