time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,increment_left,increment_left_relative,increment_left_net_abs,increment_left_net_abs_relative,increment_moved_net_abs,increment_moved_net_abs_relative
0.0,2.797045234315121e-9,2.4755373367908736e-17,6.911249350594062e-10,6.116832005920909e-18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,4.1885087759263584e-8,3.706726753712708e-16,1.4028911018981738e-8,1.2415239547400413e-16,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.002162882933512e-12,8.86889384379033e-21,1.6068294120421016e-8,1.4220043191748198e-16,3.709569588442531e-8,3.28287740908406e-16,260833.69099229152,0.0023083137039791157
1200.0,0.0004307696581534043,3.811803003244618e-12,9.928696453539998e-5,8.785724399008222e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.1719657697468004e-8,1.0370513698599131e-16,0.0003355090906288125,2.9688594242153946e-12,0.0005341419737367471,4.726525977657579e-12,276205.61121909856,0.0024440936320149105
1800.0,0.0004440174061232094,3.928614120089363e-12,8.853319436730178e-5,7.833313574907109e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.771752970715452e-73,1.1297531093307289e-7,9.99592348481035e-16,0.0003637016869616942,3.2179900228991177e-12,0.0005408550078584261,4.785421903491881e-12,294760.9347080277,0.0026080103035946416
2400.0,0.00044454277764449657,3.932815640139625e-12,8.740856543565378e-5,7.732928989398976e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,8255.353241399662,7.303410149791662e-5,0.0003694667958745037,3.268627602110164e-12,0.0005443641476087169,4.8159231041628e-12,357884.4206879282,0.0031661597439546613
3000.0,0.00045200071060770564,3.998364388063788e-12,8.180129814072679e-5,7.236081486321775e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,8.509428612891104e-51,225141.65929147505,0.001991586233504647,0.00038531974987653713,3.4085096102008815e-12,0.0005489955868900002,4.856373789487875e-12,452648.21058449044,0.00400409212429891
3600.0,0.0004824500245199925,4.267271376976493e-12,6.819075792918738e-5,6.031473825191935e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,8.86307160748052e-48,1.0823795131586245e6,0.00957364883569645,0.00042634770561440224,3.7710462604247335e-12,0.0005627898651938466,4.9778774192903805e-12,538194.1660845446,0.004760328414271102
