time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,increment_left,increment_left_relative,increment_left_net_abs,increment_left_net_abs_relative,increment_moved_net_abs,increment_moved_net_abs_relative
0.0,2.797045234315121e-9,2.4755373367908736e-17,6.911249350594062e-10,6.116832005920909e-18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,8.003553375601768e-9,7.082980857323872e-17,112.8347617654824,9.98564537673894e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.020691960009718523,1.8311960921773427e-10,-112.8365301940662,-9.985801879047587e-7,112.83653019406711,9.985801879047668e-7,262989.90796516807,0.002327406835900056
1200.0,55.81499078725134,4.938988409311791e-7,114.65410272832541,1.0145576958235119e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4218696601353868e-300,0.020691960009718523,1.8310018368270644e-10,-58.67157573595876,-5.191763510639999e-7,170.6548940723938,1.5101006592092854e-6,284800.60891792766,0.002520159703639818
1800.0,70.14696192402282,6.206514087587078e-7,110.39425829476846,9.767543746760087e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.74543010325848e-90,0.020691960009718523,1.8307983379124153e-10,-39.795834763611495,-3.5210849096382023e-7,181.02842868214424,1.601716542031314e-6,322866.5267575053,0.0028566820169648875
2400.0,64.86904794943953,5.738890838677354e-7,114.198846304225,1.010304195236e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,6378.728882944586,5.643188840580726e-5,-48.5850145618408,-4.298260939227536e-7,179.8692808830759,1.5912830554009798e-6,415792.6786722999,0.003678470503037798
3000.0,48.93298869799691,4.3285718789249706e-7,124.41592605912196,1.1005730350003517e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,13733.742572582572,0.0001214875556834915,-74.52532973891805,-6.592449289505521e-7,174.39757010268096,1.542706541712243e-6,648421.9091912305,0.005735886804557467
3600.0,43.722047595871004,3.867210012988085e-7,130.73279537521333,1.156330051085467e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.5908962153431412e-50,61511.48872435188,0.0005440684007010729,-85.94315595080128,-7.601662125085891e-7,175.64745500038356,1.553599691880637e-6,789987.3350612324,0.0069874287693952415
