time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,increment_left,increment_left_relative,increment_left_net_abs,increment_left_net_abs_relative,increment_moved_net_abs,increment_moved_net_abs_relative
0.0,2.797045234315121e-9,2.4755373367908736e-17,6.911249350594062e-10,6.116832005920909e-18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,44.789788974522075,3.9616521944237397e-7,131.5848949987088,1.1638670329998233e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,121311.41105825974,0.0010729981739832993,-85.71323153046198,-7.581326448690376e-7,177.5793794440131,1.5706877714002161e-6,831095.7296474064,0.007351033118300105
7200.0,69.38150121937426,6.132842945699776e-7,127.6508975897741,1.128345298151436e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,547600.535839704,0.004840408501204573,-56.972814942116976,-5.036001240585035e-7,198.60766666770945,1.7555538667774298e-6,1.2398727576417588e6,0.010959614251104218
10800.0,49.38054528104744,4.3623416839015917e-7,213.23746700800257,1.8837675558346299e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5185197743537922e6,0.013414801460353325,-162.61902571303133,-1.4365976528325081e-6,261.4156004319262,2.3093794612754934e-6,2.2409928719666437e6,0.019797222900368647
14400.0,128.44593378792126,1.1340579398667007e-6,181.75950022996403,1.6047670666035339e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.01347231195444357,-53.052914846662205,-4.684078159630073e-7,309.9482321303157,2.7365541534027597e-6,3.673642773921242e6,0.03243484346400608
18000.0,156.0272845140472,1.3767762748879186e-6,178.12431029014988,1.5717592288557293e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.013464495037617178,-22.25670275245122,-1.9639193492500164e-7,334.3581904877915,2.9503584928224677e-6,4.353300837316646e6,0.03841328988666511
21600.0,147.71120828297566,1.3026703170510482e-6,226.44609516501077,1.9970360408836667e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.013457001905089565,-79.91557286575375,-7.047782348575234e-7,375.5211601613637,3.3117342580370805e-6,5.250453895052637e6,0.04630393671296251
25200.0,196.16769456955134,1.729139085302511e-6,268.57680877510575,2.3673962141314667e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.013450229254265512,-75.30329390480655,-6.637681552436117e-7,468.01051201128234,4.125323848184527e-6,7.306829704032414e6,0.06440675595752719
28800.0,262.17116286648627,2.309781852584789e-6,281.3262148105423,2.4785417988807566e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.013443529104736633,-23.47281048764542,-2.0680028688409175e-7,548.3790995857142,4.8313326252625225e-6,8.661821379138675e6,0.07631242739711315
32400.0,272.74890192668306,2.401764983620975e-6,328.87418348982465,2.895991486466646e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.0134367657272915,-61.83696389618266,-5.445222823269465e-7,608.1819648530401,5.3555124751574036e-6,9.612457716650413e6,0.084645122995194
36000.0,311.20121730945095,2.7389910056579877e-6,363.95088764766115,3.203259345791482e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.01343001711893062,-60.97334327383351,-5.366477684624889e-7,684.4585963273454,6.024160044405316e-6,1.197202287898114e7,0.10536997017095262
39600.0,344.5983683113947,3.0316045256672537e-6,363.80660707727657,3.200589027416617e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.013424143230844255,-29.981914342451834,-2.637659245287244e-7,720.5393200321017,6.3389454634811594e-6,1.3695303139292145e7,0.12048444448798083
43200.0,347.7172818626374,3.0577229086989225e-6,411.8170037087111,3.6213968994768567e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.013418349461262162,-77.42080940841375,-6.808156939166412e-7,774.613849696747,6.811725033985753e-6,1.4846129479176486e7,0.1305524705899472
46800.0,367.0893205206152,3.226547803554999e-6,402.3844244409702,3.5367756790730267e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.01341200173941062,-51.418595908130364,-4.5194602080488235e-7,787.8099165163854,6.924490072742502e-6,1.543541878479504e7,0.13567029546487483
50400.0,380.72412952567475,3.3451005610240784e-6,399.4089231164253,3.509268021596928e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.013406827545815547,-38.49570210696759,-3.3822913949652656e-7,802.4972985910847,7.050864275615385e-6,1.717022804854327e7,0.150860255559978
54000.0,372.74546306809174,3.273803073508622e-6,405.2488179306238,3.5592782666134146e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.013401932717325062,-55.86846580800992,-4.906896882633883e-7,804.3336924644883,7.064418954539366e-6,1.8175736833990306e7,0.15963650535306825
57600.0,374.28487266758094,3.2858000975397203e-6,417.77574439583987,3.667601022456391e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.0133957215247793,-69.64406294689516,-6.113965204979321e-7,821.5520383993563,7.2123026203735146e-6,1.989774403699503e7,0.1746798069385122
61200.0,401.91228562871447,3.5268184739557096e-6,407.9890079181496,3.5801422891208837e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.013389953610714395,-35.1838134969287,-3.087413046632059e-7,842.7436464226188,7.395155528432402e-6,2.153039232494032e7,0.18893123728310504
64800.0,423.5444808450798,3.7155147095613255e-6,403.4932006892632,3.539616239072881e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.01338588856890481,-11.48563430447399,-1.0075693377415194e-7,862.6225113741078,7.567296411026913e-6,2.213886999574695e7,0.19421170819683278
68400.0,412.98328479277717,3.6218143387997866e-6,476.83076793982764,4.181749179926097e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.013381997881612914,-98.40464580763832,-8.629970517316493e-7,929.0664452455819,8.147802337270397e-6,2.354190275990526e7,0.2064596900604302
72000.0,471.161100547308,4.130754639531067e-6,482.455708155976,4.22977650854146e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.013377877629451642,-49.946873414911074,-4.378932786451435e-7,997.3828593385189,8.744236034799048e-6,2.615031438061603e7,0.22926453887523254
75600.0,485.01792967635794,4.2512099295727586e-6,479.80103434347257,4.205483543219365e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398902e6,0.013374637047438753,-37.698245382299326,-3.304272796752926e-7,1013.3251061412752,8.881852586331603e-6,2.7683944479259e7,0.2426513587621369
79200.0,482.20430382913975,4.225605596773143e-6,520.7927475610632,4.563760073018047e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398904e6,0.013371653804546703,-85.56488065455255,-7.49813794090931e-7,1056.0974092911406,9.254689533048049e-6,2.8990788716313634e7,0.25404924444210164
82800.0,526.0057820219481,4.608503894531826e-6,519.727357865122,4.553496624332183e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5259041257398904e6,0.013368931191446566,-45.118515465961494,-3.952976589745964e-7,1103.6720940876778,9.669622117722136e-6,3.0809650829335503e7,0.26993314653380335
