time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,repair_gross,repair_gross_relative,repair_events
0.0,2.798899160482885e-9,2.6429235736493592e-18,1.4229920488648097e-9,1.3436922930840986e-18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
21600.0,970923.0769510214,0.0009168361125688496,979517.5968662781,0.0009249518597537287,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.08616117626987248,8.136141758387133e-11,0.08616117626987248,8.136141758387133e-11,46.0
43200.0,1.309170451722195e6,0.0012367436250158674,1.325219354512942e6,0.0012519046593860257,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,3.528044887343725,3.332863965461743e-9,3.5280448873437256,3.3328639654617436e-9,279.0
64800.0,1.3930778464230755e6,0.0013164645562330612,1.413554725696808e6,0.0013358152952139073,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.1251896239186703e-269,3.5286681299604643,3.3346065589441283e-9,3.5286681299604643,3.3346065589441283e-9,280.0
86400.0,1.6040670823370926e6,0.0015172205772031118,1.62573175954909e6,0.0015377122975472602,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,3.5521752892997105,3.359855396387565e-9,3.552175289299711,3.3598553963875656e-9,311.0
108000.0,1.7140954981619602e6,0.0016217705821136995,1.7395336780038166e6,0.001645838606196534,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,6.420373223687486e-269,3.609610301145082,3.4151888302424918e-9,3.6096103011450826,3.4151888302424926e-9,411.0
129600.0,1.807225855605528e6,0.0017110841772174415,1.832573155577017e6,0.0017350830392201474,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4298497508310616e-268,3.6266630054462228,3.4337300263113293e-9,3.626663005446223,3.4337300263113297e-9,421.0
151200.0,1.8956110170591695e6,0.0017957244395731312,1.9210516569932937e6,0.0018198245204847526,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.0872905988194864e-268,3.6324784905782854,3.4410701051288197e-9,3.632478490578286,3.44107010512882e-9,426.0
172800.0,1.9641077696950983e6,0.0018619377918492894,1.985922940310346e6,0.0018826181695917365,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.848636355346764e-268,3.6445912440608934,3.455005004238353e-9,3.644591244060893,3.4550050042383524e-9,438.0
194400.0,1.9815464136554382e6,0.0018798672365550376,1.999732672158249e6,0.0018971203027862175,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.6822039395778317e-268,3.65515817082251,3.4676008810109463e-9,3.65515817082251,3.4676008810109463e-9,448.0
216000.0,2.0301271965396707e6,0.0019267468174587632,2.0434782126615609e6,0.001939417958393449,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.853799458088213e-268,3.6866791685557896,3.4989420205363876e-9,3.68667916855579,3.498942020536388e-9,469.0
237600.0,2.0337226096452647e6,0.001931442504263371,2.040093088099954e6,0.0019374925982149876,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.8668857215609327e-267,3.6894051468266373,3.5038573511615493e-9,3.689405146826638,3.5038573511615497e-9,474.0
259200.0,2.1213740709831254e6,0.0020154417485268032,2.119562308738991e6,0.002013720457918429,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.393465319941623e-267,3.7196522400878247,3.5339087609381267e-9,3.719652240087825,3.533908760938127e-9,492.0
280800.0,2.180474788606449e6,0.00207336371316769,2.167030276807105e6,0.0020605796337315645,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.7297820989798444e-266,4.161392055478083,3.9569727332673305e-9,4.161392055478083,3.9569727332673305e-9,537.0
302400.0,2.2332980826642727e6,0.0021244419070629893,2.20901794677245e6,0.0021013452418223886,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.5250253749707897e-266,4.161392055478083,3.958556066922315e-9,4.161392055478083,3.958556066922315e-9,537.0
324000.0,2.339748574216096e6,0.0022268130227697204,2.303213441793322e6,0.002192041376976579,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.933085686254793e-266,4.162022870035923,3.9611293410731294e-9,4.162022870035924,3.96112934107313e-9,538.0
345600.0,2.4281772256686175e6,0.002311921563663071,2.378912182465288e6,0.002265015219878709,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.4278628465803103e-265,4.162022870035923,3.962754579845524e-9,4.162022870035924,3.962754579845525e-9,538.0
