time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,copy_residual,copy_residual_relative,copy_repair,copy_repair_relative,fix_gross,fix_gross_relative,fix_events,copy_repair_events
0.0,1.6927559738976023e-16,5.541235145747802e-18,3.675875500810642e-16,1.2032975119021722e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21600.0,0.008465486707880832,0.0002776283387853509,0.008402523267923777,0.0002755634326739025,0.0,0.0,0.0,0.0,0.0,9.938823610783532e-6,3.259468928081503e-7,0.004597472326360441,0.00015077557246541241,2.385602399946845e-95,7.82365921953453e-97,0.0,185734.0
43200.0,0.008281119752316211,0.0002742180389041439,0.008118060365228224,0.00026881854865529523,0.0,0.0,0.0,0.0,0.0,1.3979308509384305e-5,4.629058242524736e-7,0.019825666804308632,0.0006565000427054453,2.385602399946845e-95,7.899598499773798e-97,0.0,371469.0
64800.0,0.009193116299393083,0.000306816936779834,0.008810933236837164,0.00029406171507658153,0.0,0.0,0.0,0.0,0.0,1.1838754578551326e-5,3.9511415898427763e-7,0.04606697074161579,0.0015374685133268584,2.385602399946845e-95,7.961861863692874e-97,0.0,557227.0
86400.0,0.012857769398931096,0.0004369744322209521,0.012711215624871952,0.00043199376642874586,0.0,0.0,0.0,0.0,0.0,1.5574154404958034e-5,5.292914398506586e-7,0.07241170314627585,0.002460929410596407,2.385602399946845e-95,8.107528000217324e-97,0.0,742984.0
108000.0,0.010703164677741366,0.00036663751009855065,0.01084156605717907,0.0003713784571622515,0.0,0.0,0.0,0.0,0.0,1.2906146603433775e-5,4.421007802944848e-7,0.10177292236884433,0.0034862371995793965,2.385602399946845e-95,8.171894484820832e-97,0.0,928743.0
129600.0,0.01352308538142029,0.0004698557437273197,0.014086015209546486,0.0004894145800135953,0.0,0.0,0.0,0.0,0.0,1.5364734946687737e-5,5.338433324888832e-7,0.13055357238278664,0.004536046628268066,2.385602399946845e-95,8.288707482426471e-97,0.0,1.114502e6
151200.0,0.011808931576486234,0.00041508461911523637,0.012972440591010711,0.0004559820274034416,0.0,0.0,0.0,0.0,0.0,1.6425546540755452e-5,5.77358898683514e-7,0.1642906972040014,0.005774827386491721,2.385602399946845e-95,8.385406055820111e-97,0.0,1.300262e6
172800.0,0.011064028928304749,0.00039541232884042704,0.012424203393281777,0.0004440229892346652,0.0,0.0,0.0,0.0,0.0,1.2859629377916459e-5,4.59584481683548e-7,0.19386238397630667,0.006928360113604097,2.385602399946845e-95,8.525796586061779e-97,0.0,1.486022e6
194400.0,0.008308452716970716,0.0003017964148027503,0.01017201780997471,0.00036948859323585075,0.0,0.0,0.0,0.0,0.0,6.616981556307335e-6,2.40355380061377e-7,0.2207497466924799,0.008018518536468977,2.385602399946845e-95,8.665467277417405e-97,0.0,1.671781e6
216000.0,0.008358789408555082,0.0003070497395674701,0.010155362796604766,0.0003730446299698902,0.0,0.0,0.0,0.0,0.0,4.485155100771542e-6,1.6475659791142793e-7,0.2332605467217835,0.00856853625825108,2.385602399946845e-95,8.763213903505098e-97,0.0,1.857541e6
237600.0,0.009701454594103065,0.0003625324513269933,0.011612710979072615,0.00043395395370443535,0.0,0.0,0.0,0.0,0.0,3.4792363338857306e-6,1.3001515026790168e-7,0.24482085292069905,0.009148680033946196,2.385602399946845e-95,8.914727967391444e-97,0.0,2.043301e6
