time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction
0.0,1.5962989363691207e-16,1.3793454542039427e-17,1.7537949521798297e-16,1.5154361377934856e-17,0.0,0.0,0.0,0.0,0.0
3600.0,0.022030583154378662,0.0019026713195695185,0.022585142539594885,0.0019505658410106951,0.0,0.0,0.0,0.0,0.0
7200.0,0.014846963062277042,0.0012766240072225258,0.015443956467156846,0.0013279568023285835,0.0,0.0,0.0,0.0,0.0
10800.0,0.010566221271212844,0.0009043634058806176,0.011191826334508775,0.0009579089744671747,0.0,0.0,0.0,0.0,0.0
14400.0,0.007645985995927953,0.0006512579275312389,0.008291947889474635,0.0007062786670773765,0.0,0.0,0.0,0.0,0.0
18000.0,0.005593716603225895,0.00047403863173542404,0.006253664944425686,0.0005299658498747907,0.0,0.0,0.0,0.0,0.0
21600.0,0.004128076024135607,0.0003479840093483633,0.004797001564604245,0.00040437235834359266,0.0,0.0,0.0,0.0,0.0
25200.0,0.0030785241790651924,0.0002580876505388051,0.0037525334116819825,0.00031459312172219277,0.0,0.0,0.0,0.0,0.0
28800.0,0.00231942913380311,0.00019335003167966248,0.0029955801510748795,0.0002497146856819909,0.0,0.0,0.0,0.0,0.0
32400.0,0.001779324729736856,0.00014746614221066456,0.0024554807263015314,0.00020350432044738593,0.0,0.0,0.0,0.0,0.0
36000.0,0.0014327518167280202,0.00011803926806678959,0.002107415775624323,0.00017362240463612865,0.0,0.0,0.0,0.0,0.0
39600.0,0.0012165008082889897,9.961820687508657e-5,0.0018886653057018912,0.00015466118054277046,0.0,0.0,0.0,0.0,0.0
43200.0,0.0010519672057543472,8.561669801101768e-5,0.0017209880706497331,0.0001400664537063429,0.0,0.0,0.0,0.0,0.0
46800.0,0.0009178824553329355,7.424007465726855e-5,0.0015833780666292064,0.00012806662246811972,0.0,0.0,0.0,0.0,0.0
50400.0,0.0008080829633470041,6.494901936454514e-5,0.0014698569547990856,0.00011813857258535296,0.0,0.0,0.0,0.0,0.0
54000.0,0.0007087239556973781,5.660226884567877e-5,0.0013667156811043727,0.00010915280596287154,0.0,0.0,0.0,0.0,0.0
57600.0,0.0006210739538081039,4.9285466180700244e-5,0.00127542181599155,0.00010121139099901926,0.0,0.0,0.0,0.0,0.0
61200.0,0.0005550995022985555,4.376706946875743e-5,0.0012058474612271588,9.507558444155928e-5,0.0,0.0,0.0,0.0,0.0
64800.0,0.0004964055155844073,3.888657219030702e-5,0.00114363524501025,8.958815548637602e-5,0.0,0.0,0.0,0.0,0.0
68400.0,0.000443312053801455,3.450222978577349e-5,0.0010871287681342044,8.460939927812105e-5,0.0,0.0,0.0,0.0,0.0
72000.0,0.0003947484740213377,3.0522721459594706e-5,0.0010352703816941073,8.004912387352121e-5,0.0,0.0,0.0,0.0,0.0
75600.0,0.0003501484278893292,2.6897566797098856e-5,0.0009874990186207002,7.585731849641502e-5,0.0,0.0,0.0,0.0,0.0
79200.0,0.00030835452001914954,2.3532280987940575e-5,0.0009426572923392417,7.193952038478525e-5,0.0,0.0,0.0,0.0,0.0
82800.0,0.00027644134909010675,2.095879506928927e-5,0.0009078098004591784,6.882689450164179e-5,0.0,0.0,0.0,0.0,0.0
86400.0,0.00023924221606334232,1.8019764658354655e-5,0.0008677866900269897,6.536184200784508e-5,0.0,0.0,0.0,0.0,0.0
