# process_record_extrema.csv, from analysis/reduce_run.jl
# run: c3_column_record
# generated: 1789027808 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# min and max of every e_prc_<process>. A record is a signed running total of what a process applied, not a share of what is present, so it is not comparable with a tag value directly.
time,geometry,remapped,min_e_prc_radiation,max_e_prc_radiation
0.0,column,false,0.0,0.0
3600.0,column,false,-3976.4305596468066,442.0161199340467
7200.0,column,false,-5921.217775350955,594.0317944038679
10800.0,column,false,-6856.92402145319,1251.2273332027723
14400.0,column,false,-10254.800315675044,1901.6576295217722
18000.0,column,false,-13235.151083324352,2435.7629209712777
21600.0,column,false,-15682.815064671908,2910.488960217864
25200.0,column,false,-17440.521014895217,3324.399577727511
28800.0,column,false,-17706.965820986752,3709.984097868936
32400.0,column,false,-17920.849865020133,4187.559943716946
36000.0,column,false,-18123.434049835058,4634.930511476459
39600.0,column,false,-18316.531269011935,5032.910883290211
43200.0,column,false,-18493.62212517501,5377.647014641754
46800.0,column,false,-18881.629402144965,5665.266153614155
50400.0,column,false,-19107.056289576638,5890.0792010566665
54000.0,column,false,-19321.55955602935,6155.018098725772
57600.0,column,false,-19502.582475755997,6384.951239125795
61200.0,column,false,-19680.63536674066,6582.91584086826
64800.0,column,false,-19850.320730057298,6771.2588888717655
68400.0,column,false,-20012.46204309187,6946.377550849111
72000.0,column,false,-20145.85134090612,7078.724127337649
75600.0,column,false,-20245.343195204336,7177.601615914295
79200.0,column,false,-20339.502932505144,7292.186811705903
82800.0,column,false,-20461.819820802262,7409.892959982802
86400.0,column,false,-20565.795089624895,7587.324107300024
