time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,repair_gross,repair_gross_relative,repair_events
0.0,4.111511009645985e-9,3.686863348880568e-18,3.1401742667767635e-9,2.8158488171661283e-18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
21600.0,2.194006829323415e6,0.0019673626013219435,2.19998713496909e6,0.0019727251323380405,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.5935436921124597e-219,0.11977975508324262,1.0740632499259037e-10,0.11977975508324264,1.0740632499259039e-10,47.0
43200.0,2.6850253134246725e6,0.002405119904022212,2.696421495502632e6,0.0024153280701085873,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,265.36458059054246,2.3770116110628818e-7,265.3645805905425,2.3770116110628823e-7,583.0
64800.0,4.0491461932526664e6,0.0036234044493233634,4.0703684771752353e6,0.0036423953462482454,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,24394.813903215727,2.182985573220859e-5,24394.813903215734,2.1829855732208598e-5,784.0
86400.0,4.744446757853088e6,0.0042410436640422395,4.777048563798908e6,0.004270186299548475,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,32391.212275576643,2.8954386591987817e-5,32391.21227557665,2.8954386591987824e-5,1419.0
108000.0,5.146441135175615e6,0.004594779374256982,5.1877215942662945e6,0.004631634862740723,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.343538925907205e-86,42092.74377109781,3.758070204347622e-5,42092.74377109782,3.7580702043476226e-5,2266.0
129600.0,7.719618188518782e6,0.0068815311620389116,7.781850792815211e6,0.006937007429815684,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.237290874867999e-72,87441.40993544071,7.794825762474821e-5,87441.40993544071,7.794825762474821e-5,3901.0
151200.0,9.630865328198742e6,0.008582265864890727,9.738390486928405e6,0.008678083786534861,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.8766399113587644e-62,87441.40993544266,7.79208723300902e-5,87441.40993544266,7.79208723300902e-5,3901.0
172800.0,1.1830325938732455e7,0.010539747079273656,1.197985358805172e7,0.010672962648594837,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.2792284611718375e-61,87454.16047992646,7.791372251806222e-5,87454.16047992646,7.791372251806222e-5,4137.0
194400.0,1.175794894039613e7,0.010475566034727341,1.1965563991495205e7,0.010660537511352786,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.9535111072284e-61,87454.16047992646,7.791595607050212e-5,87454.16047992646,7.791595607050212e-5,4137.0
216000.0,1.265127092336701e7,0.011260112164841449,1.291348182803048e7,0.011493489840115311,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.1079653106004673e-60,87454.16047992646,7.783752812274266e-5,87454.16047992646,7.783752812274266e-5,4137.0
237600.0,1.4553372618057437e7,0.012935679399866147,1.4837354480463883e7,0.013188095003030784,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,7.245191488161167e-60,87515.69948232044,7.778781322163637e-5,87515.69948232044,7.778781322163637e-5,4882.0
259200.0,1.644408162022816e7,0.014610573223142983,1.6790202967579324e7,0.014918102181363815,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.377789559981571e-59,87515.69948232044,7.775773466656377e-5,87515.69948232044,7.775773466656377e-5,4882.0
280800.0,1.8220604871565644e7,0.016193586038839063,1.8630446546185818e7,0.01655783335483354,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.966343623605662e-57,87515.69948232044,7.777969059236638e-5,87515.69948232044,7.777969059236638e-5,4882.0
302400.0,1.881906989856067e7,0.016724352594307663,1.928900004269812e7,0.01714197564728594,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.0621618990047225e-57,87515.69948232044,7.777448213802207e-5,87515.69948232044,7.777448213802207e-5,4882.0
