rung,variant,tag,L1,share,parent_bit_for_bit
z30_c,baseline,sfc,0.14327358871612833,0.060711377895649406,True
z30_c,baseline,air,0.009587223242267412,0.9392975281465109,True
z30_c,baseline,evap,0.06494359740884834,0.011437888317141535,True
z30_c,converged_first,sfc,0.1396234674566271,0.060712718519437714,True
z30_c,converged_first,air,0.00934535860474049,0.9392954658788266,True
z30_c,converged_first,evap,0.06565674163837394,0.011438271234938905,True
z30_c,tags_after_first,sfc,0.14351535398683482,0.0607226092832567,True
z30_c,tags_after_first,air,0.009167418650556107,0.9392827900811376,True
z30_c,tags_after_first,evap,0.06370144644796573,0.011059534640034488,True
z60_c,baseline,sfc,0.24251503605878302,0.06115392024700496,True
z60_c,baseline,air,0.01622305062728598,0.9388432189676258,True
z60_c,baseline,evap,0.11681450289927033,0.011364931923573206,True
z60_c,converged_first,sfc,0.2354722324913851,0.06117272616569541,True
z60_c,converged_first,air,0.015680110892278356,0.9388239887796394,True
z60_c,converged_first,evap,0.10911922410336602,0.01135494272376216,True
z60_c,tags_after_first,sfc,0.24274922942812407,0.06116533688524975,True
z60_c,tags_after_first,air,0.01589290868703927,0.9388310175129446,True
z60_c,tags_after_first,evap,0.11243971869608449,0.010988871553793609,True
