rule,rung,mode,metric,window,value,threshold,verdict,od3_row,note
R10,z60_fo,default,"E n2 / E n1, each tag",established,,0.75,"not assessable (startup ends at 21.0 h, after 6 h)",Refinement,
R2,z60_fo,copies,"E rho_q_tot, n2",whole 6 h,0.016254021493228715,0.001,reported,Parent validity: Newton,E n1 = 0.05911349106501564
R10,z60_fo,copies,"E n2 / E n1, tropo",whole 6 h,0.24700989805592977,0.75,reported,Refinement,"E n1 = 0.05232009029620054, E n2 = 0.012923580170341536"
R10,z60_fo,copies,"E n2 / E n1, strat",whole 6 h,0.24379500604357385,0.75,reported,Refinement,"E n1 = 0.042823810273094925, E n2 = 0.010440231084338038"
R10,z60_fo,copies,"E n2 / E n1, evap",whole 6 h,0.2967791456842808,0.75,reported,Refinement,"E n1 = 0.07775518428667753, E n2 = 0.023076117165123974"
R10,z60_fo,copies,"E n2 / E n1, evap_tropo",whole 6 h,0.2967791456842785,0.75,reported,Refinement,"E n1 = 0.07775518428667727, E n2 = 0.023076117165123717"
R10,z60_fo,copies,"E n2 / E n1, evap_strat",whole 6 h,0.2967791456842786,0.75,reported,Refinement,"E n1 = 0.07775518428667759, E n2 = 0.023076117165123818"
R2,z60_fo,copies,"E rho_q_tot, n2",established,,0.001,"not assessable (startup ends at 21.0 h, after 6 h)",Parent validity: Newton,
R10,z60_fo,copies,"E n2 / E n1, each tag",established,,0.75,"not assessable (startup ends at 21.0 h, after 6 h)",Refinement,
R2,z120_c,default,"E rho_q_tot, n2",established,0.017148155365483822,0.001,fail,Parent validity: Newton,E n1 = 0.025141272350926627
R10,z120_c,default,"E n2 / E n1, tropo",established,0.33998491545060594,0.75,pass,Refinement,"E n1 = 0.035265253439541455, E n2 = 0.011989654208986691"
R10,z120_c,default,"E n2 / E n1, strat",established,0.17186136467905277,0.75,pass,Refinement,"E n1 = 0.05172696887318002, E n2 = 0.008889867461255602"
R10,z120_c,default,"E n2 / E n1, evap",established,0.1524278885079258,0.75,pass,Refinement,"E n1 = 0.1742240074003526, E n2 = 0.026556597575424987"
R10,z120_c,default,"E n2 / E n1, evap_tropo",established,0.15242788850792688,0.75,pass,Refinement,"E n1 = 0.17422400740035243, E n2 = 0.026556597575425146"
R10,z120_c,default,"E n2 / E n1, evap_strat",established,0.15242788850792607,0.75,pass,Refinement,"E n1 = 0.17422400740035285, E n2 = 0.026556597575425073"
R2,z120_c,default,"E rho_q_tot, n2",whole 6 h,0.013981068142576306,0.001,reported,Parent validity: Newton,E n1 = 0.025545289634384197
R10,z120_c,default,"E n2 / E n1, tropo",whole 6 h,0.347917812977834,0.75,reported,Refinement,"E n1 = 0.050287785220697594, E n2 = 0.01749601625348415"
R10,z120_c,default,"E n2 / E n1, strat",whole 6 h,0.3021893245976087,0.75,reported,Refinement,"E n1 = 0.07127102513425733, E n2 = 0.021537342948700418"
R10,z120_c,default,"E n2 / E n1, evap",whole 6 h,0.29815284680148807,0.75,reported,Refinement,"E n1 = 0.28607128243350216, E n2 = 0.08529296724570119"
R10,z120_c,default,"E n2 / E n1, evap_tropo",whole 6 h,0.2981528468014925,0.75,reported,Refinement,"E n1 = 0.28607128243350266, E n2 = 0.08529296724570262"
R10,z120_c,default,"E n2 / E n1, evap_strat",whole 6 h,0.29815284680148985,0.75,reported,Refinement,"E n1 = 0.28607128243350444, E n2 = 0.08529296724570239"
R2,z120_c,default,"E rho_q_tot, n2",startup,0.008988056924903566,0.001,reported,Parent validity: Newton,E n1 = 0.02618223541025247
R10,z120_c,default,"E n2 / E n1, tropo",startup,0.3523390275211253,0.75,reported,Refinement,"E n1 = 0.06594373451740083, E n2 = 0.023234551290972273"
R10,z120_c,default,"E n2 / E n1, strat",startup,0.3607083676053536,0.75,reported,Refinement,"E n1 = 0.08583264897946952, E n2 = 0.03096055470062777"
R10,z120_c,default,"E n2 / E n1, evap",startup,0.3695882829732359,0.75,reported,Refinement,"E n1 = 0.41743967838208934, E n2 = 0.15428081397813623"
R10,z120_c,default,"E n2 / E n1, evap_tropo",startup,0.3695882829732418,0.75,reported,Refinement,"E n1 = 0.41743967838209045, E n2 = 0.1542808139781391"
R10,z120_c,default,"E n2 / E n1, evap_strat",startup,0.36958828297323776,0.75,reported,Refinement,"E n1 = 0.4174396783820937, E n2 = 0.15428081397813861"
R2,z120_c,copies,"E rho_q_tot, n2",established,0.017148155365483822,0.001,fail,Parent validity: Newton,E n1 = 0.025141272350926627
R10,z120_c,copies,"E n2 / E n1, tropo",established,0.2804513823236945,0.75,pass,Refinement,"E n1 = 0.06679531920979043, E n2 = 0.01873283960513815"
R10,z120_c,copies,"E n2 / E n1, strat",established,0.2530302141955573,0.75,pass,Refinement,"E n1 = 0.049225970468288194, E n2 = 0.01245565785157514"
R10,z120_c,copies,"E n2 / E n1, evap",established,0.4383747503211147,0.75,pass,Refinement,"E n1 = 0.06262598592312378, E n2 = 0.027453650942663034"
R10,z120_c,copies,"E n2 / E n1, evap_tropo",established,0.43837475032110956,0.75,pass,Refinement,"E n1 = 0.06262598592312371, E n2 = 0.02745365094266268"
R10,z120_c,copies,"E n2 / E n1, evap_strat",established,0.43837475032110995,0.75,pass,Refinement,"E n1 = 0.06262598592312403, E n2 = 0.027453650942662843"
R2,z120_c,copies,"E rho_q_tot, n2",whole 6 h,0.013981068142576306,0.001,reported,Parent validity: Newton,E n1 = 0.025545289634384197
R10,z120_c,copies,"E n2 / E n1, tropo",whole 6 h,0.29720584916970827,0.75,reported,Refinement,"E n1 = 0.09150003746386402, E n2 = 0.027194346333507827"
R10,z120_c,copies,"E n2 / E n1, strat",whole 6 h,0.2871956750344581,0.75,reported,Refinement,"E n1 = 0.06731641041215149, E n2 = 0.01933298192921447"
R10,z120_c,copies,"E n2 / E n1, evap",whole 6 h,0.3563588789514893,0.75,reported,Refinement,"E n1 = 0.12120501262991476, E n2 = 0.043192482424097525"
R10,z120_c,copies,"E n2 / E n1, evap_tropo",whole 6 h,0.35635887895148816,0.75,reported,Refinement,"E n1 = 0.12120501262991461, E n2 = 0.04319248242409733"
R10,z120_c,copies,"E n2 / E n1, evap_strat",whole 6 h,0.35635887895148816,0.75,reported,Refinement,"E n1 = 0.12120501262991486, E n2 = 0.04319248242409742"
R2,z120_c,copies,"E rho_q_tot, n2",startup,0.008988056924903566,0.001,reported,Parent validity: Newton,E n1 = 0.02618223541025247
R10,z120_c,copies,"E n2 / E n1, tropo",startup,0.3066268351228827,0.75,reported,Refinement,"E n1 = 0.1155258994489315, E n2 = 0.03542334092275024"
R10,z120_c,copies,"E n2 / E n1, strat",startup,0.30199534182089205,0.75,reported,Refinement,"E n1 = 0.0800615113861615, E n2 = 0.02417820349776108"
R10,z120_c,copies,"E n2 / E n1, evap",startup,0.3216908387408302,0.75,reported,Refinement,"E n1 = 0.2004660635171656, E n2 = 0.06448809611190955"
R10,z120_c,copies,"E n2 / E n1, evap_tropo",startup,0.3216908387408308,0.75,reported,Refinement,"E n1 = 0.2004660635171654, E n2 = 0.0644880961119096"
R10,z120_c,copies,"E n2 / E n1, evap_strat",startup,0.3216908387408305,0.75,reported,Refinement,"E n1 = 0.20046606351716556, E n2 = 0.06448809611190959"
R2,z120_fo,default,"E rho_q_tot, n2",,,0.001,not assessable (P1 failed: the 10-iteration reference diverged; README),Parent validity: Newton,
R10,z120_fo,default,"E n2 / E n1, each tag",,,0.75,not assessable (P1 failed: the 10-iteration reference diverged; README),Refinement,
R2,z120_fo,copies,"E rho_q_tot, n2",,,0.001,not assessable (P1 failed: the 10-iteration reference diverged; README),Parent validity: Newton,
R10,z120_fo,copies,"E n2 / E n1, each tag",,,0.75,not assessable (P1 failed: the 10-iteration reference diverged; README),Refinement,
R3,z30_c,default,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z30_c,default,"top level's temperature change, K",whole day,1.702554565814978,5.0,pass,Parent validity: temperature,
R3,z30_c,default,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z30_c,copies,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z30_c,copies,"top level's temperature change, K",whole day,1.702554565814978,5.0,pass,Parent validity: temperature,
R3,z30_c,copies,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z30_c,untagged,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z30_c,untagged,"top level's temperature change, K",whole day,1.702554565814978,5.0,pass,Parent validity: temperature,
R3,z30_c,untagged,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z30_fo,default,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z30_fo,default,"top level's temperature change, K",whole day,1.9900481623992619,5.0,pass,Parent validity: temperature,
R3,z30_fo,default,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z30_fo,copies,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z30_fo,copies,"top level's temperature change, K",whole day,1.9900481623992619,5.0,pass,Parent validity: temperature,
R3,z30_fo,copies,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z30_fo,untagged,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z30_fo,untagged,"top level's temperature change, K",whole day,1.9900481623992619,5.0,pass,Parent validity: temperature,
R3,z30_fo,untagged,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z60_c,default,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z60_c,default,"top level's temperature change, K",whole day,1.9948833540417468,5.0,pass,Parent validity: temperature,
R3,z60_c,default,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z60_c,copies,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z60_c,copies,"top level's temperature change, K",whole day,1.9948833540417468,5.0,pass,Parent validity: temperature,
R3,z60_c,copies,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z60_c,untagged,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z60_c,untagged,"top level's temperature change, K",whole day,1.9948833540417468,5.0,pass,Parent validity: temperature,
R3,z60_c,untagged,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z60_fo,default,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z60_fo,default,"top level's temperature change, K",whole day,1.957081995967883,5.0,pass,Parent validity: temperature,
R3,z60_fo,default,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z60_fo,copies,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z60_fo,copies,"top level's temperature change, K",whole day,1.957081995967883,5.0,pass,Parent validity: temperature,
R3,z60_fo,copies,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z60_fo,untagged,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z60_fo,untagged,"top level's temperature change, K",whole day,1.957081995967883,5.0,pass,Parent validity: temperature,
R3,z60_fo,untagged,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z120_c,default,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z120_c,default,"top level's temperature change, K",whole day,2.0850969241496955,5.0,pass,Parent validity: temperature,
R3,z120_c,default,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z120_c,copies,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z120_c,copies,"top level's temperature change, K",whole day,2.0850969241496955,5.0,pass,Parent validity: temperature,
R3,z120_c,copies,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z120_c,untagged,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z120_c,untagged,"top level's temperature change, K",whole day,2.0850969241496955,5.0,pass,Parent validity: temperature,
R3,z120_c,untagged,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z120_fo,default,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z120_fo,default,"top level's temperature change, K",whole day,1.8390420895800048,5.0,pass,Parent validity: temperature,
R3,z120_fo,default,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z120_fo,copies,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z120_fo,copies,"top level's temperature change, K",whole day,1.8390420895800048,5.0,pass,Parent validity: temperature,
R3,z120_fo,copies,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R3,z120_fo,untagged,points at the 150 K floor,whole day,0,0,pass,Parent validity: temperature,
R3,z120_fo,untagged,"top level's temperature change, K",whole day,1.8390420895800048,5.0,pass,Parent validity: temperature,
R3,z120_fo,untagged,"negative water over the water, max over hours",whole day,0.0,0.0001,pass,Parent validity: negative water,
R4,z30_c,default,"gross residual at 24 h, of the water",24 h,7.246007804392767e-06,0.002,pass,"Closure, water",
R4,z30_c,default,second 12 h minus first 12 h,0-12-24 h,-1.704670054426691e-07,0.0,pass,"Closure, water","first 3.708e-06, second 3.538e-06"
R8,z30_c,default,partition repair retained gross per day,established,0.0,0.005,pass,"Intervention, aggregate",whole day 1.446e-03
R8,z30_c,default,"led_fix inventory fraction, tropo",established,0.0,0.02,pass,"Intervention, per tag",whole day 1.875e-03
R8,z30_c,default,"led_inc inventory fraction, tropo",whole day,0.05507466357830547,,reported,"Intervention, per tag (led_inc reported)",
R8,z30_c,default,"led_fix inventory fraction, strat",established,0.0,0.02,pass,"Intervention, per tag",whole day 6.331e-03
R8,z30_c,default,"led_inc inventory fraction, strat",whole day,0.02654390515207201,,reported,"Intervention, per tag (led_inc reported)",
R8,z30_c,default,"led_fix inventory fraction, evap",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z30_c,default,"led_inc inventory fraction, evap",whole day,0.03059296346170068,,reported,"Intervention, per tag (led_inc reported)",
R8,z30_c,default,"led_fix inventory fraction, evap_tropo",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z30_c,default,"led_inc inventory fraction, evap_tropo",whole day,0.030592963461700717,,reported,"Intervention, per tag (led_inc reported)",
R8,z30_c,default,"led_fix inventory fraction, evap_strat",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z30_c,default,"led_inc inventory fraction, evap_strat",whole day,0.03059296346170075,,reported,"Intervention, per tag (led_inc reported)",
R4,z30_c,copies,"gross residual at 24 h, of the water",24 h,0.001922821705592672,0.002,pass,"Closure, water",
R4,z30_c,copies,second 12 h minus first 12 h,0-12-24 h,-0.0024657350890440596,0.0,pass,"Closure, water","first 2.194e-03, second -2.715e-04"
R8,z30_c,copies,partition repair retained gross per day,established,0.0,0.005,pass,"Intervention, aggregate",whole day 2.576e-03
R8,z30_c,copies,"led_fix inventory fraction, tropo",established,0.0,0.02,pass,"Intervention, per tag",whole day 3.344e-03
R8,z30_c,copies,"led_fix inventory fraction, strat",established,0.0,0.02,pass,"Intervention, per tag",whole day 1.123e-02
R8,z30_c,copies,"led_fix inventory fraction, evap",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z30_c,copies,"led_fix inventory fraction, evap_tropo",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z30_c,copies,"led_fix inventory fraction, evap_strat",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R5,z30_c,copies,"copies' own residual, max over hours",whole day,5.564057223377171e-05,0.0002,pass,Comparator: its own residual,at 24 h 1.080e-05
R5,z30_c,copies,"copies' repair, gross, per day",established,0.0069288684978369396,0.002,fail,Comparator: its repair,whole day 7.204e-03; signed ledger over the day 6.221e-03
R4,z30_fo,default,"gross residual at 24 h, of the water",24 h,8.508179825673772e-06,0.002,pass,"Closure, water",
R4,z30_fo,default,second 12 h minus first 12 h,0-12-24 h,3.3563535760764734e-06,0.0,fail,"Closure, water","first 2.576e-06, second 5.932e-06"
R8,z30_fo,default,partition repair retained gross per day,established,,0.005,not assessable (OD2's rule finds no end of startup),"Intervention, aggregate",
R8,z30_fo,default,partition repair retained gross per day,whole day,0.004535854960743046,0.005,reported,"Intervention, aggregate",
R8,z30_fo,default,"led_fix inventory fraction, tropo",established,,0.02,not assessable (OD2's rule finds no end of startup),"Intervention, per tag",
R8,z30_fo,default,"led_fix inventory fraction, tropo",whole day,0.005848710716969397,0.02,reported,"Intervention, per tag",
R8,z30_fo,default,"led_fix inventory fraction, strat",established,,0.02,not assessable (OD2's rule finds no end of startup),"Intervention, per tag",
R8,z30_fo,default,"led_fix inventory fraction, strat",whole day,0.020206276666059553,0.02,reported,"Intervention, per tag",
R8,z30_fo,default,"led_fix inventory fraction, evap",established,,0.02,not assessable (OD2's rule finds no end of startup),"Intervention, per tag",
R8,z30_fo,default,"led_fix inventory fraction, evap",whole day,0.0,0.02,reported,"Intervention, per tag",
R8,z30_fo,default,"led_fix inventory fraction, evap_tropo",established,,0.02,not assessable (OD2's rule finds no end of startup),"Intervention, per tag",
R8,z30_fo,default,"led_fix inventory fraction, evap_tropo",whole day,0.0,0.02,reported,"Intervention, per tag",
R8,z30_fo,default,"led_fix inventory fraction, evap_strat",established,,0.02,not assessable (OD2's rule finds no end of startup),"Intervention, per tag",
R8,z30_fo,default,"led_fix inventory fraction, evap_strat",whole day,0.0,0.02,reported,"Intervention, per tag",
R4,z30_fo,copies,"gross residual at 24 h, of the water",24 h,1.056440618067543,0.002,fail,"Closure, water",void rows
R4,z30_fo,copies,second 12 h minus first 12 h,0-12-24 h,0.9925649043196793,0.0,fail,"Closure, water","first 3.194e-02, second 1.025e+00"
R8,z30_fo,copies,partition repair retained gross per day,established,,0.005,not assessable (OD2's rule finds no end of startup),"Intervention, aggregate",
R8,z30_fo,copies,partition repair retained gross per day,whole day,0.20407960749906698,0.005,reported,"Intervention, aggregate",
R8,z30_fo,copies,"led_fix inventory fraction, tropo",established,,0.02,not assessable (OD2's rule finds no end of startup),"Intervention, per tag",
R8,z30_fo,copies,"led_fix inventory fraction, tropo",whole day,0.46320266421916023,0.02,reported,"Intervention, per tag",
R8,z30_fo,copies,"led_fix inventory fraction, strat",established,,0.02,not assessable (OD2's rule finds no end of startup),"Intervention, per tag",
R8,z30_fo,copies,"led_fix inventory fraction, strat",whole day,0.9988610139370725,0.02,reported,"Intervention, per tag",
R8,z30_fo,copies,"led_fix inventory fraction, evap",established,,0.02,not assessable (OD2's rule finds no end of startup),"Intervention, per tag",
R8,z30_fo,copies,"led_fix inventory fraction, evap",whole day,0.0,0.02,reported,"Intervention, per tag",
R8,z30_fo,copies,"led_fix inventory fraction, evap_tropo",established,,0.02,not assessable (OD2's rule finds no end of startup),"Intervention, per tag",
R8,z30_fo,copies,"led_fix inventory fraction, evap_tropo",whole day,0.0,0.02,reported,"Intervention, per tag",
R8,z30_fo,copies,"led_fix inventory fraction, evap_strat",established,,0.02,not assessable (OD2's rule finds no end of startup),"Intervention, per tag",
R8,z30_fo,copies,"led_fix inventory fraction, evap_strat",whole day,0.0,0.02,reported,"Intervention, per tag",
R5,z30_fo,copies,"copies' own residual, max over hours",whole day,0.01003613649971728,0.0002,fail,Comparator: its own residual,at 24 h 7.389e-03
R5,z30_fo,copies,"copies' repair, gross, per day",established,,0.002,not assessable (OD2's rule finds no end of startup),Comparator: its repair,
R5,z30_fo,copies,"copies' repair, gross, per day",whole day,1.2258712224774846,0.002,reported,Comparator: its repair,signed ledger over the day 9.568e-01
R4,z60_c,default,"gross residual at 24 h, of the water",24 h,1.0350066022487357e-05,0.002,pass,"Closure, water",
R4,z60_c,default,second 12 h minus first 12 h,0-12-24 h,-2.110145875019287e-07,0.0,pass,"Closure, water","first 5.281e-06, second 5.070e-06"
R8,z60_c,default,partition repair retained gross per day,established,0.0,0.005,pass,"Intervention, aggregate",whole day 1.199e-02
R8,z60_c,default,"led_fix inventory fraction, tropo",established,0.0,0.02,pass,"Intervention, per tag",whole day 1.558e-02
R8,z60_c,default,"led_inc inventory fraction, tropo",whole day,0.06624842999100992,,reported,"Intervention, per tag (led_inc reported)",
R8,z60_c,default,"led_fix inventory fraction, strat",established,0.0,0.02,pass,"Intervention, per tag",whole day 5.200e-02
R8,z60_c,default,"led_inc inventory fraction, strat",whole day,0.03618958714070037,,reported,"Intervention, per tag (led_inc reported)",
R8,z60_c,default,"led_fix inventory fraction, evap",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z60_c,default,"led_inc inventory fraction, evap",whole day,0.03393371634090764,,reported,"Intervention, per tag (led_inc reported)",
R8,z60_c,default,"led_fix inventory fraction, evap_tropo",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z60_c,default,"led_inc inventory fraction, evap_tropo",whole day,0.033933716340907645,,reported,"Intervention, per tag (led_inc reported)",
R8,z60_c,default,"led_fix inventory fraction, evap_strat",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z60_c,default,"led_inc inventory fraction, evap_strat",whole day,0.03393371634090763,,reported,"Intervention, per tag (led_inc reported)",
R4,z60_c,copies,"gross residual at 24 h, of the water",24 h,0.0015668766422617972,0.002,pass,"Closure, water",
R4,z60_c,copies,second 12 h minus first 12 h,0-12-24 h,-0.0018321564343544085,0.0,pass,"Closure, water","first 1.700e-03, second -1.326e-04"
R8,z60_c,copies,partition repair retained gross per day,established,0.0,0.005,pass,"Intervention, aggregate",whole day 8.519e-03
R8,z60_c,copies,"led_fix inventory fraction, tropo",established,0.0,0.02,pass,"Intervention, per tag",whole day 1.103e-02
R8,z60_c,copies,"led_fix inventory fraction, strat",established,0.0,0.02,pass,"Intervention, per tag",whole day 3.746e-02
R8,z60_c,copies,"led_fix inventory fraction, evap",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z60_c,copies,"led_fix inventory fraction, evap_tropo",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z60_c,copies,"led_fix inventory fraction, evap_strat",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R5,z60_c,copies,"copies' own residual, max over hours",whole day,5.934224167955574e-05,0.0002,pass,Comparator: its own residual,at 24 h 6.950e-06
R5,z60_c,copies,"copies' repair, gross, per day",established,0.006576490963116639,0.002,fail,Comparator: its repair,whole day 7.268e-03; signed ledger over the day 6.295e-03
R4,z60_fo,default,"gross residual at 24 h, of the water",24 h,1.8925405101647783e-05,0.002,pass,"Closure, water",
R4,z60_fo,default,second 12 h minus first 12 h,0-12-24 h,1.2459293926477997e-05,0.0,fail,"Closure, water","first 3.233e-06, second 1.569e-05"
R8,z60_fo,default,partition repair retained gross per day,established,0.0,0.005,pass,"Intervention, aggregate",whole day 2.964e-02
R8,z60_fo,default,"led_fix inventory fraction, tropo",established,0.0,0.02,pass,"Intervention, per tag",whole day 3.935e-02
R8,z60_fo,default,"led_inc inventory fraction, tropo",whole day,0.10305702130054979,,reported,"Intervention, per tag (led_inc reported)",
R8,z60_fo,default,"led_fix inventory fraction, strat",established,0.0,0.02,pass,"Intervention, per tag",whole day 1.201e-01
R8,z60_fo,default,"led_inc inventory fraction, strat",whole day,0.07156070487865639,,reported,"Intervention, per tag (led_inc reported)",
R8,z60_fo,default,"led_fix inventory fraction, evap",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z60_fo,default,"led_inc inventory fraction, evap",whole day,0.06754773198849386,,reported,"Intervention, per tag (led_inc reported)",
R8,z60_fo,default,"led_fix inventory fraction, evap_tropo",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z60_fo,default,"led_inc inventory fraction, evap_tropo",whole day,0.06754773200281025,,reported,"Intervention, per tag (led_inc reported)",
R8,z60_fo,default,"led_fix inventory fraction, evap_strat",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z60_fo,default,"led_inc inventory fraction, evap_strat",whole day,0.06754773199874038,,reported,"Intervention, per tag (led_inc reported)",
R4,z60_fo,copies,"gross residual at 24 h, of the water",24 h,0.7052387905387786,0.002,fail,"Closure, water",
R4,z60_fo,copies,second 12 h minus first 12 h,0-12-24 h,0.6853980388340205,0.0,fail,"Closure, water","first 9.920e-03, second 6.953e-01"
R8,z60_fo,copies,partition repair retained gross per day,established,0.16720903412327612,0.005,fail,"Intervention, aggregate",whole day 7.141e-02
R8,z60_fo,copies,"led_fix inventory fraction, tropo",established,0.21573568628060752,0.02,fail,"Intervention, per tag",whole day 3.239e-01
R8,z60_fo,copies,"led_fix inventory fraction, strat",established,0.08127175546639025,0.02,fail,"Intervention, per tag",whole day 4.278e-01
R8,z60_fo,copies,"led_fix inventory fraction, evap",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z60_fo,copies,"led_fix inventory fraction, evap_tropo",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z60_fo,copies,"led_fix inventory fraction, evap_strat",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R5,z60_fo,copies,"copies' own residual, max over hours",whole day,0.008310610966886773,0.0002,fail,Comparator: its own residual,at 24 h 5.348e-03
R5,z60_fo,copies,"copies' repair, gross, per day",established,1.7616842647664128,0.002,fail,Comparator: its repair,whole day 5.203e-01; signed ledger over the day 2.445e-01
R4,z120_c,default,"gross residual at 24 h, of the water",24 h,2.6031699744816634e-05,0.002,pass,"Closure, water",
R4,z120_c,default,second 12 h minus first 12 h,0-12-24 h,4.303141749688997e-06,0.0,fail,"Closure, water","first 1.086e-05, second 1.517e-05"
R8,z120_c,default,partition repair retained gross per day,established,0.0,0.005,pass,"Intervention, aggregate",whole day 1.733e-02
R8,z120_c,default,"led_fix inventory fraction, tropo",established,0.0,0.02,pass,"Intervention, per tag",whole day 2.247e-02
R8,z120_c,default,"led_inc inventory fraction, tropo",whole day,0.19310155533123338,,reported,"Intervention, per tag (led_inc reported)",
R8,z120_c,default,"led_fix inventory fraction, strat",established,0.0,0.02,pass,"Intervention, per tag",whole day 7.572e-02
R8,z120_c,default,"led_inc inventory fraction, strat",whole day,0.13340028569185752,,reported,"Intervention, per tag (led_inc reported)",
R8,z120_c,default,"led_fix inventory fraction, evap",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z120_c,default,"led_inc inventory fraction, evap",whole day,0.06411485828875037,,reported,"Intervention, per tag (led_inc reported)",
R8,z120_c,default,"led_fix inventory fraction, evap_tropo",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z120_c,default,"led_inc inventory fraction, evap_tropo",whole day,0.06411485828875035,,reported,"Intervention, per tag (led_inc reported)",
R8,z120_c,default,"led_fix inventory fraction, evap_strat",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
R8,z120_c,default,"led_inc inventory fraction, evap_strat",whole day,0.06411485828875033,,reported,"Intervention, per tag (led_inc reported)",
R4,z120_c,copies,"gross residual at 24 h, of the water",24 h,0.004101194278210115,0.002,fail,"Closure, water",
R4,z120_c,copies,second 12 h minus first 12 h,0-12-24 h,-0.007659078658405001,0.0,pass,"Closure, water","first 5.880e-03, second -1.779e-03"
R8,z120_c,copies,partition repair retained gross per day,established,0.0,0.005,pass,"Intervention, aggregate",whole day 1.188e-02
R8,z120_c,copies,"led_fix inventory fraction, tropo",established,0.0,0.02,pass,"Intervention, per tag",whole day 1.633e-02
R8,z120_c,copies,"led_fix inventory fraction, strat",established,0.0,0.02,pass,"Intervention, per tag",whole day 5.395e-02
R8,z120_c,copies,"led_fix inventory fraction, evap",established,0.0,0.02,pass,"Intervention, per tag",whole day 0.000e+00
