rule,rung,mode,metric,window,value,threshold,verdict,od3_row,note
R7,z120_c,default vs copies,"evap_strat at 1 h, abs L1 (small tag)",1 h,1.376103922088145e-08,2e-4 of the water,not assessable (R5 failed),"Provenance, per tag",small tag (share=3.8547644880798565e-09): abs_L1=1.376e-08 <= 2.301e-03; judged pass if it were scored
R7,z120_c,default vs copies,"evap_strat at 24 h, abs L1 (small tag)",24 h,5.366554756842574e-09,2e-4 of the water,not assessable (R5 failed),"Provenance, per tag",small tag (share=8.211984015622559e-08): abs_L1=5.367e-09 <= 2.386e-03; judged pass if it were scored
R7,z120_fo,default vs copies,"tropo at 1 h, L1",1 h,0.021809638148705453,0.01,not assessable (R5 and R6 failed),"Provenance, per tag","region tag: L1=2.181e-02 (budget 0.01), Linf=9.910e-02 (budget 0.25); judged fail if it were scored"
R7,z120_fo,default vs copies,"tropo at 24 h, L1",24 h,0.5428029810761692,0.02,not assessable (R5 and R6 failed),"Provenance, per tag","region tag: L1=5.428e-01 (budget 0.02), Linf=7.048e-01 (budget 0.05); judged fail if it were scored"
R7,z120_fo,default vs copies,"strat at 1 h, L1",1 h,0.010270874273250893,0.01,not assessable (R5 and R6 failed),"Provenance, per tag","region tag: L1=1.027e-02 (budget 0.01), Linf=7.931e-02 (budget 0.25); judged fail if it were scored"
R7,z120_fo,default vs copies,"strat at 24 h, L1",24 h,0.4851753764020134,0.02,not assessable (R5 and R6 failed),"Provenance, per tag","region tag: L1=4.852e-01 (budget 0.02), Linf=9.039e-01 (budget 0.05); judged fail if it were scored"
R7,z120_fo,default vs copies,"evap at 1 h, L1",1 h,0.08425816810306991,0.1,not assessable (R5 and R6 failed),"Provenance, per tag","source tag: L1=8.426e-02 (budget 0.1), Linf=1.157e-01 (budget 0.25); judged pass if it were scored"
R7,z120_fo,default vs copies,"evap at 24 h, L1",24 h,0.03586382454488551,0.02,not assessable (R5 and R6 failed),"Provenance, per tag","source tag: L1=3.586e-02 (budget 0.02), Linf=2.931e-01 (budget 0.05); judged fail if it were scored"
R7,z120_fo,default vs copies,"evap_tropo at 1 h, L1",1 h,0.0842581681030695,0.1,not assessable (R5 and R6 failed),"Provenance, per tag","source tag: L1=8.426e-02 (budget 0.1), Linf=1.157e-01 (budget 0.25); judged pass if it were scored"
R7,z120_fo,default vs copies,"evap_tropo at 24 h, L1",24 h,0.035863824544885244,0.02,not assessable (R5 and R6 failed),"Provenance, per tag","source tag: L1=3.586e-02 (budget 0.02), Linf=2.931e-01 (budget 0.05); judged fail if it were scored"
R7,z120_fo,default vs copies,"evap_strat at 1 h, abs L1 (small tag)",1 h,3.760893223413246e-09,2e-4 of the water,not assessable (R5 and R6 failed),"Provenance, per tag",small tag (share=3.877393979409054e-09): abs_L1=3.761e-09 <= 2.302e-03; judged pass if it were scored
R7,z120_fo,default vs copies,"evap_strat at 24 h, abs L1 (small tag)",24 h,3.3263441271249506e-08,2e-4 of the water,not assessable (R5 and R6 failed),"Provenance, per tag",small tag (share=8.01292420276275e-08): abs_L1=3.326e-08 <= 2.315e-03; judged pass if it were scored
