time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction,residual_at_spin_up,residual_since_spin_up,relative_since_spin_up,headroom_min,headroom_min_z,source_throughput,gross_over_throughput
0.0,2.989158007318699e8,2.989158007318698e8,5.960464477539063e-8,1.9940279044953038e-16,7.97792942819342e-9,2.6689554077302503e-17,2.989158007318699e8,0.0,NaN,NaN,NaN,175631.14089814835,825.0,0.0,NaN
3600.0,2.9899722799202913e8,2.9899736556105995e8,-137.5690308213234,-4.601013586152404e-7,155.47241182130114,5.199794421687609e-7,2.9899722799202913e8,0.0,-137.5690308213234,0.0,0.0,175611.1200333806,825.0,899169.1746994187,0.00017290674124062768
7200.0,2.990803443364155e8,2.9908043483695936e8,-90.50054383277893,-3.0259609347975373e-7,155.8881176929832,5.212248836975895e-7,2.990803443364155e8,0.0,-137.5690308213234,47.068486988544464,1.5737740001930808e-7,175533.114050414,825.0,1.7676220352968615e6,8.819086579603695e-5
10800.0,2.9915132757499605e8,2.99151588221942e8,-260.64694595336914,-8.712879466932199e-7,287.7496194087602,9.61886486486083e-7,2.9915132757499605e8,0.0,-137.5690308213234,-123.07791513204575,-4.114235966450478e-7,175559.2975205111,825.0,2.64513691566563e6,0.00010878439513077156
14400.0,2.992227849443589e8,2.992228673582909e8,-82.41393202543259,-2.754266592390604e-7,211.20079442428383,7.058312570132554e-7,2.992227849443589e8,0.0,-137.5690308213234,55.15509879589081,1.843278706404227e-7,175489.09784169352,825.0,3.5241724694901393e6,5.992918798745379e-5
18000.0,2.993005495140074e8,2.9930058097482634e8,-31.46081894636154,-1.0511447104740168e-7,208.8145022405792,6.976749711273303e-7,2.993005495140074e8,0.0,-137.5690308213234,106.10821187496185,3.5452060494795697e-7,175293.5967760865,825.0,4.3823522199326875e6,4.7648954662020885e-5
21600.0,2.993746911018402e8,2.993748137562126e8,-122.65437239408493,-4.0970187540790083e-7,230.91954606387284,7.713395718722243e-7,2.993746911018402e8,0.0,-137.5690308213234,14.914658427238464,4.981936974146171e-8,175294.34076423256,825.0,5.240840399352729e6,4.406154900126182e-5
25200.0,2.994378591489978e8,2.9943797258334935e8,-113.43435156345367,-3.788243473481745e-7,262.8927610314006,8.779543167271555e-7,2.994378591489978e8,0.0,-137.5690308213234,24.13467925786972,8.059995929192275e-8,175272.3074229906,875.0,6.127328369580796e6,4.2904957132138575e-5
28800.0,2.9950542485436994e8,2.995054534617528e8,-28.607382833957672,-9.551540793582483e-8,263.6536816892596,8.802968487714615e-7,2.9950542485436994e8,0.0,-137.5690308213234,108.96164798736572,3.638052567506806e-7,175117.21435514392,875.0,7.006034258140636e6,3.763237117816091e-5
32400.0,2.995755108543377e8,2.99575599460269e8,-88.60593128204346,-2.957716104008456e-7,277.60826181946743,9.266720801969978e-7,2.995755108543377e8,0.0,-137.5690308213234,48.96309953927994,1.6344159574207392e-7,174979.15163874882,875.0,7.86322068365548e6,3.530465098054605e-5
36000.0,2.9964030599642545e8,2.9964039117408013e8,-85.17765468358994,-2.84266345278015e-7,338.46314985777116,1.1295648251734492e-6,2.9964030599642545e8,0.0,-137.5690308213234,52.39137613773346,1.7484755918770975e-7,174921.1049068658,875.0,8.739791753695602e6,3.8726683586557167e-5
39600.0,2.9970101345860076e8,2.997010470167234e8,-33.558122634887695,-1.119720025221845e-7,351.16133716786237,1.1717055378472055e-6,2.9970101345860076e8,0.0,-137.5690308213234,104.0109081864357,3.470489037929238e-7,174781.40579661686,875.0,9.629258233791217e6,3.646816074944992e-5
43200.0,2.997616834726328e8,2.99761790914077e8,-107.44144415855408,-3.5842287417752344e-7,369.5375958337948,1.2327712853518594e-6,2.997616834726328e8,0.0,-137.5690308213234,30.127586662769318,1.0050512898697362e-7,174668.13204423233,875.0,1.0503558716022264e7,3.5182132629972105e-5
46800.0,2.9982452073328704e8,2.998245844021163e8,-63.66882926225662,-2.1235364307942675e-7,387.7583344133095,1.2932842632916112e-6,2.9982452073328704e8,0.0,-137.5690308213234,73.90020155906677,2.4647817789661606e-7,174607.85388653344,875.0,1.1374328380084448e7,3.409065761563943e-5
50400.0,2.998794140732967e8,2.9987945477053833e8,-40.697241604328156,-1.357120218808381e-7,395.5547418829843,1.31904600089122e-6,2.998794140732967e8,0.0,-137.5690308213234,96.87178921699524,3.230358092980593e-7,174496.34884453463,875.0,1.2275388923255036e7,3.222339791887392e-5
54000.0,2.999321299008359e8,2.9993219607810843e8,-66.17727255821228,-2.2064082490959517e-7,383.06180430126005,1.2771616179563978e-6,2.999321299008359e8,0.0,-137.5690308213234,71.39175826311111,2.3802637712310047e-7,174389.21736577377,875.0,1.3175225146780606e7,2.9074402906493176e-5
57600.0,2.9999389047451407e8,2.999939765142765e8,-86.0397624373436,-2.868050489336652e-7,374.06505749156275,1.2469089183779275e-6,2.9999389047451407e8,0.0,-137.5690308213234,51.5292683839798,1.7176772601093175e-7,174330.90224114436,875.0,1.4059368215421738e7,2.6606107170679997e-5
61200.0,3.0005338298278826e8,3.0005341186100674e8,-28.878218472003937,-9.62436023381228e-8,392.1191635489455,1.3068313366473137e-6,3.0005338298278826e8,0.0,-137.5690308213234,108.69081234931946,3.622382499701868e-7,174235.23378586056,875.0,1.4947094843655529e7,2.6233804471735532e-5
64800.0,3.001002906531925e8,3.0010027976765954e8,10.885532975196838,3.6272983779867716e-8,401.4011735299866,1.3375567636282675e-6,3.001002906531925e8,0.0,-137.5690308213234,148.45456379652023,4.946831723268141e-7,174081.0514668471,875.0,1.5837848465348821e7,2.5344425690661256e-5
