time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,exchange_volume_fraction,bound_partition,bound_evap,bound_fcg,fix_gross,fix_gross_relative,fix_events,increment_left,increment_left_relative,increment_left_net_abs,increment_left_net_abs_relative,increment_moved_net_abs,increment_moved_net_abs_relative
0.0,3.568647193497274e-16,6.782330168462964e-18,3.614943430337272e-16,6.870317673750229e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21600.0,3.6710417633678754e-13,6.503731149572244e-15,1.8284620206749445e-13,3.239359878260738e-15,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.025420393275557847,0.0,0.0,0.0,0.0,2.0985201178734118e-14,3.717803157351233e-16,7.194195348122424e-14,1.2745459027076397e-15,0.18572568961625327,0.0032903737704276506
43200.0,4.1317523255169025e-13,7.117365804353018e-15,4.5100663215795794e-13,7.76905034077977e-15,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.0,0.0,0.0,0.0,0.0,-2.6766486471277753e-13,-4.6108009508899256e-15,2.989712080264565e-13,5.150084721565214e-15,0.24625552459484265,0.004242003178796727
64800.0,2.6316198109952895e-13,4.3676572017596964e-15,8.832831122323597e-13,1.4659708177509572e-14,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.0,0.0,0.0,0.0,0.0,-9.756361293228021e-13,-1.6192476393168932e-14,9.756361293228021e-13,1.6192476393168932e-14,0.3149457070778232,0.005227103398197577
86400.0,3.167678133661151e-13,5.1774655775861765e-15,1.1030849910095668e-12,1.8029560861674714e-14,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.0,0.0,0.0,0.0,0.0,-1.3250124471338634e-12,-2.1656892037133475e-14,1.3250124471338634e-12,2.1656892037133475e-14,0.3242281709660252,0.005299402665384218
108000.0,3.4793200385045225e-13,5.597500134958292e-15,1.1673279860494646e-12,1.8779872179453077e-14,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.0,0.0,0.0,0.0,0.0,-1.5390174489071017e-12,-2.47595802703548e-14,1.5390174489071017e-12,2.47595802703548e-14,0.3398788620319469,0.005467941882434626
129600.0,5.239751944183416e-13,8.749744606633341e-15,1.2200739146549716e-12,2.0373741482737405e-14,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.0,0.0,0.0,0.0,0.0,-1.5108462646064052e-12,-2.5229283935600895e-14,1.5664383372652087e-12,2.6157603526107274e-14,0.3293647299290383,0.005499987976550997
151200.0,4.726967366244788e-13,7.797565250036799e-15,1.6764157106391881e-12,2.7654011286903695e-14,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.0,0.0,0.0,0.0,0.0,-2.099366202087162e-12,-3.463096669842519e-14,2.1534061199449712e-12,3.552240459709139e-14,0.3555389547902013,0.005864940423967614
172800.0,4.411435859559579e-13,7.311220688588918e-15,1.994597299435023e-12,3.3057130388582437e-14,0.0,0.0,0.0,0.0,0.0,0.9069588363046002,0.0,0.0,0.0,0.0,0.0,0.0,-2.3440263534211725e-12,-3.884833536136118e-14,2.400179934204786e-12,3.9778987499652704e-14,0.36451427739011955,0.006041217442537517
194400.0,5.876488030661784e-13,9.45835858516692e-15,2.178519069401919e-12,3.5063824576031714e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.373519062567922e-12,-3.820239960561694e-14,2.4264787490036166e-12,3.9054799376114543e-14,0.40177296918144917,0.006466639245272847
216000.0,6.466748047572176e-13,1.0262686329363442e-14,2.141682328698717e-12,3.398835673647029e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.360609374245996e-12,-3.7462714452184136e-14,2.414428470347278e-12,3.831681994346686e-14,0.4098244289918561,0.006503886549952924
237600.0,7.208242063476926e-13,1.1597054633952047e-14,2.2349938523186783e-12,3.5957929247709474e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2579719811422913e-12,-3.632761524466515e-14,2.321991909982306e-12,3.7357606476759334e-14,0.40059109910827573,0.006444951239599064
259200.0,8.178301389544756e-13,1.3219835785923694e-14,2.4310509412297913e-12,3.929678389128435e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5326485287011963e-12,-4.093906064124007e-14,2.6100396141984504e-12,4.219005078312457e-14,0.41458031389089944,0.006701493878326576
280800.0,8.82235151403427e-13,1.4229250431065774e-14,2.6423212426748677e-12,4.261703993718195e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.804505764565707e-12,-4.523285520407119e-14,2.887542921972074e-12,4.657213136637264e-14,0.4435452914402541,0.007153780961213822
302400.0,8.934303366735343e-13,1.4254578295399545e-14,3.011495412199958e-12,4.804806304123392e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.169732417807509e-12,-5.057271627168117e-14,3.2456842769379097e-12,5.1784519451195396e-14,0.4722793776899065,0.007535163168567576
324000.0,8.615229526862083e-13,1.3691002091027034e-14,3.47314507719941e-12,5.5193928804931986e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.668669644878136e-12,-5.830113245701114e-14,3.7263484513459134e-12,5.92177425803933e-14,0.5076308853105485,0.008067081080761415
345600.0,1.0415091607483e-12,1.729568044578692e-14,3.5292761444602384e-12,5.860844503342294e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.665410148692643e-12,-6.086913588833333e-14,3.737072382403296e-12,6.205918504104576e-14,0.5127893440184215,0.008515566606994715
367200.0,1.1173297358497229e-12,1.8038731378599033e-14,3.719368930368274e-12,6.004735655029971e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.990901613426983e-12,-6.443111630630526e-14,4.042551763953293e-12,6.526498222888339e-14,0.5458404728119257,0.008812322225662226
388800.0,1.0403441473736973e-12,1.699969066456108e-14,3.8491588505148835e-12,6.289698456294202e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9988670000423375e-12,-6.534328297136321e-14,4.096650846734825e-12,6.694111494836769e-14,0.5835823787165245,0.00953599819878265
410400.0,1.040912081804352e-12,1.656366675903496e-14,4.053487779944472e-12,6.450172110831577e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.056055407095767e-12,-6.454257885340196e-14,4.143776252323228e-12,6.593844971854736e-14,0.5900571480154799,0.00938937124408552
432000.0,1.1162005627376878e-12,1.7344110827369583e-14,4.1105184418869355e-12,6.387139533344582e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.933457861507178e-12,-6.11201350028357e-14,4.023286198000669e-12,6.251593489363676e-14,0.6019381921754392,0.009353231905483974
453600.0,1.186858362532832e-12,1.821249134909211e-14,4.1570603691095744e-12,6.379061596574241e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.956462150451381e-12,-6.071241098586676e-14,4.0461539369688005e-12,6.208874276866442e-14,0.5871501982263357,0.009009893887417457
475200.0,1.0688435910442203e-12,1.6620387751792024e-14,4.466763363037082e-12,6.945762664549059e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.58089395001607e-12,-7.123234338218095e-14,4.63639847441666e-12,7.209543198115486e-14,0.5922354111781754,0.00920918856285309
496800.0,1.1834228709497896e-12,1.857336946203849e-14,4.468099587992787e-12,7.012511459607662e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.435836726099796e-12,-6.961876131480168e-14,4.495923869101093e-12,7.05618060490865e-14,0.5613583631186132,0.008810304866289451
518400.0,1.2035407399897641e-12,1.91282367715062e-14,4.58318623073192e-12,7.284196411173653e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.665760437515364e-12,-7.415434093961729e-14,4.7514969292128676e-12,7.551697691749209e-14,0.5443277593127224,0.008651165611166387
540000.0,1.1467577340554117e-12,1.7542095182218903e-14,4.858886633954847e-12,7.432699102976232e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.065901777648184e-12,-7.749372733943326e-14,5.140635159429292e-12,7.863693314268268e-14,0.5825180129873956,0.00891085023952248
561600.0,1.0707612827725688e-12,1.6382658945155843e-14,5.136846653709368e-12,7.859380810200655e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.41113262331399e-12,-8.279038633636202e-14,5.475483213176372e-12,8.37749510414896e-14,0.6165346773066184,0.009432987080016974
583200.0,1.172841699695153e-12,1.8248652884377115e-14,5.593346488015501e-12,8.702882797258585e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.751319215401437e-12,-8.948678071080584e-14,5.8403298534744025e-12,9.087172825968022e-14,0.6277139523622738,0.009766820219912842
604800.0,1.224196872977355e-12,1.9112461037465556e-14,5.396199804016532e-12,8.424679133006821e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.537990462046869e-12,-8.646046176731621e-14,5.6425939440803974e-12,8.809355691637237e-14,0.6185702719187323,0.009657270396572834
626400.0,1.2994931893631718e-12,2.052366614412828e-14,6.058034398261302e-12,9.567812782496423e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.246335364942557e-12,-9.865207659700558e-14,6.373437604909226e-12,1.0065947760579823e-13,0.653014523915044,0.010313445415336981
648000.0,1.3581317026258832e-12,2.1657887763127285e-14,5.873155199443779e-12,9.365817459311595e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.211770103254641e-12,-9.905800700073774e-14,6.409495238083803e-12,1.0221109500376393e-13,0.6900428247906842,0.011003991749970013
669600.0,1.2852747040899183e-12,2.0255911526277526e-14,6.456906176496414e-12,1.0176075186759149e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.837108010963589e-12,-1.077527275102995e-13,7.012586707137571e-12,1.1051826933037567e-13,0.7169850271095234,0.011299674091913157
691200.0,1.386498261979493e-12,2.187479727416167e-14,6.8482940112827185e-12,1.0804560472855506e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.132365432334914e-12,-1.1252740244680688e-13,7.301112136641313e-12,1.1518972092827064e-13,0.7090810241687546,0.011187178577852305
712800.0,1.4463297450741342e-12,2.297548500138407e-14,7.158094495066056e-12,1.1370898874893175e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.447486951360703e-12,-1.183060953643188e-13,7.637316129537333e-12,1.2132160234042585e-13,0.7326278950451898,0.011638066126714114
734400.0,1.4565109665842228e-12,2.2869203626452535e-14,7.816093141704821e-12,1.227232954106498e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.206958136651178e-12,-1.28860407567686e-13,8.368689209819562e-12,1.313998054368874e-13,0.7572970406886564,0.011890593772757106
756000.0,1.4902650847192862e-12,2.3914889485626562e-14,7.494339390465482e-12,1.2026471003614763e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.98137778141311e-12,-1.2808041303704285e-13,8.15043292486582e-12,1.307933096311477e-13,0.6957103203758545,0.011164346260539543
777600.0,1.509612435716268e-12,2.4003026537973138e-14,7.916979484426729e-12,1.2588096399399301e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.36883943649547e-12,-1.3306559374686542e-13,8.520772602109994e-12,1.3548135008270493e-13,0.7037236763084137,0.011189294469355864
799200.0,1.5685457326099402e-12,2.4469309418844038e-14,8.505267660315047e-12,1.326821537578277e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.908341981980947e-12,-1.3897011214538607e-13,9.043620915333365e-12,1.410804631598532e-13,0.7395966096450106,0.011537705219738193
820800.0,1.5862957995774258e-12,2.4344517748492086e-14,8.870340320826214e-12,1.3613107809592904e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.183822177058101e-12,-1.4094201223248818e-13,9.31574129460667e-12,1.429665446679785e-13,0.7506085078956013,0.01151941658516743
842400.0,1.7103346250205532e-12,2.7321666034236295e-14,8.522808380453817e-12,1.3614723156397025e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.857679070957715e-12,-1.4149660883597143e-13,9.072425506770705e-12,1.4492706642917752e-13,0.75762656248436,0.01210267255076789
864000.0,1.7692451873829025e-12,2.7150690944035095e-14,9.141030119730827e-12,1.4027749543185006e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.439317796894319e-12,-1.4485499356090238e-13,9.625002374921637e-12,1.4770449380374365e-13,0.7913968935031608,0.012144711554285852
885600.0,1.849539946064158e-12,2.879741439909298e-14,9.576350264380718e-12,1.4910417457113356e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.744432855954487e-12,-1.5172122755943135e-13,9.933846457218424e-12,1.5467040526171869e-13,0.8042988478815344,0.012522966736915313
907200.0,1.9390324240761e-12,3.014025594928068e-14,9.690956040533178e-12,1.5063590058019284e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0046963932560304e-11,-1.5616967549412916e-13,1.0217040918327202e-11,1.588133465428683e-13,0.8220703221275393,0.012778233932337395
928800.0,2.009123245384083e-12,3.046835352958361e-14,9.471324761875423e-12,1.4363263771962024e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.850702163337257e-12,-1.4938589592089312e-13,1.0025724293213135e-11,1.5204010647806553e-13,0.8320218213738049,0.012617610719594725
950400.0,2.115924130173612e-12,3.4040751972405143e-14,9.119628701614365e-12,1.4671557183225192e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.640747195260111e-12,-1.5509926817441363e-13,9.913816590562544e-12,1.594923782222593e-13,0.845727644374073,0.013605972240593579
