time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,repair_gross,repair_gross_relative,repair_events,increment_left,increment_left_relative,increment_left_net_abs,increment_left_net_abs_relative,increment_moved_net_abs,increment_moved_net_abs_relative
0.0,4.111511009645985e-9,3.686863348880568e-18,3.1401742667767635e-9,2.8158488171661283e-18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21600.0,2.0011257933759167e-6,1.7944064684805696e-15,4.655055762813819e-6,4.174181453050576e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5.5428915461853875e-226,12984.49999331558,1.1643181480702909e-5,12984.499993315583,1.1643181480702912e-5,1010.0,-8.392849060820001e-7,-7.525855042980495e-16,1.2073424657897884e-6,1.0826221607136626e-15,1.625113832749478e7,0.01457237112807088
43200.0,5.365242542479034e-6,4.805932951285408e-15,6.823690639914269e-6,6.112342440457331e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,8.346778787085062e-56,15717.478791525666,1.4078981264548847e-5,15717.478791525667,1.4078981264548849e-5,1446.0,9.42258207317695e-7,8.440307649306841e-16,2.9181644662997183e-6,2.6139550364818974e-15,2.405797216615157e7,0.02155000454480699
64800.0,8.45557698302385e-6,7.566527312088342e-15,7.473417852477521e-6,6.687635912835999e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.2742872357395455e-53,15717.478791525666,1.4064886735939587e-5,15717.478791525667,1.4064886735939589e-5,1446.0,5.215778557959969e-6,4.667372905697964e-15,6.803296926137628e-6,6.08797390257547e-15,2.8317169666945603e7,0.025339800952218366
86400.0,8.867433509431928e-6,7.9265664936052e-15,1.02181039583137e-5,9.133925884867759e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,19059.448530695227,1.70371715727339e-5,19059.44853069523,1.7037171572733905e-5,2355.0,2.274140615796226e-6,2.0328460075560086e-15,6.230374182986399e-6,5.569308773384492e-15,3.2132605079605494e7,0.028723218562093967
108000.0,1.3203499795701147e-5,1.1788178847444202e-14,1.1367546159878799e-5,1.014902633867257e-14,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.4006834748175234e-44,24710.321531398356,2.2061551414179936e-5,24710.32153139836,2.206155141417994e-5,3000.0,8.484006402325973e-6,7.574581464078352e-15,9.442396208498732e-6,8.430238722800787e-15,3.626794774868812e7,0.03238028258465948
129600.0,1.3091562444937884e-5,1.1670265643268114e-14,1.265838108988975e-5,1.1284112996753616e-14,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,90800.81328194283,8.094294444089085e-5,90800.81328194284,8.094294444089086e-5,4001.0,9.123671881479346e-6,8.133152551248817e-15,9.730608817025274e-6,8.674196853357379e-15,3.8052350918518476e7,0.03392116452392441
151200.0,1.633979282149556e-5,1.4560731709196847e-14,1.1955766596408723e-5,1.065403409271325e-14,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.7673379179196843e-32,161293.7831904257,0.0001437322693778312,161293.78319042572,0.00014373226937783122,4678.0,1.2326962555828495e-5,1.0984814588873453e-14,1.2820934681381749e-5,1.1425003498890753e-14,4.3883329389735594e7,0.03910535419455634
172800.0,1.4004252501118445e-5,1.2476518412128252e-14,1.5057642680957492e-5,1.3414993491242066e-14,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.9590605950129194e-30,161293.7831904257,0.0001436981270922136,161293.78319042572,0.00014369812709221362,4678.0,7.996063561881316e-6,7.123767173320569e-15,8.964345118915719e-6,7.986418191180973e-15,4.5698296025897674e7,0.04071303568144493
194400.0,1.338494203314453e-5,1.1925110820772053e-14,1.4536391463639598e-5,1.2950977203246229e-14,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.401192156823537e-30,161293.7831904257,0.0001437022464859738,161293.78319042572,0.00014370224648597383,4678.0,5.617810515454032e-6,5.005102958309128e-15,7.489593559701409e-6,6.6727396338971895e-15,4.791136469839775e7,0.04268590272471968
