inclusive_s,method,signature
0.217316,ClimaCore.Grids.fd_geometry_data /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Grids/finitedifference.jl:84,Tuple{typeof(ClimaCore.Grids.fd_geometry_data); ClimaCore.DataLayouts.VIJFH{ClimaCore.Geometry.ZPoint{Float64}; 1000; 1; 1; 1; ClimaCore.DataLayouts.ThisThreadPool; Array{Float64; 5}}; ClimaCore.DataLayouts.VIJFH{ClimaCore.Geometry.ZPoint{Float64}; 1001; 1; 1; 1; ClimaCore.DataLayouts.ThisThreadPool; Array{Float64; 5}}; Val{false}}
0.197280,ClimaAtmos.get_atmos /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/config/type_getters.jl:40,Tuple{typeof(Core.kwcall); @NamedTuple{setup_type::ClimaAtmos.Setups.DYCOMS{@NamedTuple{θ::AtmosphericProfilesLibrary.ZProfile{AtmosphericProfilesLibrary.var"#95#96"{Float64}}; q_tot::AtmosphericProfilesLibrary.ZProfile{AtmosphericProfilesLibrary.var"#93#94"{Float64}}; u::AtmosphericProfilesLibrary.ZProfile{AtmosphericProfilesLibrary.var"#97#98"{Float64}}; v::AtmosphericProfilesLibrary.ZProfile{At
0.193820,ClimaAtmos._check_region_partition /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameterized_tendencies/tagged_tracers/tagged_tracers.jl:832,Tuple{typeof(ClimaAtmos._check_region_partition); @NamedTuple{ρe_src_strat::ClimaCore.Fields.Field{ClimaCore.DataLayouts.VIJFH{Float64; 30; 1; 1; 1; ClimaCore.DataLayouts.ThisThreadPool; Array{Float64; 5}}; ClimaCore.Spaces.FiniteDifferenceSpace{ClimaCore.Grids.FiniteDifferenceGrid{ClimaCore.Topologies.IntervalTopology{ClimaComms.SingletonCommsContext{ClimaComms.CPUSingleThreaded}; ClimaCore.Meshe
0.161246,Base.summary show.jl:3135,Tuple{typeof(summary); ClimaAtmos.AtmosModel{ClimaAtmos.AtmosWater{ClimaAtmos.EquilibriumMicrophysics0M; ClimaAtmos.QuadratureCloud; ClimaAtmos.Implicit; Nothing; ClimaAtmos.SGSQuadrature{3; StaticArraysCore.SVector{3; Float64}; StaticArraysCore.SVector{3; Float64}; ClimaAtmos.GaussianSGS; Float64}; ClimaAtmos.FixedTerminalVelocity; ClimaAtmos.FixedTerminalVelocity; ClimaAtmos.DiagnosticTerminalVe
0.144948,ClimaCore.DataLayouts.setindex! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:159,Tuple{typeof(setindex!); ClimaCore.DataLayouts.VIJFH{ClimaCore.Geometry.ZPoint{Float64}; 1001; 1; 1; 1; ClimaCore.DataLayouts.ThisThreadPool; Array{Float64; 5}}; ClimaCore.Geometry.ZPoint{Float64}; Int64}
0.101694,ClimaCore.Grids.fd_geometry_data /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Grids/finitedifference.jl:84,Tuple{typeof(ClimaCore.Grids.fd_geometry_data); ClimaCore.DataLayouts.VIJFH{ClimaCore.Geometry.ZPoint{Float64}; 30; 1; 1; 1; ClimaCore.DataLayouts.ThisThreadPool; Array{Float64; 5}}; ClimaCore.DataLayouts.VIJFH{ClimaCore.Geometry.ZPoint{Float64}; 31; 1; 1; 1; ClimaCore.DataLayouts.ThisThreadPool; Array{Float64; 5}}; Val{false}}
0.063369,ClimaAtmos.Internals.ParentBudget.build_parent_budget /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parent_budget/adapter.jl:818,Tuple{typeof(Core.kwcall); @NamedTuple{ode_config::ClimaTimeSteppers.IMEXAlgorithm{ClimaTimeSteppers.Unconstrained; ClimaTimeSteppers.ARS343; ClimaTimeSteppers.IMEXTableau{ClimaTimeSteppers.SparseCoeffs{(4; 4); (true; false; false; false; true; true; false; false; true; true; true; false; true; true; true; true); StaticArraysCore.SMatrix{4; 4; Float64; 16}}; ClimaTimeSteppers.SparseCoeffs{(4;); (t
0.060414,ClimaAtmos.Setups.DYCOMS_RF02 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/setups/DYCOMS.jl:51,Tuple{typeof(Core.kwcall); @NamedTuple{prognostic_tke::Bool; thermo_params::Thermodynamics.Parameters.ThermodynamicsParameters{Float64}}; typeof(ClimaAtmos.Setups.DYCOMS_RF02)}
0.056914,ClimaCore.MatrixFields.FieldMatrixWithSolver /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_matrix_with_solver.jl:17,Tuple{Type{ClimaCore.MatrixFields.FieldMatrixWithSolver}; ClimaCore.MatrixFields.FieldMatrix{ClimaCore.MatrixFields.FieldMatrixKeys{Tuple{Tuple{ClimaCore.MatrixFields.FieldName{(:c; :ρ)}; ClimaCore.MatrixFields.FieldName{(:f; :u₃)}}; Tuple{ClimaCore.MatrixFields.FieldName{(:c; :ρe_tot)}; ClimaCore.MatrixFields.FieldName{(:f; :u₃)}}; Tuple{ClimaCore.MatrixFields.FieldName{(:c; :ρq_tot)}; ClimaCore.
0.048703,Base.copy abstractarray.jl:1133,Tuple{typeof(copy); Base.ReshapedArray{Float64; 1; SubArray{Float64; 5; Array{Float64; 5}; Tuple{Base.Slice{Base.OneTo{Int64}}; Base.Slice{Base.OneTo{Int64}}; Base.Slice{Base.OneTo{Int64}}; UnitRange{Int64}; Base.Slice{Base.OneTo{Int64}}}; false}; NTuple{4; Base.MultiplicativeInverses.SignedMultiplicativeInverse{Int64}}}}
