time,form_a_max,form_a_relative,initial_min_strat,initial_min_tropo,initial_strat,initial_tropo,energy_change,records,form_b
0.0,0.0,0.0,0.033977965380665935,0.03322423235154931,5.2684683046055384e7,6.030271539654003e7,0.0,0.0,0.0
3600.0,126.80885423798635,0.018897095836004695,0.03388802089738018,0.03318483324725008,5.241806125569601e7,6.0155948537420586e7,60893.18633623421,87316.06327838404,-26422.87694214983
7200.0,717.8417544163647,0.05140744183914462,0.033763163510703485,0.033139500643900824,5.218994697219921e7,5.995657847142337e7,122712.42435498536,175868.80148288747,-53156.37712790212
10800.0,1328.601498069706,0.06210021447138105,0.03360949153446474,0.033096179282065215,5.199872072743248e7,5.971343245552404e7,181405.3227288127,266033.5192385918,-84628.19650977908
14400.0,1850.7937293858454,0.06434002757411476,0.03342760502585988,0.03305456983974779,5.182297172207611e7,5.943645667424444e7,241465.72377602756,360288.8248617621,-118823.10108573455
18000.0,2294.8474870104706,0.06372560250220838,0.033224008361673704,0.033012869971652,5.1654997120575786e7,5.914622759967118e7,301531.2348216474,457236.1511784266,-155704.91635677917
21600.0,3803.6895705316997,0.08808996421631045,0.03300077726749259,0.032972569505985566,5.150598300053665e7,5.883808948843123e7,364012.01789563894,559135.1840166976,-195123.16612105863
25200.0,5451.445169797447,0.10846184253476689,0.032760454786402486,0.03293226189811198,5.1372331048547566e7,5.851886760632155e7,426094.5674020648,663442.5492165915,-237347.98181452672
28800.0,7073.984152975048,0.12349282278274669,0.03250562229964597,0.03289224285568154,5.126240806459136e7,5.818204384112096e7,485352.52155306935,768406.4447309654,-283053.92317789607
32400.0,8445.949751799979,0.13124088088691202,0.032237225511077,0.032853732683104944,5.115607840761696e7,5.782282656844788e7,541060.3792983145,872632.6102683996,-331572.23097008513
36000.0,9602.723038053142,0.1345831291987014,0.03195789380579004,0.03281504054984484,5.105120152936305e7,5.745103240276914e7,595219.8431189954,977588.5479349834,-382368.70481598796
39600.0,10578.806325771295,0.13518807403688113,0.031670376191503785,0.03277615741570882,5.0949803001595065e7,5.707590928974941e7,648792.2314245254,1.0843211139925322e6,-435528.88256800687
43200.0,11404.517468309201,0.13408985924847128,0.0313759605441531,0.03273768454265255,5.085468366587565e7,5.670185486869108e7,703420.5917806774,1.1945522367218798e6,-491131.64494120236
46800.0,12104.030011707056,0.1319352519870252,0.031075724902456713,0.03270000001402209,5.076930602507707e7,5.6329831079596534e7,760415.6599079221,1.3098218208766575e6,-549406.1609687353
50400.0,12694.674243587082,0.12911855998106156,0.030770669293609013,0.032662548354849545,5.06951375852203e7,5.595868632329139e7,817693.7552436441,1.4286849705920243e6,-610991.2153483802
54000.0,13194.642803483337,0.12580969873328837,0.030461505229994634,0.03262506762292173,5.061790975546566e7,5.5570564471530296e7,864903.9521208256,1.5403382741338788e6,-675434.3220130531
57600.0,13625.477964765874,0.12236986803118048,0.03014905345987722,0.03259055641492939,5.05486518021071e7,5.518417301987973e7,926797.4517168999,1.6688032937492756e6,-742005.8420323757
61200.0,13992.383980852253,0.11885565501664415,0.029834069903245025,0.03255416230683162,5.0477223448743194e7,5.479295508603483e7,979505.1407905966,1.7901902084548771e6,-810685.0676642805
64800.0,14305.803022832324,0.11533520793197188,0.02951712460551406,0.032517627272094445,5.040703762836616e7,5.44035659869015e7,1.0303087606818676e6,1.9120476031988747e6,-881738.8425170071
68400.0,14833.637826696704,0.11386407354831883,0.02919870786466125,0.03248094850371543,5.033825364505755e7,5.402060914974498e7,1.0797452637686133e6,2.0349322422414925e6,-955186.9784728792
72000.0,15644.032084175913,0.11468291913569834,0.028879286578384636,0.03244787814788553,5.0281777443408765e7,5.365579713721664e7,1.1505375840314627e6,2.1819319486018997e6,-1.031394364570437e6
75600.0,16353.332015020611,0.1147985001414997,0.02855911664023815,0.03241942336308822,5.023775508715577e7,5.331306730794793e7,1.2455867861137092e6,2.356433251500126e6,-1.1108464653864168e6
79200.0,16969.330608762455,0.1143136138569457,0.02823835161719683,0.032390790865187,5.019334008066802e7,5.2972808634497926e7,1.3341078475570083e6,2.5273614700305117e6,-1.1932536224735035e6
82800.0,17495.164195999598,0.11332728523588627,0.02791737589764605,0.03235551802053049,5.0134581126622014e7,5.2616611623199426e7,1.383482398666218e6,2.6617129590089023e6,-1.2782305603426844e6
86400.0,17953.961491737573,0.11199912688313579,0.027596463342275293,0.032322901958482225,5.008100256470347e7,5.224412944845535e7,1.4335268621158302e6,2.799003892333878e6,-1.365477030218048e6
