# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c5_column_offset
# generated: 1789056225 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_strat,min_e_src_tropo,min_e_src_rad,min_e_src_sfc,min_e_src_new_strat,min_e_src_new_tropo,max_e_src_strat,max_e_src_tropo,max_e_src_rad,max_e_src_sfc,max_e_src_new_strat,max_e_src_new_tropo
0.0,column,false,1.4551915228366852e-11,0.033977965380665935,0.03322423235154931,0.0,0.0,0.0,0.0,65875.65445855673,68379.15330889264,0.0,0.0,0.0,0.0
3600.0,column,false,496.9088308291539,0.03727244131467673,0.03318483404045421,-2.468918270665195e-9,-2.5507693340446753e-26,-6.180112866249974e-12,-1.8650896596283832e-13,65781.74695812081,73892.0461387591,441.83906935037,6706.714839142227,86.65098892772923,6710.49093377937
7200.0,column,false,1335.3799850855285,0.04080575531071634,0.03313950356062466,-2.4463792175800374e-9,-1.6170352182327156e-26,-6.165841690692787e-12,-1.860779068161409e-13,65688.72013331877,80899.3621654584,593.3612023854974,13423.175929139723,446.8267406309056,13963.764130121139
10800.0,column,false,2312.8188252049877,0.044399739649064816,0.03309618543765901,-2.4224720067813375e-9,-4.124917801644423e-28,-6.117979371834622e-12,-1.846329495523531e-13,65598.47404388107,88030.35075654977,1236.38542848673,20158.089765829885,826.9998445064119,21394.464404068538
14400.0,column,false,3254.3320171156956,0.047935572395016716,0.033054579108584656,-2.3987275788810108e-9,-4.122566240943563e-28,-6.0630039318542255e-12,-1.8297487318115192e-13,65511.848930315515,95050.84821124484,1865.1015473242926,26900.71965556333,1152.0432730103041,28765.806694920266
18000.0,column,false,4177.055132816095,0.051386259276549086,0.03301288216135417,-2.375498229814893e-9,-4.110214255659732e-28,-5.9802255286608995e-12,-1.804810847273611e-13,65425.006271576756,101908.27914245072,2368.904759157849,33642.48464953303,1428.0868146436333,36011.37124643995
21600.0,column,false,5064.243954914709,0.0547782974840025,0.03297258410318867,-2.3530133346710476e-9,-4.069030216529842e-28,-5.890481207530228e-12,-1.7778036486562645e-13,65341.2200949673,108655.82547717169,2806.1198410212173,40373.481880594816,1663.8272653602196,43179.57994409589
25200.0,column,false,5907.19599017188,0.058109666806195406,0.032932278377662695,-2.331435187146703e-9,-3.9670355945880163e-28,-5.8005124638932065e-12,-1.7507525411811397e-13,65257.73896519547,115289.85869038514,3176.4132547354657,47084.99704769421,2059.1856202790686,50261.38495321775
28800.0,column,false,6709.28430599338,0.061395929387842545,0.032892261243246006,-2.3120075526263987e-9,-3.7903850521111126e-28,-5.561650305539977e-12,-1.6790220316159058e-13,65174.02462943097,121841.39177127967,3513.368620184988,53769.18427294835,2671.757171493895,57282.5240028264
32400.0,column,false,7483.896611853401,0.06469428339225894,0.032853752543291086,-2.292088981594855e-9,-3.433956847793221e-28,-5.285060103204004e-12,-1.5960789101192462e-13,65093.53669651205,128423.9422209646,3935.701855295324,60418.862779772135,3189.727920786358,64354.53217800965
36000.0,column,false,8214.137500904399,0.06794389372261248,0.03281506149086078,-2.27290730438058e-9,-2.8385532534376064e-28,-4.99949444097734e-12,-1.510543606955339e-13,65013.015576745245,134916.7833972616,4321.981672176275,67029.6290031519,3626.454849436912,71351.5746893283
