# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: d1_column_1m_ice_no_vdiff
# generated: 1789126789 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_upper,min_e_src_lower,min_e_src_sfc,min_e_src_mp,min_e_src_new_upper,min_e_src_new_lower,max_e_src_upper,max_e_src_lower,max_e_src_sfc,max_e_src_mp,max_e_src_new_upper,max_e_src_new_lower
0.0,column,false,2.9103830456733704e-11,0.0,0.0,0.0,0.0,0.0,0.0,103757.39210490731,90053.63401376444,0.0,0.0,0.0,0.0
60.0,column,false,688.0457696438389,0.0,0.0,0.0,0.0,0.0,0.0,103773.48124169679,90083.9941931051,27.707124991263314,0.0,0.0,27.707124991263314
120.0,column,false,838.6211182539846,0.0,0.0,0.0,0.0,0.0,0.0,103783.8633751703,90112.00812754687,55.25878424860753,0.0,0.0,55.25878424860753
180.0,column,false,869.3757472761063,8.383799256324915e-90,0.0,0.0,0.0,0.0,0.0,103790.52984451015,90139.39850954813,82.60528803137723,0.0,0.0,82.60528803137723
240.0,column,false,890.9036552908219,1.1537764426665735e-84,2.946425139284917e-76,0.0,0.0,0.0,0.0,103794.92472119238,90166.47682216251,109.81182625539324,0.0,0.0,109.81182625539324
300.0,column,false,929.8447407084022,8.403944981212162e-83,3.938833560303333e-73,0.0,0.0,0.0,0.0,103798.08891648607,90193.29516501774,136.92262477972065,0.0,0.0,136.92262477972065
360.0,column,false,972.4404872960295,1.1194968678162862e-81,1.2977039894224611e-71,0.0,0.0,0.0,0.0,103800.46497639557,90219.90588817942,163.96637608265985,0.0,0.0,163.96637608265985
420.0,column,false,1009.8010987320158,6.246611436821465e-81,1.1494591732527115e-70,0.0,0.0,0.0,0.0,103802.25075872241,90246.36913586345,190.96300725134333,0.0,0.0,190.96300725134333
480.0,column,false,1041.5853675571998,2.05872550997495e-80,4.972468139982489e-70,0.0,0.0,0.0,0.0,103803.57558837532,90272.7294853572,217.9270992072994,0.0,0.0,217.9270992072994
540.0,column,false,1069.403554038785,4.831972289856227e-80,1.386320263435033e-69,0.0,0.0,0.0,0.0,103804.53436378832,90299.0055381974,244.86004888016188,0.0,0.0,244.86004888016188
600.0,column,false,1094.0939656292321,9.009861685593147e-80,2.9044312668220846e-69,0.0,0.0,0.0,0.0,103805.20442029047,90325.18556948526,271.7411073427424,0.0,0.0,271.7411073427424
660.0,column,false,1115.901089385763,1.4298163735892298e-79,5.00148086388893e-69,0.0,0.0,0.0,0.0,103805.66082354361,90351.28712791734,298.57536931496185,0.0,0.0,298.57536931496185
720.0,column,false,1135.0030606373475,2.0198658472209276e-79,7.490757390857208e-69,0.0,0.0,0.0,0.0,103805.95992567587,90377.32782947336,325.37068063510714,0.0,0.0,325.37068063510714
780.0,column,false,1151.6442002670083,2.6201343259551332e-79,1.0136270826230862e-68,0.0,0.0,0.0,0.0,103806.14416631164,90403.32109165099,352.13346704303785,0.0,0.0,352.13346704303785
840.0,column,false,1166.0876583068166,3.1907076017591447e-79,1.2727315724319227e-68,0.0,0.0,0.0,0.0,103806.248203713,90429.28055007882,378.87237129493457,0.0,0.0,378.87237129493457
900.0,column,false,1178.577161171852,3.706880375121589e-79,1.5115484974133336e-68,0.0,0.0,0.0,0.0,103806.30019690798,90455.22443101139,405.6022632470659,0.0,0.0,405.6022632470659
960.0,column,false,1189.3357632607222,4.156482512606214e-79,1.7220301962587019e-68,0.0,0.0,0.0,0.0,103806.31634446325,90481.15822955512,432.32684024987753,0.0,0.0,432.32684024987753
1020.0,column,false,1198.5659329390328,4.537039652010946e-79,1.901425039422967e-68,0.0,0.0,0.0,0.0,103806.30855710128,90507.08329961529,459.0463319943517,0.0,0.0,459.0463319943517
1080.0,column,false,1206.4521644221095,4.852242665401488e-79,2.0505220050755502e-68,0.0,0.0,0.0,0.0,103806.285510436,90532.99990454601,485.760275473796,0.0,0.0,485.760275473796
1140.0,column,false,1213.161622166037,5.109049372114851e-79,2.1721101149534884e-68,0.0,0.0,0.0,0.0,103806.25345008374,90558.90749027714,512.4676554273649,0.0,0.0,512.4676554273649
1200.0,column,false,1218.8447746011952,5.315669880228837e-79,2.2698591237922204e-68,0.0,0.0,0.0,0.0,103806.21659472508,90584.80469626807,539.1668054796103,0.0,0.0,539.1668054796103
1260.0,column,false,1223.6372570020612,5.480166363118532e-79,2.3476465198348928e-68,0.0,0.0,0.0,0.0,103806.17617579106,90610.68544987676,565.8510880392951,0.0,0.0,565.8510880392951
1320.0,column,false,1227.658618886664,5.610092944808829e-79,2.409040006617423e-68,0.0,0.0,0.0,0.0,103806.13440033757,90636.54433004449,592.516092312375,0.0,0.0,592.516092312375
1380.0,column,false,1231.014575177047,5.712140456734265e-79,2.4571885868152224e-68,0.0,0.0,0.0,0.0,103806.0931349244,90662.37953892269,619.1609692108354,0.0,0.0,619.1609692108354
1440.0,column,false,1233.7985057521582,5.791943932849233e-79,2.4947688607945402e-68,0.0,0.0,0.0,0.0,103806.05361750841,90688.19061092821,645.784665087098,0.0,0.0,645.784665087098
1500.0,column,false,1236.0925792456692,5.854140663677941e-79,2.5239943540862276e-68,0.0,0.0,0.0,0.0,103806.01662455093,90713.97697215855,672.3859731815637,0.0,0.0,672.3859731815637
1560.0,column,false,1237.968833084713,5.902484845340925e-79,2.5466606355457963e-68,0.0,0.0,0.0,0.0,103805.9825974776,90739.73783716999,698.9635785565819,0.0,0.0,698.9635785565819
1620.0,column,false,1239.4901977936388,5.939979999830975e-79,2.564204110689325e-68,0.0,0.0,0.0,0.0,103805.9517380251,90765.4722679194,725.5160968683402,0.0,0.0,725.5160968683402
1680.0,column,false,1240.7114751396148,5.969004111834792e-79,2.577762232512018e-68,0.0,0.0,0.0,0.0,103805.92405119867,90791.17775296101,752.0405218241156,0.0,0.0,752.0405218241156
1740.0,column,false,1241.681281952886,5.991362183343711e-79,2.5882427326188582e-68,0.0,0.0,0.0,0.0,103805.89781469051,90816.84956308312,778.5315237436016,0.0,0.0,778.5315237436016
1800.0,column,false,1242.4407492140745,6.008493763521078e-79,2.5963374648842534e-68,0.0,0.0,0.0,0.0,103805.87279984665,90842.48475016018,804.9857507214101,0.0,0.0,804.9857507214101
1860.0,column,false,1243.0249583869445,6.021586306123343e-79,2.6025828127784344e-68,0.0,0.0,0.0,0.0,103805.84926556902,90868.08211715921,831.4017786610099,0.0,0.0,831.4017786610099
1920.0,column,false,1243.4640322308842,6.031565948023741e-79,2.607397023402647e-68,0.0,0.0,0.0,0.0,103805.82736150599,90893.64201346909,857.7798747385937,0.0,0.0,857.7798747385937
1980.0,column,false,1243.7837383931183,6.039154164174243e-79,2.6111053019144848e-68,0.0,0.0,0.0,0.0,103805.80715609141,90919.16586127448,884.1214753384594,0.0,0.0,884.1214753384594
2040.0,column,false,1244.0057814961183,6.044917939321805e-79,2.6139584051503916e-68,0.0,0.0,0.0,0.0,103805.78903601233,90944.65410141382,910.4269768690876,0.0,0.0,910.4269768690876
