# process_record_extrema.csv, from analysis/reduce_run.jl
# run: d1_column_1m_ice_no_vdiff
# generated: 1789126791 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# min and max of every e_prc_<process>. A record is a signed running total of what a process applied, not a share of what is present, so it is not comparable with a tag value directly.
time,geometry,remapped,min_e_prc_surface_flux,min_e_prc_microphysics,min_e_prc_precipitation,max_e_prc_surface_flux,max_e_prc_microphysics,max_e_prc_precipitation
0.0,column,false,0.0,0.0,0.0,0.0,0.0,0.0
60.0,column,false,0.0,0.0,-0.043069579653130734,26.74692812960416,0.0,0.13118699428712044
120.0,column,false,0.0,0.0,-0.052094794143670665,53.494602808763105,0.0,0.13487856508533175
180.0,column,false,0.0,0.0,-0.052664121563340785,80.20652036970067,0.0,0.1348548675294965
240.0,column,false,0.0,0.0,-0.05266685924762038,106.90068876835116,0.0,0.13478675906082613
300.0,column,false,0.0,0.0,-0.05266344795501418,133.5669675920367,0.0,0.13474467823537495
360.0,column,false,0.0,0.0,-0.05266385798935169,160.20330371121975,0.0,0.13471530623445693
420.0,column,false,0.0,0.0,-0.052663761622966127,186.80999642088815,0.0,0.13468871398057045
480.0,column,false,0.0,0.0,-0.05266285228511265,213.38448555258685,0.0,0.13466380684569967
540.0,column,false,0.0,0.0,-0.052661828094521565,239.92305507723697,0.0,0.13464160602939337
600.0,column,false,0.0,0.0,-0.0526609799386508,266.42297358844934,0.0,0.1346223662384739
660.0,column,false,0.0,0.0,-0.052660285135964637,292.8825431453439,0.0,0.13460573340825932
720.0,column,false,0.0,0.0,-0.05265968258442914,319.3004992857382,0.0,0.13459131226915572
780.0,column,false,0.0,0.0,-0.05265914986193596,345.6757459514654,0.0,0.13457881664983135
840.0,column,false,0.0,0.0,-0.0526586833675253,372.0073511080105,0.0,0.13456802417868144
900.0,column,false,0.0,0.0,-0.052658279312083126,398.29455662761586,0.0,0.13455873389997605
960.0,column,false,0.0,0.0,-0.05265793102838418,424.5367668235099,0.0,0.13455076249307543
1020.0,column,false,0.0,0.0,-0.05265763136771682,450.73352942222465,0.0,0.13454394435358483
1080.0,column,false,0.0,0.0,-0.05265737394895031,476.8845083877494,0.0,0.1345381321795849
1140.0,column,false,0.0,0.0,-0.05265715320079496,502.98946381374196,0.0,0.1345331954585498
