z,rho,rho_q_tot,ρq_tag_sfc,ρq_tag_air,ρq_tag_evap
12.5,1.2161278099213129,0.011869557049662503,0.0014093796752723182,0.01047166189933257,0.00047472875904869857
37.5,1.2137613903911828,0.011759397730161431,0.0012593977471504504,0.010508568184223395,0.0003306628913391818
62.5,1.211295893956909,0.01169017607858917,0.0011711690523370651,0.010525720391292667,0.0002533671558080133
87.5,1.2087808355358267,0.011649894045128124,0.0011349403431824305,0.010520820373826293,0.00022569202559422451
112.5,1.2062551129583416,0.011618156987270804,0.001114944533757129,0.010508552063135024,0.0002127058056680941
137.5,1.2037278817479247,0.011589620737008175,0.0011012197666002185,0.010493337627919047,0.00020519578364658637
162.5,1.2012017437457996,0.011562545767355492,0.001090337128309043,0.010476804519170175,0.0002001691357677223
187.5,1.1986775354110095,0.011536234478061987,0.0010808263766477505,0.01045970228122402,0.00019643793357332942
212.5,1.1961555284348506,0.011510437956719233,0.001072039488379043,0.010442417896934264,0.0001935142957985887
237.5,1.1932885940930857,0.011384742271575295,0.0006099003154459374,0.01076980398330327,4.6933643369490745e-5
262.5,1.1905944084983084,0.011370935348645658,0.0006314120903045392,0.010731978759272506,6.256936369129074e-5
287.5,1.187878756777779,0.011354690000048302,0.0006424792802762067,0.010703874583065707,7.207098727016707e-5
312.5,1.1851594842528472,0.011350714665348913,0.000685802199174614,0.010656708854191349,9.257932157048397e-5
337.5,1.1824473853827722,0.011357340594724024,0.0007554725336128921,0.01059579312373034,0.00012279921750667732
362.5,1.1797520247973483,0.01136365710108543,0.000826314063991992,0.010533799643932971,0.000152916840117316
387.5,1.1770494427470297,0.011361870647844056,0.0008818350741336323,0.010478685846801809,0.00017660844886062093
412.5,1.1742933482707472,0.01134211111382282,0.0009040632901251356,0.01043797553132816,0.00018670502359420724
437.5,1.1714653542461608,0.011289587266798944,0.0008707470262858297,0.010418713841471038,0.00017330071667226484
462.5,1.1687642158207943,0.01121887874379561,0.0008056072405259953,0.010413308638790444,0.00014582237899990458
487.5,1.166267077835179,0.011156078652252101,0.0007511211259272777,0.010404869322593477,0.00012378071674612625
512.5,1.1637300841893026,0.011100664921334841,0.0007102105513153085,0.010390441385561971,0.00010919689741406406
537.5,1.1611883016431173,0.011044381704901495,0.0006735212206715028,0.010371313151702807,9.847901396846876e-5
562.5,1.1586268570676181,0.010995114303766438,0.0006500046009693212,0.010346394522960458,9.361454142755488e-5
587.5,1.1557322531148093,0.010861960135787212,0.0005731719811723756,0.010291967913931355,8.451353616716158e-5
612.5,1.153391276461988,0.010773467692939201,0.000549729062629845,0.010226708442415067,8.086106928025422e-5
637.5,1.1511398845947174,0.010636012919751988,0.0005284012218108046,0.010108095679680759,7.52180066248279e-5
662.5,1.1491445776160867,0.010411806657398399,0.0005178229255631198,0.009885706325568917,6.538191811010819e-5
687.5,1.147217448795813,0.010165100580173659,0.0005502017739903841,0.009592880022946889,5.754701230647191e-5
712.5,1.1449340430013906,0.01004520019992727,0.0006057016564827865,0.009412837725735134,6.008949463042603e-5
737.5,1.1426997927311995,0.009995549906891367,0.0006909264591251538,0.009280219590025725,7.380659717361415e-5
762.5,1.1366746712621376,0.010373582925829456,0.0019035242513221395,0.008507365287774451,0.00035831839705856186
787.5,1.1327393523649483,0.011096299189411176,0.0013851367133188555,0.009721623879129351,0.0004319001463645426
812.5,1.1062379137853704,0.005795745485585381,0.00019021288419536877,0.005586228881009608,2.6950573939149636e-5
837.5,1.0986809056411329,0.0051594683509557605,7.248135682988377e-10,0.005160842740768391,-7.471751722509734e-10
862.5,1.0943430703297818,0.004993952334909463,1.9070136765691506e-16,0.004996020864109291,-1.1602425740595988e-12
887.5,1.09051015807122,0.0048384776179505535,3.371222495400549e-22,0.004840159907140936,-1.1094255898026523e-18
912.5,1.0869601434694318,0.004691777408469152,1.6653562936259007e-27,0.0046933556448111044,5.347212561168143e-22
937.5,1.083599960510382,0.004553182760960156,1.1326765729357828e-32,0.0045546770771896,2.225521148941588e-25
962.5,1.0803775887385862,0.004422037059019154,8.729483336123642e-38,0.004423462912212287,1.532089228605885e-30
987.5,1.0772605255599366,0.004297809333958466,7.108858305835424e-43,0.004299155964010327,8.84956758941139e-36
1012.5,1.0742274324150904,0.004180047911966383,5.951871633350568e-48,0.004181305915195651,-2.3100853336730366e-40
1037.5,1.071263194723362,0.00406835324329703,5.058441807289522e-53,0.0040695379221664,-6.987923723746019e-44
1062.5,1.0683567206786182,0.00396236483767765,4.329707009015763e-58,0.003963489278548698,-7.29080282402217e-49
1087.5,1.065499633943694,0.003861753158430198,3.708295783493322e-63,0.0038628288032849286,-6.390010945850134e-54
1112.5,1.0626854293075085,0.0037662141496586496,3.1589393431951414e-68,0.003767251022360579,-5.633766509587381e-59
1137.5,1.0599089417919116,0.003675465496189917,2.662187180493592e-73,0.00367645291007143,-5.1611995178412176e-64
1162.5,1.0571660013912683,0.0035892439123672315,2.2114876478264154e-78,0.0035901728127438223,-4.805565580036745e-69
1187.5,1.0544531917034958,0.003507303017943712,1.8078353195022108e-83,0.003508183904969045,-4.432829753651143e-74
1212.5,1.051767671563498,0.003429411620791392,1.45316839082613e-88,0.003430253920510152,-3.991719617476011e-79
1237.5,1.0491070525681563,0.0033553523930725426,1.1474421537315571e-93,0.0033561646409451086,-3.4866337157662563e-84
1262.5,1.046469305815172,0.003284920759467222,8.887337195676054e-99,0.003285710617221127,-2.9471904273513682e-89
1287.5,1.043852688645565,0.0032179239258221144,6.738944609131705e-104,0.0032186818591632654,-2.4086033016069816e-94
1312.5,1.0412556979885395,0.0031541800802819984,4.990663025990619e-109,0.0031548976416841392,-1.9017278166269115e-99
1337.5,1.0386770332046376,0.0030935180551341017,3.5995518133727e-114,0.003094203323034408,-1.4489456498420538e-104
1362.5,1.0361155915512457,0.003035780530922946,2.5204904595801536e-119,0.0030364408898562205,-1.0635018306271137e-109
1387.5,1.0335706963993936,0.002980852532368854,1.709398967993417e-124,0.0029814946653435514,-7.511377311854283e-115
1412.5,1.0310435911560787,0.00292883261843531,1.1286760582450788e-129,0.002929462043733777,-5.136630277028975e-120
1437.5,1.0285439207847904,0.0028807736534990852,7.553943857451617e-135,0.002881379083257125,-3.5437486207887017e-125
1462.5,1.0261071378753772,0.0028406486117454255,5.773714323838968e-140,0.0028412162118713184,-2.7803980595936597e-130
1487.5,1.0238051028534623,0.002816476926506534,3.205057125230621e-145,0.0028170538661565223,-1.5784944506307325e-135
