time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction,void
0.0,11.573375994886124,11.573375994886122,1.7763568394002505e-15,1.5348648831465956e-16,4.655462650135208e-16,4.022562346710499e-17,11.573375994886124,0.0,0
3600.0,11.580440904034925,11.58044081599679,8.803813500435353e-8,7.602312876850723e-9,8.803813288034188e-8,7.602312693437011e-9,11.580440904034925,0.0,0
7200.0,11.585637843536627,11.585636770467946,1.0730686810234147e-6,9.262059590634072e-8,1.073068679862364e-6,9.262059580612607e-8,11.585637843536627,0.0,0
10800.0,11.570592164655558,11.570585097206015,7.067449542930149e-6,6.108113951608231e-7,7.06744955319143e-6,6.108113960476645e-7,11.570592164655558,0.0,0
14400.0,11.51711684192546,11.517080022151006,3.6819774454244225e-5,3.1969610936141724e-6,3.681977445710376e-5,3.196961093862458e-6,11.51711684192546,0.0,0
18000.0,11.497688896676319,11.497660019886544,2.887678977536723e-5,2.511529928742006e-6,3.4172479182226577e-5,2.9721172219318743e-6,11.497688896676319,0.0,0
21600.0,11.521623809059703,11.521605825393282,1.7983666420917643e-5,1.5608621422595568e-6,3.3266080589383314e-5,2.887273629193263e-6,11.521623809059703,0.0,0
25200.0,11.553668248271205,11.553655548990559,1.269928064573378e-5,1.0991557289723975e-6,3.550322632519453e-5,3.072896465631765e-6,11.553668248271205,0.0,0
28800.0,11.584329909621939,11.584323070262808,6.8393591305948576e-6,5.903974752060617e-7,3.4471666203337006e-5,2.9757151662872495e-6,11.584329909621939,0.0,0
32400.0,11.58496813967951,11.5849824513786,-1.4311699089830654e-5,-1.2353680145922764e-6,4.117604425427236e-5,3.554264781552646e-6,11.58496813967951,0.0,0
36000.0,11.597439772527606,11.597467315429785,-2.754290217943378e-5,-2.3749122840610313e-6,5.073474030525202e-5,4.374650034866672e-6,11.597439772527606,0.0,0
39600.0,11.623393264151462,11.623427495757849,-3.423160638682532e-5,-2.9450613610744346e-6,5.724211491808582e-5,4.924733562498511e-6,11.623393264151462,0.0,0
43200.0,11.6514164885456,11.651456218746748,-3.973020114855785e-5,-3.409903095268824e-6,6.152577437827853e-5,5.280540305014756e-6,11.6514164885456,0.0,0
46800.0,11.675143443597822,11.675190658690854,-4.721509303173832e-5,-4.044069630478859e-6,6.655348181276182e-5,5.700442322981228e-6,11.675143443597822,0.0,0
50400.0,11.69537884532825,11.695435038069135,-5.619274088530801e-5,-4.804696079405273e-6,7.502439334381645e-5,6.414874997724862e-6,11.69537884532825,0.0,0
54000.0,11.71846615231212,11.7185294054013,-6.32530891806482e-5,-5.397727685390635e-6,8.197253639925515e-5,6.995159207169917e-6,11.71846615231212,0.0,0
57600.0,11.750039212693867,11.750105767907554,-6.655521368692519e-5,-5.664254602233488e-6,8.509970499175298e-5,7.242503914354396e-6,11.750039212693867,0.0,0
61200.0,11.778829830418259,11.778901163945118,-7.133352685961825e-5,-6.056079244425695e-6,8.858477575990951e-5,7.520677099107384e-6,11.778829830418259,0.0,0
64800.0,11.797188297163338,11.797269352055007,-8.105489166965185e-5,-6.870695764781655e-6,9.596648681329635e-5,8.134691453248374e-6,11.797188297163338,0.0,0
68400.0,11.822032753328191,11.822120307082617,-8.755375442603963e-5,-7.405981378404751e-6,0.00010212317306364998,8.638376766034574e-6,11.822032753328191,0.0,0
72000.0,11.853556276014602,11.853647184731521,-9.090871691874725e-5,-7.669320059052568e-6,0.00010530444108484712,8.883784632459055e-6,11.853556276014602,0.0,0
75600.0,11.887333302430553,11.887426425324735,-9.312289418161868e-5,-7.833791802790473e-6,0.00010725429302565994,9.02256967958744e-6,11.887333302430553,0.0,0
79200.0,11.911926044345543,11.912026061942232,-0.00010001759668831767,-8.396425256165428e-6,0.00011178325922341668,9.384146510587088e-6,11.911926044345543,0.0,0
82800.0,11.93668282583279,11.936788435236902,-0.00010560940411252773,-8.847466725342905e-6,0.0001173548266816967,9.831443826899973e-6,11.93668282583279,0.0,0
86400.0,11.955547122552009,11.955659907468561,-0.00011278491655275502,-9.433689265462923e-6,0.00012374070205337204,1.0350066022487357e-5,11.955547122552009,0.0,0
