z,rho,rho_q_tot,ρq_tag_sfc,ρq_tag_air,ρq_tag_evap
12.5,1.2161278099213129,0.011869557049662503,0.0014089203354044236,0.010464513486962078,0.00046720728530390455
37.5,1.2137613903911828,0.011759397730161431,0.0012591141695354577,0.010502644528216155,0.0003231913451197556
62.5,1.211295893956909,0.01169017607858917,0.001170990016848734,0.010520525074965948,0.0002459877927462345
87.5,1.2087808355358267,0.011649894045128124,0.001134801351097,0.01051591153315604,0.00021838464277290016
112.5,1.2062551129583416,0.011618156987270804,0.001114825149893926,0.010503790054160196,0.0002054573200126955
137.5,1.2037278817479247,0.011589620737008175,0.0011011120192349253,0.010488668096771781,0.0001979994712841873
162.5,1.2012017437457996,0.011562545767355492,0.0010902372900475068,0.010472202260429097,0.00019302198047641984
187.5,1.1986775354110095,0.011536234478061987,0.001080732469770185,0.010455154260882006,0.00018933932330572078
212.5,1.1961555284348506,0.011510437956719233,0.001071950452626843,0.010437917591704721,0.00018646499620590047
237.5,1.1932885940930857,0.011384742271575295,0.000610129932518967,0.010768078847017058,4.259968606440821e-5
262.5,1.1905944084983084,0.011370935348645658,0.0006316377689722933,0.01073096170787905,5.8235216967932296e-5
287.5,1.187878756777779,0.011354690000048302,0.0006427258776272034,0.010703762138841727,6.776346743263436e-5
312.5,1.1851594842528472,0.011350714665348913,0.0006860723221993681,0.010657513930699187,8.810939392144195e-5
337.5,1.1824473853827722,0.011357340594724024,0.0007557686536496144,0.010597434595044143,0.00011801368743317237
362.5,1.1797520247973483,0.01136365710108543,0.0008266333754917558,0.010536135372376836,0.00014779376712694434
387.5,1.1770494427470297,0.011361870647844056,0.0008821721792932167,0.010481688014732964,0.0001712166047751515
412.5,1.1742933482707472,0.01134211111382282,0.0009044089089747906,0.010441759595600189,0.00018120791390592372
437.5,1.1714653542461608,0.011289587266798944,0.0008710869540231215,0.010423716278931676,0.00016797098380709057
462.5,1.1687642158207943,0.01121887874379561,0.0008059326948244003,0.010419552671595975,0.00014081307235366803
487.5,1.166267077835179,0.011156078652252101,0.0007514334585780072,0.010412102962193692,0.0001190444759954599
512.5,1.1637300841893026,0.011100664921334841,0.0007105116224144923,0.010398520517509688,0.00010467660354733414
537.5,1.1611883016431173,0.011044381704901495,0.0006738104581753854,0.010380327077134384,9.41659670859347e-5
562.5,1.1586268570676181,0.010995114303766438,0.0006502846599942824,0.010356158128092244,8.944707371859493e-5
587.5,1.1557322531148093,0.010861960135787212,0.0005734198128126396,0.010305172522424032,8.087800557922794e-5
612.5,1.153391276461988,0.010773467692939201,0.0005499671614240152,0.010241090235366212,7.741829612008351e-5
637.5,1.1511398845947174,0.010636012919751988,0.0005286299372709833,0.010123928369162758,7.200602480013878e-5
662.5,1.1491445776160867,0.010411806657398399,0.0005180458592222533,0.009903558342106223,6.244474931766465e-5
687.5,1.147217448795813,0.010165100580173659,0.0005504360801976705,0.009612446378849074,5.470293002557423e-5
712.5,1.1449340430013906,0.01004520019992727,0.0006059570253729556,0.00943269763195359,5.7065071922292215e-5
737.5,1.1426997927311995,0.009995549906891367,0.0006912139848611285,0.009299406835862622,7.034725980968098e-5
762.5,1.1366746712621376,0.010373582925829456,0.0019041294300797783,0.008507638766598966,0.00034747842089018335
787.5,1.1327393523649483,0.011096299189411176,0.0013854678124346862,0.009720803813327815,0.00042407613311168434
812.5,1.1062379137853704,0.005795745485585381,0.00019030281694499236,0.005519652916875246,2.571084995315341e-5
837.5,1.0986809056411329,0.0051594683509557605,7.251836993092053e-10,0.0051572864801091665,-7.065665510101646e-10
862.5,1.0943430703297818,0.004993952334909463,1.907992905279601e-16,0.004991689097143374,-1.097048380397362e-12
887.5,1.09051015807122,0.0048384776179505535,3.372954068868269e-22,0.004836190094410301,-1.0461365685924305e-18
912.5,1.0869601434694318,0.004691777408469152,1.6662116543232726e-27,0.0046896115799396326,5.0860751212372e-22
937.5,1.083599960510382,0.004553182760960156,1.1332583044802387e-32,0.004551133685040349,2.116694466991288e-25
962.5,1.0803775887385862,0.004422037059019154,8.733966465584433e-38,0.004420100150337688,1.4570459952989169e-30
987.5,1.0772605255599366,0.004297809333958466,7.112508972417012e-43,0.004295970250002205,8.41412679466868e-36
1012.5,1.0742274324150904,0.004180047911966383,5.954928023322904e-48,0.004178293864555035,-2.2011701131252163e-40
1037.5,1.071263194723362,0.00406835324329703,5.0610393198403895e-53,0.0040666822320855394,-6.656148419757599e-44
1062.5,1.0683567206786182,0.00396236483767765,4.331930254279251e-58,0.003960774562164079,-6.943749522128662e-49
1087.5,1.065499633943694,0.003861753158430198,3.7101998980611645e-63,0.003860241180229866,-6.084911896657627e-54
1112.5,1.0626854293075085,0.0037662141496586496,3.160561345169339e-68,0.003764777919662419,-5.363832271054629e-59
1137.5,1.0599089417919116,0.003675465496189917,2.6635540949716165e-73,0.003674094476074798,-4.913118365056003e-64
1162.5,1.0571660013912683,0.0035892439123672315,2.212623131799173e-78,0.0035879286477912527,-4.574007647556033e-69
1187.5,1.0544531917034958,0.003507303017943712,1.808763537515901e-83,0.0035060424074814713,-4.218844587911516e-74
1212.5,1.051767671563498,0.003429411620791392,1.4539145001415153e-88,0.0034282044909831172,-3.79876550492572e-79
1237.5,1.0491070525681563,0.0033553523930725426,1.1480312867415628e-93,0.0033541975342758798,-3.3179127946095643e-84
1262.5,1.046469305815172,0.003284920759467222,8.891900199143887e-99,0.0032838168932714405,-2.8044447873359428e-89
1287.5,1.043852688645565,0.0032179239258221144,6.742404545224099e-104,0.003216863049422275,-2.291851973072062e-94
1312.5,1.0412556979885395,0.0031541800802819984,4.993225337254555e-109,0.0031531549131245708,-1.8094810439399962e-99
1337.5,1.0386770332046376,0.0030935180551341017,3.601399889507746e-114,0.003092528306930623,-1.3786168164942754e-104
1362.5,1.0361155915512457,0.003035780530922946,2.5217845200555186e-119,0.003034825856223381,-1.0118513282289057e-109
1387.5,1.0335706963993936,0.002980852532368854,1.7102765976533164e-124,0.0029799324391629163,-7.146379934665967e-115
1412.5,1.0310435911560787,0.00292883261843531,1.1292555346109993e-129,0.0029279459155573642,-4.8869049676395113e-120
1437.5,1.0285439207847904,0.0028807736534990852,7.557822135317179e-135,0.0028799110405796397,-3.371386368426172e-125
1462.5,1.0261071378753772,0.0028406486117454255,5.7766786049543725e-140,0.002839797074131438,-2.6451091877071737e-130
1487.5,1.0238051028534623,0.002816476926506534,3.206702629262377e-145,0.002815656009232022,-1.501660159709446e-135
