time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction,void
0.0,11.572872709327104,11.572872709327104,0.0,0.0,3.3500938885489504e-16,2.8947815919974284e-17,11.572872709327104,0.0,0
3600.0,11.58144799108938,11.581447802087718,1.8900166232072024e-7,1.6319346463942656e-8,1.89001665219433e-7,1.631934671423198e-8,11.58144799108938,0.0,0
7200.0,11.60038559678353,11.600385229031035,3.677524951228861e-7,3.1701747502673863e-8,3.6775249587234085e-7,3.170174756727988e-8,11.60038559678353,0.0,0
10800.0,11.629758576101315,11.629758114621016,4.614802993074818e-7,3.9680987037495795e-8,4.6148030262702425e-7,3.968098732293099e-8,11.629758576101315,0.0,0
14400.0,11.66159066428521,11.661590152764715,5.115204952943486e-7,4.3863698359858524e-8,5.115204941944526e-7,4.3863698265540684e-8,11.66159066428521,0.0,0
18000.0,11.665796281603296,11.665779053266002,1.7228337293673235e-5,1.47682480285053e-6,1.7228337294098188e-5,1.4768248028869574e-6,11.665796281603296,0.0,0
21600.0,11.644689970331827,11.644662983387034,2.6986944792639633e-5,2.317532271052006e-6,2.748923491345137e-5,2.360666963524838e-6,11.644689970331827,0.0,0
25200.0,11.642710096284612,11.642694836078242,1.5260206369660523e-5,1.3107091255781004e-6,3.147514447112218e-5,2.703420785266004e-6,11.642710096284612,0.0,0
28800.0,11.652284187873171,11.652277302981387,6.884891783798253e-6,5.908619866106197e-7,3.110801249877579e-5,2.669692224907344e-6,11.652284187873171,0.0,0
32400.0,11.671827784506286,11.67182650854259,1.2759636955905762e-6,1.0931995563577012e-7,3.1798299579793e-5,2.7243633273962032e-6,11.671827784506286,0.0,0
36000.0,11.693366513420909,11.693369944141907,-3.430720997954495e-6,-2.9339035888569215e-7,3.1132305803411794e-5,2.66239031913351e-6,11.693366513420909,0.0,0
39600.0,11.71658937289563,11.716596772103902,-7.399208271863245e-6,-6.315155406043396e-7,3.0539044723042625e-5,2.6064790487315016e-6,11.71658937289563,0.0,0
43200.0,11.741378989144675,11.741389709689546,-1.0720544871389848e-5,-9.130567100594722e-7,3.024477224154281e-5,2.575913124813123e-6,11.741378989144675,0.0,0
46800.0,11.76842881417685,11.76844214639908,-1.3332222229323065e-5,-1.1328803903935239e-6,2.984610539819016e-5,2.5361164068253546e-6,11.76842881417685,0.0,0
50400.0,11.795270820350291,11.795286452628607,-1.5632278316246584e-5,-1.325300500033991e-6,3.0544495300295824e-5,2.589554387136041e-6,11.795270820350291,0.0,0
54000.0,11.822158084306574,11.82217560864348,-1.7524336906049598e-5,-1.4823297727098094e-6,3.103662917312455e-5,2.6252930261797455e-6,11.822158084306574,0.0,0
57600.0,11.847764573683682,11.847783738883285,-1.9165199603321526e-5,-1.6176215761318696e-6,3.1638596723245006e-5,2.670427533099436e-6,11.847764573683682,0.0,0
61200.0,11.871335390204976,11.871356202191757,-2.0811986781055225e-5,-1.7531293739899868e-6,3.2375224917518937e-5,2.7271763330207734e-6,11.871335390204976,0.0,0
64800.0,11.892435149595604,11.892457638887093,-2.248929148862544e-5,-1.8910585767953653e-6,3.305722335451371e-5,2.7796849794583745e-6,11.892435149595604,0.0,0
68400.0,11.9068449029667,11.906869894274461,-2.4991307761013104e-5,-2.0989026030553474e-6,3.441480485076324e-5,2.89033787970048e-6,11.9068449029667,0.0,0
72000.0,11.826280100054111,11.826362933592932,-8.28335388209922e-5,-7.0041921990849176e-6,8.731701565126626e-5,7.383303533531794e-6,11.826280100054111,0.0,0
75600.0,11.80005740103427,11.80015217451751,-9.477348324082868e-5,-8.031612052372036e-6,9.785409623419279e-5,8.292679680152736e-6,11.80005740103427,0.0,0
79200.0,11.824265017123285,11.824362173260592,-9.71561373077634e-5,-8.21667453893049e-6,0.00010005323930344675,8.4616878223344e-6,11.824265017123285,0.0,0
82800.0,11.85651026803062,11.8566080457792,-9.777774858044097e-5,-8.246756117108476e-6,0.00010066475882275733,8.490251899345578e-6,11.85651026803062,0.0,0
86400.0,11.888011658482482,11.888109925308491,-9.826682600966308e-5,-8.266043879553779e-6,0.00010114534096007525,8.508179825673772e-6,11.888011658482482,0.0,0
