# process_record_extrema.csv, from analysis/reduce_run.jl
# run: d1_column_1m_ice
# generated: 1789122229 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# min and max of every e_prc_<process>. A record is a signed running total of what a process applied, not a share of what is present, so it is not comparable with a tag value directly.
time,geometry,remapped,min_e_prc_surface_flux,min_e_prc_microphysics,min_e_prc_precipitation,max_e_prc_surface_flux,max_e_prc_microphysics,max_e_prc_precipitation
0.0,column,false,0.0,0.0,0.0,0.0,0.0,0.0
60.0,column,false,0.0,0.0,-0.04306909575564307,26.7763862491326,0.0,0.13121904457160113
120.0,column,false,0.0,0.0,-0.05209524438188011,53.62198831608217,0.0,0.1349143623394145
180.0,column,false,0.0,0.0,-0.05266482247821055,80.49749361745884,0.0,0.13489133022569164
240.0,column,false,0.0,0.0,-0.05266753353096272,107.41883852902654,0.0,0.13482393134163767
300.0,column,false,0.0,0.0,-0.05266407998249773,134.37417183053574,0.0,0.13478240484128343
360.0,column,false,0.0,0.0,-0.05266444744342963,161.3601117222187,0.0,0.13475354287694252
420.0,column,false,0.0,0.0,-0.0526643083130453,188.37591820467145,0.0,0.13472741352965528
480.0,column,false,0.0,0.0,-0.05266335616184543,215.4181662476803,0.0,0.1347029235452053
540.0,column,false,0.0,0.0,-0.052662289168656076,242.48239644859603,0.0,0.1346810922628526
600.0,column,false,0.0,0.0,-0.05266139819290117,269.5652073124261,0.0,0.13466160887716327
660.0,column,false,0.0,0.0,-0.0526606605519933,296.66430032135224,0.0,0.13464471054266608
720.0,column,false,0.0,0.0,-0.05266001514496047,323.77788155225034,0.0,0.1346300054248724
780.0,column,false,0.0,0.0,-0.052659439553770185,350.9043838614151,0.0,0.1346172098391645
840.0,column,false,0.0,0.0,-0.05265893017026174,378.042454585475,0.0,0.13460610244660662
900.0,column,false,0.0,0.0,-0.05265848322636557,405.1909689460627,0.0,0.13459647459274865
960.0,column,false,0.0,0.0,-0.05265809204254483,432.34900971278364,0.0,0.13458815175955535
1020.0,column,false,0.0,0.0,-0.05265774947147599,459.515831924029,0.0,0.1345809694982766
1080.0,column,false,0.0,0.0,-0.05265744913260318,486.69082944758856,0.0,0.1345747815325636
1140.0,column,false,0.0,0.0,-0.052657185454443534,513.8735106693006,0.0,0.13456945836310352
1200.0,column,false,0.0,0.0,-0.05265695343544283,541.063479167751,0.0,0.1345648853811191
1260.0,column,false,0.0,0.0,-0.05265674853342149,568.2604177812518,0.0,0.1345615750721412
1320.0,column,false,0.0,0.0,-0.052656566690390746,595.46407494282,0.0,0.13455886521024993
1380.0,column,false,0.0,0.0,-0.05265640437728473,622.6742499562587,0.0,0.13455663894979805
1440.0,column,false,0.0,0.0,-0.052656258443614185,649.8907824559881,0.0,0.134554823664625
