time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction
0.0,8.093558037622435e-9,1.2709397203785118e-17,9.602946331648631e-9,1.507960512400383e-17,0.0,0.0,0.0,0.0,0.0
60.0,559048.3687648607,0.0008778771480994405,559048.0841804078,0.0008778767012146952,0.0,0.0,0.0,0.0,0.0
120.0,731953.6560528337,0.001149388456881508,731953.3700558842,0.001149388007779861,0.0,0.0,0.0,0.0,0.0
180.0,675417.3571721286,0.0010606066669909702,675417.0711111483,0.001060606217789925,0.0,0.0,0.0,0.0,0.0
240.0,667998.6015298485,0.0010489543229430561,667998.3154554688,0.0010489538737221196,0.0,0.0,0.0,0.0,0.0
300.0,725845.159858421,0.0011397875164347523,725844.8737812032,0.0011397870672105106,0.0,0.0,0.0,0.0,0.0
360.0,784238.607323409,0.0012314790138776995,784238.3212457212,0.0012314785646538719,0.0,0.0,0.0,0.0,0.0
420.0,836493.9755220433,0.0013135315224621599,836493.6894441653,0.0013135310732391868,0.0,0.0,0.0,0.0,0.0
480.0,882331.2846129445,0.0013855054701295425,882330.9985349537,0.0013855050209075463,0.0,0.0,0.0,0.0,0.0
540.0,922926.6093701071,0.0014492476940520243,922926.3232921297,0.0014492472448312033,0.0,0.0,0.0,0.0,0.0
600.0,958934.4057062361,0.0015057859300340102,958934.1196282143,0.0015057854808142746,0.0,0.0,0.0,0.0,0.0
660.0,990812.9418318415,0.0015558398365228127,990812.6557537756,0.0015558393873041636,0.0,0.0,0.0,0.0,0.0
720.0,1.0187581325440384e6,0.0015997171010446057,1.0187578464659998e6,0.0015997166518271556,0.0,0.0,0.0,0.0,0.0
780.0,1.0432123870065236e6,0.0016381124677188866,1.0432121009284786e6,0.001638112018502583,0.0,0.0,0.0,0.0,0.0
840.0,1.0643925893433082e6,0.001671366541984657,1.0643923032652407e6,0.0016713660927694753,0.0,0.0,0.0,0.0,0.0
900.0,1.082852288952868e6,0.0017003485743764758,1.0828520028747555e6,0.001700348125162381,0.0,0.0,0.0,0.0,0.0
960.0,1.098782916245173e6,0.0017253591906951917,1.0987826301670615e6,0.0017253587414822566,0.0,0.0,0.0,0.0,0.0
1020.0,1.11244984093432e6,0.0017468151162391228,1.11244955485618e6,0.0017468146670273014,0.0,0.0,0.0,0.0,0.0
1080.0,1.1241350140879413e6,0.0017651591086901264,1.1241347280097792e6,0.0017651586594794291,0.0,0.0,0.0,0.0,0.0
1140.0,1.1340910295537135e6,0.0017807878234825114,1.1340907434755515e6,0.0017807873742729733,0.0,0.0,0.0,0.0,0.0
1200.0,1.1426325478532119e6,0.0017941953708920108,1.1426322617750375e6,0.001794194921683613,0.0,0.0,0.0,0.0,0.0
1260.0,1.149862206662427e6,0.0018055429324272732,1.1498619205842353e6,0.0018055424832200083,0.0,0.0,0.0,0.0,0.0
1320.0,1.1559522489344936e6,0.001815100983636643,1.1559519628563514e6,0.001815100534430616,0.0,0.0,0.0,0.0,0.0
1380.0,1.161060793863645e6,0.0018231178199089853,1.1610605077855096e6,0.0018231173707041295,0.0,0.0,0.0,0.0,0.0
1440.0,1.165326934972242e6,0.0018298118597092432,1.1653266488941703e6,0.0018298114105056486,0.0,0.0,0.0,0.0,0.0
1500.0,1.1688726343276394e6,0.0018353746192795353,1.1688723482495788e6,0.0018353741700771191,0.0,0.0,0.0,0.0,0.0
1560.0,1.1718044994743983e6,0.0018399735031335582,1.171804213396438e6,0.001839973053932461,0.0,0.0,0.0,0.0,0.0
1620.0,1.1742154293160439e6,0.0018437543887324616,1.1742151432380765e6,0.0018437539395325152,0.0,0.0,0.0,0.0,0.0
1680.0,1.1761861267082947e6,0.0018468440018316204,1.176185840630319e6,0.001846843552632823,0.0,0.0,0.0,0.0,0.0
