time,gap_integral,gap_gross,new_integral,kept_over_levels,kept_over_columns,kept_overall
0.0,0.0,0.0,0.0,0.0,NaN,0.0
3600.0,-0.6218821317085393,5.842379982207965,507509.05072176794,0.10644328742779176,NaN,0.10644328742779176
7200.0,-0.6860702668502376,13.416763005518954,1.0334302332996222e6,0.05113530488449593,NaN,0.05113530488449593
10800.0,-0.6841267495726556,28.630658837669372,1.5466336805396788e6,0.023894900688507723,NaN,0.023894900688507723
14400.0,-0.5537825852017273,66.01443714328208,2.0579455412914553e6,0.008388810223432809,NaN,0.008388810223432809
18000.0,-0.7777850733746609,155.74758851680667,2.583363636828811e6,0.004993881964925128,NaN,0.004993881964925128
21600.0,-1.5480800378629456,137.78494822940067,3.101658009160025e6,0.011235480056105395,NaN,0.011235480056105395
25200.0,-2.8564130692352854,169.2013893655366,3.6136851362652867e6,0.016881735309302887,NaN,0.016881735309302887
28800.0,-4.160166657208662,207.77022127574256,4.145455261733372e6,0.02002292066526459,NaN,0.02002292066526459
32400.0,-5.823185436585913,234.34839066791372,4.703426179176755e6,0.024848412314628306,NaN,0.024848412314628306
36000.0,-6.944867413375782,252.17481623209304,5.275749600632067e6,0.027539892829678777,NaN,0.027539892829678777
39600.0,-4.588147581891633,299.74249611843925,5.846810897586696e6,0.015306963948410864,NaN,0.015306963948410864
43200.0,0.17613180643765886,371.6766274652407,6.434530291554401e6,0.00047388453677822597,NaN,0.00047388453677822597
46800.0,6.17857554730759,429.19729516086676,7.042442938607476e6,0.014395653507070234,NaN,0.014395653507070234
50400.0,-4.897659982738604,613.9621403001745,7.615153124717447e6,0.007977136799256174,NaN,0.007977136799256174
54000.0,-9.360691168513757,454.72003912667907,8.130765807363254e6,0.02058561392300107,NaN,0.02058561392300107
57600.0,-10.124172042471384,728.4128708970195,8.649238873140827e6,0.013898947213829099,NaN,0.013898947213829099
61200.0,-10.977556750382377,1301.7606590543685,9.168484214789111e6,0.008432853362120152,NaN,0.008432853362120152
64800.0,-14.52834735937733,1981.7253412320035,9.712252990126017e6,0.007331160911706016,NaN,0.007331160911706016
68400.0,-19.127265756274088,2560.697436226228,1.027714705342358e7,0.007469553210652828,NaN,0.007469553210652828
72000.0,-23.000182177432112,3302.6320171400034,1.0850421974368667e7,0.006964197663580363,NaN,0.006964197663580363
75600.0,-31.18752025210508,4265.910732208756,1.1428141246249832e7,0.007310870341620383,NaN,0.007310870341620383
79200.0,-43.665622846983126,5176.3983451096765,1.2006534209605113e7,0.00843552214026101,NaN,0.00843552214026101
82800.0,-56.884044137911445,2019.6823208813944,1.2577113833775397e7,0.028164847288006712,NaN,0.028164847288006712
86400.0,-77.48909557200076,1490.0015835636623,1.3082259469849238e7,0.05200604913900076,NaN,0.05200604913900076
