# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: d4_column_edmf
# generated: 1789732500 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_strat,min_e_src_tropo,min_e_src_rad,min_e_src_sfc,min_e_src_sub,min_e_src_mp,min_e_src_new_strat,min_e_src_new_tropo,max_e_src_strat,max_e_src_tropo,max_e_src_rad,max_e_src_sfc,max_e_src_sub,max_e_src_mp,max_e_src_new_strat,max_e_src_new_tropo
0.0,column,false,1.4551915228366852e-11,0.033977965380665935,0.03322423235154931,0.0,0.0,0.0,0.0,0.0,0.0,65875.65445855673,68379.15330889264,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,column,false,557.3715237658616,6.203618929230258,0.0331901579042257,2.687792415363262e-85,2.5451208681991833e-90,3.356015103965579e-23,0.0,3.355975142442226e-23,4.08818992462793e-28,65797.18884484678,69008.14379820004,271.8528503673765,1490.636189268938,158.7101720824379,0.0,91.56219096656817,1513.9751644685794
7200.0,column,false,739.7666167138959,6.533408242153232,0.03315628502256451,1.2124933818252655e-69,1.3844346970170983e-73,3.682537786577824e-18,0.0,3.5759683363930386e-18,9.237325707694769e-23,65709.50407478555,69452.14699516614,379.4804077525904,3187.8780601673557,284.95262392824634,0.0,175.36133662006702,3231.217151295881
10800.0,column,false,1540.9374450333708,22.402461408917063,0.033141029587202435,1.3363003122948862e-64,8.707491080408206e-68,8.40145103820779e-17,0.0,8.163333783473218e-17,4.970302280869113e-19,65631.84837952701,69669.86357218715,349.42417677001066,4877.083231955437,300.47966099621874,0.0,245.41599354248672,4964.745152132941
14400.0,column,false,936.4951197188057,189.25629393589674,0.03314455241675323,6.470072273286293e-61,3.164318122729579e-63,5.879277028591768e-16,0.0,5.7270820559369575e-16,1.2133490358747474e-17,65554.33184020448,68613.97316734196,489.0649644619704,5363.935651973959,378.80836737060446,0.0,304.79164648173395,5499.499294477303
18000.0,column,false,913.1220764488098,248.15803203467615,0.03318816104489889,8.77018289572394e-58,9.220272342141626e-60,3.0854068218567304e-15,0.0,3.029040563278623e-15,5.931733228684312e-17,65463.70459349351,69032.46537892132,818.6094358686125,6873.242297853821,452.9180956016257,0.0,369.63528249160174,7024.816863006072
21600.0,column,false,1690.2138298980135,406.56792284277196,0.03338068428677927,4.671424747974342e-55,8.70602193327374e-57,1.8908639355960714e-13,0.0,1.8892507927715384e-13,1.7190412877674496e-16,65383.25401913848,69501.09495837822,656.0621606500588,7843.482827026111,530.4809427645772,0.0,429.13540186921375,8036.871533135572
25200.0,column,false,974.2309571303485,1591.3902846886317,0.03428265390096565,2.8992342728458087e-52,8.257939874440524e-54,2.1752138554481704e-11,0.0,2.1750260917824945e-11,1.9070412863730847e-15,65293.286715023445,67641.7658930372,726.2888759754655,6667.314226041989,593.9501755566896,0.0,483.1842077381929,7041.2338368291885
28800.0,column,false,615.5079595154093,1575.4980339210783,0.03752426788509619,1.1018850389021811e-49,4.1303727520352734e-51,2.2607983596384222e-10,0.0,2.2078349940965388e-10,5.947372910373366e-13,65194.572136623254,68095.53981478779,840.1420935189827,8251.472960017776,820.2426002630806,0.0,547.6417399371051,8630.687558085086
32400.0,column,false,614.5494943377998,1916.7162948626672,0.04449593130885395,1.780651670927122e-47,8.345371957159617e-49,6.7348957560477436e-9,0.0,6.6930371410367985e-9,4.279407683193526e-11,65091.027189274115,68253.74186360413,940.3280045221421,8794.540119135847,1719.1926839082953,0.0,995.0029181284291,9289.520079038939
