time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,repair_gross,repair_gross_relative,repair_events,increment_left,increment_left_relative,increment_left_gross,increment_left_gross_relative,increment_moved_gross,increment_moved_gross_relative,led_repair_retained,led_repair_retained_relative,led_repair_attempted,led_repair_attempted_relative,led_repair_events,led_repairnet_retained,led_repairnet_retained_relative,led_repairnet_attempted,led_repairnet_attempted_relative,led_repairnet_events,inc_left_retained,inc_left_retained_relative,inc_left_attempted,inc_left_attempted_relative,inc_left_events,inc_moved_retained,inc_moved_retained_relative,inc_moved_attempted,inc_moved_attempted_relative,inc_moved_events,led_fix_strat_retained,led_fix_strat_retained_relative,led_fix_strat_attempted,led_fix_strat_attempted_relative,led_fix_strat_events,led_fix_strat_inventory_fraction,led_fix_strat_burden_fraction,led_fix_strat_parent_fraction,led_fix_strat_applicable,led_fix_tropo_retained,led_fix_tropo_retained_relative,led_fix_tropo_attempted,led_fix_tropo_attempted_relative,led_fix_tropo_events,led_fix_tropo_inventory_fraction,led_fix_tropo_burden_fraction,led_fix_tropo_parent_fraction,led_fix_tropo_applicable,led_fix_sfc_retained,led_fix_sfc_retained_relative,led_fix_sfc_attempted,led_fix_sfc_attempted_relative,led_fix_sfc_events,led_fix_sfc_inventory_fraction,led_fix_sfc_burden_fraction,led_fix_sfc_parent_fraction,led_fix_sfc_applicable,led_fix_rad_retained,led_fix_rad_retained_relative,led_fix_rad_attempted,led_fix_rad_attempted_relative,led_fix_rad_events,led_fix_rad_inventory_fraction,led_fix_rad_burden_fraction,led_fix_rad_parent_fraction,led_fix_rad_applicable,led_inc_strat_retained,led_inc_strat_retained_relative,led_inc_strat_attempted,led_inc_strat_attempted_relative,led_inc_strat_events,led_inc_strat_inventory_fraction,led_inc_strat_burden_fraction,led_inc_strat_parent_fraction,led_inc_strat_applicable,led_inc_tropo_retained,led_inc_tropo_retained_relative,led_inc_tropo_attempted,led_inc_tropo_attempted_relative,led_inc_tropo_events,led_inc_tropo_inventory_fraction,led_inc_tropo_burden_fraction,led_inc_tropo_parent_fraction,led_inc_tropo_applicable,led_inc_sfc_retained,led_inc_sfc_retained_relative,led_inc_sfc_attempted,led_inc_sfc_attempted_relative,led_inc_sfc_events,led_inc_sfc_inventory_fraction,led_inc_sfc_burden_fraction,led_inc_sfc_parent_fraction,led_inc_sfc_applicable,led_inc_rad_retained,led_inc_rad_retained_relative,led_inc_rad_attempted,led_inc_rad_attempted_relative,led_inc_rad_events,led_inc_rad_inventory_fraction,led_inc_rad_burden_fraction,led_inc_rad_parent_fraction,led_inc_rad_applicable,ledger_parent_scale,ledger_cadence_step
0.0,2.797045234315121e-9,2.4755373367908736e-17,6.911249350594062e-10,6.116832005920909e-18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,1.0
3600.0,4.050582071795361,3.5827356459637745e-8,88.7472804928563,7.849687765076479e-7,0.0,0.0,0.0,0.0,0.0,3550.991895638444,3.140848652745202e-5,-62.08125776260064,0.0,0.0,0.0,0.0,0.0,-85.71323152348737,-7.581326448073472e-7,93.81448676704039,8.297881635048454e-7,831180.7528066498,0.007351785147262744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.7829693261753,2.129722869097498e-6,155.32438514941097,1.373842577433684e-6,840.0000000000001,1.1196121768959793e6,0.009902958105086328,655203.2177000123,0.005795265672430969,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,206210.42323634756,0.0018239290571161737,116414.50786045309,0.0010296851159322632,899.0,0.003930300029508741,0.003923367152438226,0.228657768176816,1.0,975174.5371033632,0.008625408677543153,574535.5855398681,0.005081761301718286,900.0,0.016094219412045255,0.016094219412045255,1.081328624117828,1.0,6040.748497336468,5.34303578747555e-5,3565.527945551945,3.153705773833857e-5,421.0,0.014870954443414873,0.01461542600323209,0.0066983232362375755,1.0,578.4027283909164,5.115966140170909e-6,343.4993498847445,3.038248190961803e-6,487.0,0.007447432159142759,0.007447432159142759,0.0006413656250036538,1.0,901829.9482258989,1.0
7200.0,15.69453346382943,1.387287780576557e-7,71.54101536422829,6.323729001156135e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.0899936176512555e-44,0.0,0.0,0.0,0.0,0.0,-56.97281492613124,-5.036001239172007e-7,88.36503094440421,7.810855158069169e-7,1.2406666032657844e6,0.010966631295200579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.7977897760497,2.6146470694627505e-6,188.56257597274657,1.666762240011195e-6,1739.9999999999998,1.9832567528814455e6,0.01753061258787521,1.1612794393939676e6,0.010264903890382723,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,278168.58738032496,0.0024588171614169686,158232.20802676686,0.001398662847768529,1791.0,0.005310527465923506,0.005304304720395346,0.15208632460384106,1.0,1.7937305420865782e6,0.015855332485152474,1.0541520709306002e6,0.009317972338851978,1800.0,0.02952617631163459,0.02952617631163459,0.9807070167222577,1.0,16758.74864090968,0.00014813570126738398,9871.616245598201,8.725823308874527e-5,990.0,0.020717420595981292,0.020717420595981292,0.00916270420667868,1.0,2024.8214052718995,1.7898015253893164e-5,1193.409851454642,1.0548914422708462e-5,1033.9999999999998,0.013092567742578796,0.013092567742578796,0.0011070539934329375,1.0,1.8290177509707508e6,1.0
10800.0,8.003631990141002,7.07051274028778e-8,169.30792478224438,1.495688258379624e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.5380328500947941e-37,0.0,0.0,0.0,0.0,0.0,-162.61902562681303,-1.4365976520708442e-6,178.6288742513715,1.5780307399607653e-6,2.242186659675139e6,0.019807768976465738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.4606418774976,3.749740592574026e-6,268.2326400120017,2.3696020767847316e-6,2640.0,3.6710453985161935e6,0.0324304931715461,2.1529216869231127e6,0.01901919058120456,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,521213.88042352366,0.004604471303139502,300259.97215038026,0.002652535700170687,2667.0,0.009961596323292191,0.00978965638466182,0.18935392721138403,1.0,3.3334513336031456e6,0.029448143233476057,1.958438825917299e6,0.017301103657414104,2700.0,0.05475880009367503,0.05475880009367503,1.2110231996755039,1.0,46235.002377882614,0.00040844603270457914,27181.011076247698,0.00024012059193282177,1584.0,0.038351898238483784,0.038351898238483784,0.016796903543255345,1.0,6840.237455605681,6.042754856298882e-5,4028.3901175466026,3.5587322960436175e-5,1604.0,0.031146618691647778,0.031146618691647778,0.002485017905173356,1.0,2.7525908128732387e6,1.0
14400.0,32.61946527418331,2.879994912837979e-7,84.18130919142227,7.432425399665204e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.4236180929619146e-35,0.0,0.0,0.0,0.0,0.0,-53.05291472152732,-4.684078148581829e-7,118.19340587454363,1.0435376692673348e-6,3.6746755368349836e6,0.03244396179845069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0267527827833,4.714958747502974e-6,333.51414854431977,2.944619242202398e-6,3540.0,5.297553097863672e6,0.04677245884962913,3.104095540368816e6,0.027406271960873127,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,687844.6842992248,0.006073027791697946,396792.53520508454,0.0035033084486126337,3564.0,0.013162463860770288,0.0131581769997896,0.18826789659504353,1.0,4.822908519814303e6,0.042581789386784794,2.8289096105543985e6,0.024976636553644783,3600.0,0.07905858586510653,0.07905858586510653,1.320063763261937,1.0,82047.73500049282,0.0007244050674194077,48131.73364182396,0.0004249583703146593,2184.0,0.05121529425679958,0.05121529425679958,0.02245703840056226,1.0,12812.163575107881,0.0001131194690305437,7521.446317345585,6.640736428099396e-5,2174.0,0.045043449651633545,0.045043449651633545,0.00350677869899461,1.0,3.653542089434134e6,1.0
18000.0,47.563124688895186,4.1969442610732086e-7,66.50906647179747,5.868723862528695e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,9.212734441973317e-34,0.0,0.0,0.0,0.0,0.0,-22.256702622347483,-1.9639193377697334e-7,117.30874521176102,1.0351259893258199e-6,4.355892617067711e6,0.038436159610265794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.5072275959058,5.0341247561442355e-6,356.37166791955053,3.1446042207425603e-6,4440.0,6.178425944944998e6,0.05451809459893803,3.6201847293894547e6,0.03194431321200244,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,775027.7885607604,0.006838803065711492,447829.16564799455,0.003951620207884227,4464.0,0.014858911312140864,0.014858911312140864,0.1720908129716302,1.0,5.633384912151711e6,0.04970868216105991,3.3037145641641477e6,0.029151797681471393,4500.0,0.09209559873837904,0.09209559873837904,1.2508632640315975,1.0,108386.15037148897,0.0009563934976030793,63572.185852835806,0.0005609575113580204,2778.0,0.05417223660084227,0.05417223660084227,0.024066570267025467,1.0,17070.926085118455,0.00015063292357844256,10019.673421833102,8.841305347503441e-5,2740.0,0.04831409173864801,0.04831409173864801,0.0037905086650145713,1.0,4.5035976945993425e6,1.0
21600.0,26.969508546608267,2.378450400447391e-7,101.69129888106721,8.968191249302811e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.82869634577719e-32,0.0,0.0,0.0,0.0,0.0,-79.91557268917825,-7.047782333002979e-7,133.82818268639923,1.1802354282857086e-6,5.2555985148689635e6,0.04634930729523006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0156476638339,5.732510753065047e-6,408.73916291241454,3.6046849872235623e-6,5340.0,7.462658028979067e6,0.06581344241684157,4.374464467301962e6,0.0385785552822234,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,925996.125761658,0.008166392251176302,536544.171797412,0.0047318018348901595,5364.0,0.017783680524362036,0.017783680524362036,0.17002008826179382,1.0,6.81960188245837e6,0.06014230774800217,4.0003340378359603e6,0.03527908592687663,5400.0,0.11121121186394113,0.11121121186394113,1.2521319276710485,1.0,152923.45465998878,0.001348637300324818,89760.40344502163,0.0007916001403925472,3379.0,0.06387020046767278,0.06387020046767278,0.02807793524751946,1.0,24724.1120032325,0.00021804280931989736,14518.7813719283,0.00012804164120526333,3338.0,0.05855327014754787,0.05855327014754787,0.004539539192484731,1.0,5.446392454142395e6,1.0
25200.0,37.43313057202613,3.299579438875125e-7,105.30729803447288,9.282413467649074e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.1630619580901535e-28,0.0,0.0,0.0,0.0,0.0,-75.30329369841951,-6.637681534243931e-7,150.16701832875074,1.3236616828543041e-6,7.316244656428942e6,0.06448974496451339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.037731337047,6.902161691263799e-6,488.4284661782002,4.3052998767013705e-6,6240.0,1.056918816947611e7,0.09316312965730665,6.192683636454997e6,0.05458600786538321,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.234274474217369e6,0.010879631531805387,715554.3591522146,0.006307322991095264,6264.0,0.02374266216291325,0.02374266216291325,0.19441401743627543,1.0,9.682954789885249e6,0.08535133996016579,5.6758239399350425e6,0.05003009816357765,6300.0,0.15754186164093653,0.15754186164093653,1.5251892351975258,1.0,272511.25039720477,0.0024020767297104496,159756.470039545,0.0014081888308953717,4001.0,0.09791177585003498,0.09791177585003498,0.04292400766036829,1.0,46262.70525001656,0.0004077870824508832,27129.326091018436,0.0002391340643770734,3937.0,0.09623825609019925,0.09623825609019925,0.0072869678284718615,1.0,6.348690750253832e6,1.0
28800.0,61.13865176594118,5.386440934100303e-7,75.30955721993732,6.634926842865337e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,4.307794236122777e-25,0.0,0.0,0.0,0.0,0.0,-23.472810231295522,-2.0680028462559643e-7,145.66412520442782,1.2833308945620698e-6,8.678393149723174e6,0.07645842810345616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.1122594311997,7.84207203079941e-6,559.560626751132,4.929844178739586e-6,7138.0,1.247663160172148e7,0.10992168986075032,7.3124651945581585e6,0.06442432195584327,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4196031026338183e6,0.012506995233516628,824355.2724659268,0.007262739454659483,7164.0,0.027365984763636966,0.027365984763636966,0.195958982305362,1.0,1.142609782194266e7,0.10066627124975627,6.698944082948489e6,0.0590190748101252,7200.0,0.18539827396850342,0.18539827396850342,1.5772341556278995,1.0,358047.8755968737,0.0031544754059444776,210008.73064652915,0.0018502200990684464,4604.0,0.11275074969782496,0.11275074969782496,0.049424164534711115,1.0,61092.99998532674,0.0005382418918358811,35839.886627451895,0.00031575677059853647,4527.0,0.11061390023371072,0.11061390023371072,0.008433147321878028,1.0,7.244389034546307e6,1.0
32400.0,45.2485177644121,3.9844818717741207e-7,96.1490919506257,8.466671015821036e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.4839234173716418e-24,0.0,0.0,0.0,0.0,0.0,-61.83696361581194,-5.445222798580655e-7,152.30001879993182,1.3411194310025828e-6,9.634116147992892e6,0.08483584223047257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.1645701706373,8.780805094449396e-6,629.8801802949496,5.546582040194372e-6,8032.0,1.438235618108859e7,0.12664776728226276,8.434564802942691e6,0.07427286508832642,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6223322033838553e6,0.014285889513628192,943468.015883477,0.00830796541327381,8064.0,0.03133884221277152,0.03133884221277152,0.19979500508664574,1.0,1.3168574726748507e7,0.11595948302443582,7.724058795331155e6,0.068016310294964,8100.0,0.21310285745272348,0.21310285745272348,1.6217488927525627,1.0,459740.4276470471,0.004048369958147161,269828.3631304159,0.002376047381223197,5221.0,0.12888736849404744,0.12888736849404744,0.05661839226805091,1.0,77637.08274674414,0.0006836545461940583,45584.61522066297,0.00040140778516591075,5121.0,0.12581623072105902,0.12581623072105902,0.00956123616972174,1.0,8.119983793790506e6,1.0
