time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction,void
0.0,11.572872709327104,11.572872709327104,0.0,0.0,3.3500938885489504e-16,2.8947815919974284e-17,11.572872709327104,0.0,0
3600.0,11.57876852095369,11.57876814741297,3.7354072013329187e-7,3.2260833218775246e-8,3.7354071799240593e-7,3.2260833033877695e-8,11.57876852095369,0.0,0
7200.0,11.585611965767992,11.585609782222727,2.183545264600184e-6,1.884704296201103e-7,2.1835452643696556e-6,1.8847042960021248e-7,11.585611965767992,0.0,0
10800.0,11.558760545668711,11.558736546061084,2.399960762744513e-5,2.0763132459248185e-6,2.3999607631124478e-5,2.0763132462431356e-6,11.558760545668711,0.0,0
14400.0,11.513015326607025,11.512968415388979,4.691121804611953e-5,4.074624823759757e-6,4.691121804338452e-5,4.074624823522199e-6,11.513015326607025,0.0,0
18000.0,11.523444510497725,11.523403687628042,4.082286968376536e-5,3.5425926376940677e-6,4.1381974873243386e-5,3.591111566992394e-6,11.523444510497725,0.0,0
21600.0,11.511302790385876,11.511272069397778,3.0720988098309476e-5,2.668767267938372e-6,4.377920983209037e-5,3.80314988053779e-6,11.511302790385876,0.0,0
25200.0,11.503678075607652,11.503658157605756,1.9918001896712667e-5,1.7314463918237341e-6,4.016383291393548e-5,3.4913905491756323e-6,11.503678075607652,0.0,0
28800.0,11.522626780503044,11.522609776857841,1.7003645202962048e-5,1.4756743863068798e-6,3.991077887227114e-5,3.463687545603968e-6,11.522626780503044,0.0,0
32400.0,11.509061922610195,11.509054652429981,7.2701802142915994e-6,6.316918149522616e-7,4.518358118074054e-5,3.925913465803401e-6,11.509061922610195,0.0,0
36000.0,11.511863181314936,11.511862300312199,8.81002737429526e-7,7.652998681043166e-8,4.895789742740699e-5,4.252821342323737e-6,11.511863181314936,0.0,0
39600.0,11.530401409089073,11.53040386264667,-2.4535575970929813e-6,-2.127903019194904e-7,5.044269751632545e-5,4.374756413646013e-6,11.530401409089073,0.0,0
43200.0,11.560792053473216,11.560795804987942,-3.7515147255362535e-6,-3.2450326138416994e-7,5.066827786399399e-5,4.3827687263669525e-6,11.560792053473216,0.0,0
46800.0,11.54669590817315,11.546709038948915,-1.3130775764480518e-5,-1.137189016572793e-6,5.884686953850629e-5,5.096424986549827e-6,11.54669590817315,0.0,0
50400.0,11.554399101704115,11.554416760214172,-1.7658510056861587e-5,-1.5282932415115554e-6,6.270142458701688e-5,5.426627904671328e-6,11.554399101704115,0.0,0
54000.0,11.572954641679454,11.572974910193656,-2.0268514202115284e-5,-1.751369017650789e-6,6.420040661556949e-5,5.547451675335764e-6,11.572954641679454,0.0,0
57600.0,11.564586248600676,11.564614050783556,-2.7802182879455017e-5,-2.404079340306628e-6,7.108343119073329e-5,6.1466471573364275e-6,11.564586248600676,0.0,0
61200.0,11.566612803222437,11.566645475662147,-3.267243971016853e-5,-2.8247197572884992e-6,7.494053336150634e-5,6.4790388194396936e-6,11.566612803222437,0.0,0
64800.0,11.589596094407327,11.589630267808808,-3.417340148104131e-5,-2.9486274761147215e-6,7.553414690414264e-5,6.517409777601515e-6,11.589596094407327,0.0,0
68400.0,11.606771593029713,11.606808424740104,-3.6831710390927697e-5,-3.1732950110818475e-6,7.739184673265275e-5,6.66781853268564e-6,11.606771593029713,0.0,0
72000.0,11.594835903959838,11.594880985132026,-4.5081172187266816e-5,-3.888038826998044e-6,8.511028072841252e-5,7.340360953219345e-6,11.594835903959838,0.0,0
75600.0,11.602181599344256,11.602229940858379,-4.834151412325127e-5,-4.166588301460777e-6,8.789817743418919e-5,7.576004278295136e-6,11.602181599344256,0.0,0
79200.0,11.606991729288174,11.60704337237471,-5.164308653604621e-5,-4.4493084634267545e-6,9.077474796126807e-5,7.82069549788807e-6,11.606991729288174,0.0,0
82800.0,11.600225761442225,11.600282262774286,-5.650133206103192e-5,-4.870709693326456e-6,9.522554778014307e-5,8.208939182602938e-6,11.600225761442225,0.0,0
86400.0,11.603270865559185,11.603330337569869,-5.947201068323693e-5,-5.125452242932782e-6,9.784620308329211e-5,8.432639745894331e-6,11.603270865559185,0.0,0
