time,form_a_max,form_a_relative,initial_min_extratropics,initial_min_tropics,form_a_max_unrepaired
0.0,0.0,0.0,0.0031357680740889526,0.0,0.0
3600.0,1.4941601743099184,0.0011101866507281938,-5361.689188026025,-4559.590183601502,1.4941601743099184
7200.0,1.4995629552691554,0.0005680615692008795,-8052.495031347886,-7571.03496213858,1.4995629552691554
10800.0,2.0134071116358427,0.0005182031386389864,-9214.2472905938,-9500.195088076549,2.0134071116358427
14400.0,16.51674198069486,0.003240819886145854,-9554.664617980632,-10663.305184352512,16.51674198069486
18000.0,28.858766111112345,0.004608714347693861,-9520.442353776689,-11294.36719874472,28.858766111112345
21600.0,40.25696782231353,0.005454889237622844,-9235.821018181916,-11555.042535395478,40.25696782231353
25200.0,50.562501892423825,0.0059807794756042655,-8816.878083437054,-11562.322437662206,50.562501892423825
28800.0,59.89948146130337,0.006314637752942291,-8333.474317268243,-11395.36468989005,59.89948146130337
32400.0,68.36285635398053,0.006526366562217268,-7832.913283624286,-11126.298017851335,68.36285635398053
36000.0,76.23898373276097,0.006673996633378432,-7351.265912235128,-10861.068121697434,76.23898373276097
39600.0,83.67609466484464,0.0067847506399341985,-6878.496314709746,-10529.211004930814,83.67609466484464
43200.0,90.55704261548999,0.0068576374519094116,-6415.0592069313025,-10149.48869674905,90.55704261548999
46800.0,96.91705976406774,0.006902351372550408,-5953.193517982822,-9739.43679284198,96.91705976406774
50400.0,102.72754195313973,0.0069216963441707715,-5483.668254873442,-9314.780338706443,102.72754195313973
54000.0,108.12137858764254,0.006927673464133265,-5471.087517378752,-8890.86197307499,108.12137858764254
57600.0,113.32984173341538,0.006935531483187076,-5706.583076088016,-8480.966290591645,113.32984173341538
61200.0,118.57071501458631,0.006957101146579751,-5939.477697781248,-8095.0159987158295,118.57071501458631
64800.0,123.67954235437719,0.006981084087411603,-6155.456404875558,-7737.84710063362,123.67954235437719
68400.0,128.58198049319617,0.007002886324317473,-6406.679859946697,-7405.796802333146,128.58198049319617
72000.0,133.2106408895197,0.007019000370088947,-6635.258450052871,-7089.537886211558,133.2106408895197
75600.0,137.56273617713669,0.007029597949507198,-6836.100348840438,-6918.689676795425,137.56273617713669
79200.0,141.61974169183668,0.007033800852021593,-7011.247699810147,-7152.627476581976,141.61974169183668
82800.0,145.35240467985568,0.007029821007071335,-7163.069793938288,-7377.740599285758,145.35240467985568
86400.0,148.7752744433019,0.007018324294974189,-7294.957832140566,-7598.453085538901,148.7752744433019
