# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c6_sphere_first_order
# generated: 1789059962 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,min_e_src_rad,min_e_src_new_tropics,min_e_src_new_extratropics,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc,max_e_src_rad,max_e_src_new_tropics,max_e_src_new_extratropics
0.0,sphere,true,3.801784917881153e-11,0.0,0.0031357680740889526,0.0,0.0,0.0,0.0,217406.80386903352,222808.42859456438,0.0,0.0,0.0,0.0
3600.0,sphere,true,686.4018820156587,-4560.548536823017,-5362.82691826839,-3.3885278382804467,-1.0470444838233928,-0.9583532215146415,-4.379707890392356,219529.3257132637,219924.65693712365,1077.306583411994,307.93857381887403,88.25557983576668,1345.8639349787525
7200.0,sphere,true,738.9785982316904,-7574.520609954029,-8056.403435322025,-10.604600715535772,-3.1888240566969777,-3.485647815448547,-13.039104147864181,222307.43273038458,222251.531076549,2122.2028915447863,595.319666159513,183.5950863153764,2639.7894815851387
10800.0,sphere,true,954.6494503224375,-9507.293097221585,-9221.746709153695,-20.158752917623467,-5.800031348019657,-7.098009145035765,-24.479304891909887,223558.46910387476,224266.42641360138,3134.7786121624044,865.8213214581004,279.5290532510939,3885.3626338968343
14400.0,sphere,true,1153.2357369562305,-10674.686224957808,-9565.901554427513,-30.49422506658318,-8.547660175831018,-11.38104060529709,-37.582963459504576,223985.03282773742,225511.70679921604,4117.231066892536,1119.90899563031,375.5233592711075,5096.470202277816
18000.0,sphere,true,1431.2654648255852,-11310.420910624545,-9535.628679853417,-41.038415214079315,-11.297769627961776,-16.053711879825972,-51.2454505161243,224033.79723303538,226226.1881540502,5070.331035837389,1358.2555599723544,471.3148430857143,6261.782339694116
21600.0,sphere,true,1741.4427398127555,-11575.959032560651,-9254.872094713086,-51.67825777782103,-14.046663847344401,-20.91649716517433,-65.12267489668152,223825.61994704837,226570.71995081098,5994.90594953327,1579.7382590917682,566.7211827021245,7379.978963563444
25200.0,sphere,true,2028.2635169154178,-11588.167343953171,-8839.62259056466,-62.47367247994536,-17.16180549623367,-25.844975874449005,-79.12013790657299,223480.83164555376,226662.76373365632,6890.839691703724,1784.2692949596212,661.6741549034999,8454.165899062249
28800.0,sphere,true,2294.1445816677146,-11426.119474406134,-8359.70152627382,-73.36382941307005,-20.553669949658584,-30.754784516083745,-93.40146891087764,223073.57799223915,226579.31386174503,7758.981779280153,1972.3194349466944,756.2877722203117,9485.814357829504
32400.0,sphere,true,2550.467657556118,-11160.88612308571,-7861.8976175666785,-84.31219004462602,-23.863883498450903,-35.56741900622585,-107.65311390245665,222651.69784024387,226387.20140801073,8599.755644717363,2144.3245193428884,850.4762882974779,10474.872304869941
