time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction
0.0,0.19714394913415223,1.2180844739357467e-17,0.32597856032790773,2.0141091061392623e-17,0.0,0.0,0.0,0.0,0.0
3600.0,2.327660002867216e11,1.437956534953596e-5,2.2620032948675064e11,1.3973958464443524e-5,1.717701811825953e9,1.0611431834435589e-7,0.002464447319157347,4.450781523876165e9,2.749555506399082e-7
7200.0,5.804084464463059e11,3.584741956589342e-5,5.721313029518171e11,3.5336203305222594e-5,2.827874728378603e9,1.7465633467026516e-7,0.008924662088474988,4.451681700682049e9,2.7494655302698525e-7
10800.0,9.246803505938834e11,5.7097839217769454e-5,9.39363900197795e11,5.800452978807499e-5,7.206707947305145e9,4.4500507813361603e-7,0.018576313754897492,4.454012391762604e9,2.7502961780844417e-7
14400.0,1.237803199450708e12,7.641855466996721e-5,1.2685579445634346e12,7.831726778672175e-5,6.761426846868999e9,4.1743184003219133e-7,0.016707276001942176,4.455836403375281e9,2.7509104673737256e-7
18000.0,1.4329163206687686e12,8.845353044175365e-5,1.4770099665114407e12,9.117541907444952e-5,8.692997710014082e9,5.366163581792084e-7,0.014430655025800647,4.457818810294236e9,2.7517992931796014e-7
21600.0,1.499919049450895e12,9.258020778133478e-5,1.5659438608852957e12,9.665548821967443e-5,4.8883061636986226e7,3.017232166627097e-9,0.020660345771259726,4.460765995211119e9,2.753339540902192e-7
25200.0,1.5437003479301401e12,9.52735239699848e-5,1.6217467575209814e12,0.00010009036325158143,4.338642262137617e7,2.677707095895944e-9,0.02299834766271032,4.462928872411781e9,2.754413843801915e-7
28800.0,1.6130448430879058e12,9.954390136223272e-5,1.7022763976064087e12,0.00010505054124236435,4.803076204346983e7,2.964064799373636e-9,0.02468716213985418,4.46501335806555e9,2.7554401305141314e-7
32400.0,1.712547462245421e12,0.00010567568039774267,1.813403763963113e12,0.00011189919159459016,3.979856545337488e7,2.45583878745474e-9,0.022894535776111394,4.466717701263306e9,2.756264819701659e-7
36000.0,1.8138765576454316e12,0.000111919743871968,1.9266265195633809e12,0.00011887663782720578,4.665920072353166e7,2.8789642670210843e-9,0.02346420805755524,4.467842122757303e9,2.756746284259178e-7
39600.0,1.9015863422517034e12,0.00011732418097004673,2.022670096983246e12,0.00012479481327162006,3.2736408543099895e7,2.0197727733320312e-9,0.025335111817887664,4.468586208048763e9,2.757030828968652e-7
43200.0,1.9687301154617366e12,0.00012146050657529973,2.098170159204225e12,0.0001294462904877911,3.087470508561545e7,1.9048102584555195e-9,0.023429086483281774,4.469016865839637e9,2.75715319309337e-7
46800.0,1.9965874335844026e12,0.00012317353626267247,2.1302926013500085e12,0.00013142207977910516,3.776363481083676e7,2.3297153751149705e-9,0.02558786025328293,4.469202973725538e9,2.7571421380788495e-7
50400.0,2.0103862038193445e12,0.00012401947364673948,2.1490786028753164e12,0.00013257532142218055,4.00973982646019e7,2.4735835422726962e-9,0.025772069229306895,4.469202478418441e9,2.7570231925644754e-7
54000.0,2.0380844295242104e12,0.00012572266197327666,2.1775854164572954e12,0.00013432801471090642,4.700562116945664e7,2.8996207102720978e-9,0.027158376418003238,4.469085074460014e9,2.7568302078502186e-7
57600.0,2.08224480460402e12,0.0001284429534496053,2.2161613252744834e12,0.0001367035736190385,5.737547434034822e7,3.539197390984881e-9,0.02973154477607675,4.470053068336252e9,2.757345423093823e-7
61200.0,2.125386404415396e12,0.00013110219676202236,2.258834207042443e12,0.0001393337823415315,5.717298907178654e7,3.526654940104413e-9,0.03360558455912604,4.469988916158449e9,2.757265056334332e-7
64800.0,2.1391056631775874e12,0.00013194644599587744,2.2758917471676455e12,0.00014038382146304873,6.087893748034521e7,3.755195255106897e-9,0.036538652339836296,4.470041966077463e9,2.7572558056819113e-7
68400.0,2.1287032158458481e12,0.0001313023773377065,2.2533307944578457e12,0.0001389896384043437,4.6624502421499014e7,2.8758861097026674e-9,0.03258241788848543,4.473722563512505e9,2.759475363995825e-7
72000.0,2.1195586992640825e12,0.0001307352716323235,2.247728864468936e12,0.0001386408613048502,5.134000387509932e7,3.1666730223352913e-9,0.03555743887132627,4.474569699403036e9,2.7599334016667164e-7
75600.0,2.1321257893985625e12,0.00013150648964682177,2.25117541372829e12,0.0001388493013454653,4.2428630699122116e7,2.616937664515962e-9,0.03526918133210882,4.479384048268814e9,2.7628204437880175e-7
79200.0,2.1765653798743828e12,0.00013424268012324661,2.294195010837647e12,0.0001414976503016882,3.830652906255816e7,2.3626081601434042e-9,0.034415577258165235,4.48123374902457e9,2.7638628928413883e-7
82800.0,2.208407406509538e12,0.00013620638918864498,2.328069825856285e12,0.00014358672400039904,4.237492537449341e7,2.613528446058084e-9,0.0355194368577306,4.483270457420006e9,2.765115163811448e-7
86400.0,2.1980029290926787e12,0.00013556393623002688,2.3196759700046475e12,0.00014306823758503573,4.065562869811106e7,2.5074748460401116e-9,0.03245661785437974,4.48525558619059e9,2.7663243493160744e-7
