time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,repair_gross,repair_gross_relative,repair_events,increment_left,increment_left_relative,increment_left_gross,increment_left_gross_relative,increment_moved_gross,increment_moved_gross_relative,led_repair_retained,led_repair_retained_relative,led_repair_attempted,led_repair_attempted_relative,led_repair_events,led_repairnet_retained,led_repairnet_retained_relative,led_repairnet_attempted,led_repairnet_attempted_relative,led_repairnet_events,inc_left_retained,inc_left_retained_relative,inc_left_attempted,inc_left_attempted_relative,inc_left_events,inc_moved_retained,inc_moved_retained_relative,inc_moved_attempted,inc_moved_attempted_relative,inc_moved_events,led_fix_tropics_retained,led_fix_tropics_retained_relative,led_fix_tropics_attempted,led_fix_tropics_attempted_relative,led_fix_tropics_events,led_fix_tropics_inventory_fraction,led_fix_tropics_burden_fraction,led_fix_tropics_parent_fraction,led_fix_tropics_applicable,led_fix_extratropics_retained,led_fix_extratropics_retained_relative,led_fix_extratropics_attempted,led_fix_extratropics_attempted_relative,led_fix_extratropics_events,led_fix_extratropics_inventory_fraction,led_fix_extratropics_burden_fraction,led_fix_extratropics_parent_fraction,led_fix_extratropics_applicable,led_fix_sfc_retained,led_fix_sfc_retained_relative,led_fix_sfc_attempted,led_fix_sfc_attempted_relative,led_fix_sfc_events,led_fix_sfc_inventory_fraction,led_fix_sfc_burden_fraction,led_fix_sfc_parent_fraction,led_fix_sfc_applicable,led_fix_rad_retained,led_fix_rad_retained_relative,led_fix_rad_attempted,led_fix_rad_attempted_relative,led_fix_rad_events,led_fix_rad_inventory_fraction,led_fix_rad_burden_fraction,led_fix_rad_parent_fraction,led_fix_rad_applicable,led_inc_tropics_retained,led_inc_tropics_retained_relative,led_inc_tropics_attempted,led_inc_tropics_attempted_relative,led_inc_tropics_events,led_inc_tropics_inventory_fraction,led_inc_tropics_burden_fraction,led_inc_tropics_parent_fraction,led_inc_tropics_applicable,led_inc_extratropics_retained,led_inc_extratropics_retained_relative,led_inc_extratropics_attempted,led_inc_extratropics_attempted_relative,led_inc_extratropics_events,led_inc_extratropics_inventory_fraction,led_inc_extratropics_burden_fraction,led_inc_extratropics_parent_fraction,led_inc_extratropics_applicable,led_inc_sfc_retained,led_inc_sfc_retained_relative,led_inc_sfc_attempted,led_inc_sfc_attempted_relative,led_inc_sfc_events,led_inc_sfc_inventory_fraction,led_inc_sfc_burden_fraction,led_inc_sfc_parent_fraction,led_inc_sfc_applicable,led_inc_rad_retained,led_inc_rad_retained_relative,led_inc_rad_attempted,led_inc_rad_attempted_relative,led_inc_rad_events,led_inc_rad_inventory_fraction,led_inc_rad_burden_fraction,led_inc_rad_parent_fraction,led_inc_rad_applicable,ledger_parent_scale,ledger_cadence_step
0.0,7.193520302297007e6,1.496659214535201e-17,5.4364515816972675e6,1.1310895100307929e-17,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0.0,0.0,1.0
3600.0,1.726541088433261e8,3.592914135961292e-16,1.7798067119766378e8,3.7037593472753514e-16,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,6.954079906320094e19,0.00014471368312870387,6.9540799063200965e19,0.00014471368312870392,157279.0,293314.0654579138,6.103835345246987e-19,1.3997854693235266e8,2.912939074394995e-16,3.21513879220063e21,0.006690670551059803,3.4769135772055863e19,7.235421169381906e-5,3.4769135772055863e19,7.235421169381906e-5,64533.0,0.0,0.0,0.0,0.0,0.0,3.507177012135165e8,7.298399064254884e-16,3.2440992041509813e8,6.75093686859882e-16,0.0,3.8403946966907345e21,0.007991821617133953,1.0272354346146978e22,0.02137666307922422,311040.0,3.476913577205546e19,7.235421169381823e-5,3.476913577205547e19,7.235421169381824e-5,64533.0,0.00018298239044388267,0.00018298239044388267,0.08637931190912775,1.0,3.4769135772056273e19,7.235421169381991e-5,3.476913577205628e19,7.235421169381992e-5,64533.0,0.00011967607859051178,0.00011967607859051178,0.08637931190912976,1.0,1.4848745959076782e15,3.0900086661752982e-9,1.4848745959076782e15,3.0900086661752982e-9,12841.0,2.074254378048554e-5,2.074254378048554e-5,3.6889742300967986e-6,1.0,1.0426444933059505e15,2.1697323995808015e-9,1.0426444933059505e15,2.1697323995808015e-9,15372.0,1.2765313171789068e-5,1.2765313171789068e-5,2.590312123029363e-6,1.0,1.3456929366685765e21,0.002800373073777958,3.567263529754241e21,0.007423438485546717,194858.0,0.007082088895432662,0.007082088895432662,3.3431958353083115,1.0,2.4947501045973023e21,0.005191549147916521,6.705146006021675e21,0.013953339442724132,293567.0,0.008586981037976402,0.008586981037976402,6.1978761518005925,1.0,1.661360552172258e18,3.457274114596838e-6,2.0780947143869066e18,4.324493593119474e-6,44298.0,0.023207915391359617,0.023207915391359617,0.004127430209092149,1.0,6.262026200782195e17,1.303121171414857e-6,9.310499722078034e17,1.9375053561380054e-6,287276.0,0.007666728789740686,0.007666728789740686,0.0015557174556384385,1.0,4.0251693378425016e20,1.0
7200.0,2.3823938285534632e8,4.958730949694769e-16,2.5213364802708524e8,5.247927143475213e-16,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.2552699722285423e20,0.0004694134478176169,2.2552699722285423e20,0.0004694134478176169,358706.0,2.480724410524616e6,5.163396901343037e-18,1.8482725278346777e8,3.847007189742949e-16,3.339220604443926e21,0.0069502768017025976,1.1275765216359973e20,0.0002346945550719688,1.1275765216359976e20,0.00023469455507196886,150136.0,0.0,0.0,0.0,0.0,0.0,6.952941332235677e8,1.4471900053780434e-15,6.447614672384577e8,1.3420109657970439e-15,0.0,4.093034690305137e21,0.008519270640200518,1.0603849704241533e22,0.022070925925064464,622080.0,1.127576521635996e20,0.00023469455507196853,1.1275765216359963e20,0.00023469455507196859,150136.0,0.0005934857776466961,0.0005934857776466961,0.14283931998830093,1.0,1.1275765216359983e20,0.00023469455507196902,1.1275765216359988e20,0.0002346945550719691,150136.0,0.0003882142922192656,0.0003882142922192656,0.1428393199883012,1.0,5.806177388044826e15,1.2085017669390639e-8,5.806177388044826e15,1.2085017669390639e-8,27818.0,4.1484036819883844e-5,4.1484036819883844e-5,7.355158731369035e-6,1.0,5.886718266657834e15,1.2252656009746997e-8,5.886718266657834e15,1.2252656009746997e-8,30616.0,3.6796617004006445e-5,3.6796617004006445e-5,7.457186435135433e-6,1.0,1.4253660942272656e21,0.002966766821412491,3.671432563357871e21,0.00764174506475025,382705.0,0.007502235889377511,0.007502235889377511,1.8056275536706203,1.0,2.667763584370822e21,0.005552701528076253,6.932533346067803e21,0.014429422730586129,580664.0,0.009184866231625746,0.009184866231625746,3.3794738447391572,1.0,5.166458936317436e18,1.0753503270867573e-5,6.730833690839958e18,1.400960367676984e-5,90604.0,0.0369133697471793,0.0369133697471793,0.006544775162047011,1.0,1.7439777032949724e18,3.6299272224681695e-6,2.4143772944800655e18,5.025301556312336e-6,572974.0,0.010901231671837017,0.010901231671837017,0.0022092388803199104,1.0,7.894020510097281e20,1.0
10800.0,2.913618604479363e8,6.065557751805149e-16,3.096697219653193e8,6.446689967171341e-16,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,4.5164838905226225e20,0.000940239530010751,4.516483890522623e20,0.0009402395300107513,587099.0,9.20309053688106e6,1.9158951367458875e-17,2.2412150278262275e8,4.665751091990548e-16,3.497679447636107e21,0.007281452917112236,2.258106435642335e20,0.0004700915546754936,2.2581064356423356e20,0.0004700915546754937,247432.0,0.0,0.0,0.0,0.0,0.0,1.0409087399589589e9,2.1669590065333864e-15,9.6242661473511e8,2.0035752807781337e-15,0.0,4.357899020456828e21,0.009072254050162248,1.095136870192655e22,0.022798508775556305,933120.0,2.25810643564234e20,0.00047009155467549467,2.2581064356423415e20,0.00047009155467549494,247432.0,0.0011886436722079406,0.0011886436722079406,0.19471542179002574,1.0,2.25810643564233e20,0.00047009155467549256,2.258106435642331e20,0.0004700915546754928,247432.0,0.0007776351056375341,0.0007776351056375341,0.19471542179002488,1.0,1.320205112933651e16,2.748396905626711e-8,1.320205112933651e16,2.748396905626711e-8,44740.0,6.419780270791565e-5,6.419780270791565e-5,1.138406460194601e-5,1.0,1.3899872665737288e16,2.8936690707270112e-8,1.3899872665737288e16,2.8936690707270112e-8,47495.0,5.8900521318743676e-5,5.8900521318743676e-5,1.1985792725340645e-5,1.0,1.5010858689444126e21,0.0031249536279398912,3.7705010307185587e21,0.00784941162851716,570100.0,0.007901559427839749,0.007901559427839749,1.294379058050979,1.0,2.856968957341045e21,0.005947624778076677,7.181063706309728e21,0.014949505252008385,866508.0,0.009838683074799756,0.009838683074799756,2.4635504632952694,1.0,1.055722149890888e19,2.1977974949014743e-5,1.3842561075047318e19,2.8817379702513553e-5,138198.0,0.0513367518646157,0.0513367518646157,0.00910344085045761,1.0,3.441857769853602e18,7.165243606164022e-6,4.653911655377363e18,9.6884917861563e-6,861695.0,0.014584825474629082,0.014584825474629082,0.002967897247091816,1.0,1.1596957317933464e21,1.0
14400.0,3.4439471470555663e8,7.170845400316972e-16,3.612238888115717e8,7.521255556385794e-16,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7.28823807479946e20,0.0015175270189547857,7.288238074799461e20,0.0015175270189547862,828567.0,1.7058869560482465e7,3.551927805482643e-17,2.61581545821957e8,5.44654358667752e-16,3.6601056046640844e21,0.007620921668998061,3.6438683016759634e20,0.0007587113023140801,3.643868301675966e20,0.0007587113023140807,350198.0,0.0,0.0,0.0,0.0,0.0,1.3834539970316858e9,2.88057113177432e-15,1.2784350590845454e9,2.6619050094535194e-15,0.0,4.633333338642956e21,0.009647336512684018,1.131242154032575e22,0.023554259837653285,1.24416e6,3.643868301675974e20,0.0007587113023140823,3.6438683016759765e20,0.0007587113023140829,350198.0,0.0019181661274304145,0.0019181661274304145,0.24040223981025552,1.0,3.643868301675954e20,0.0007587113023140783,3.6438683016759555e20,0.0007587113023140785,350198.0,0.0012551884636397654,0.0012551884636397654,0.24040223981025421,1.0,2.5259260729832664e16,5.259379598051806e-8,2.5259260729832664e16,5.259379598051806e-8,63239.0,9.391633938258665e-5,9.391633938258665e-5,1.6664660609742807e-5,1.0,2.4887884023076496e16,5.182053064405546e-8,2.4887884023076496e16,5.182053064405546e-8,64932.0,8.028162501245652e-5,8.028162501245652e-5,1.6419646836669625e-5,1.0,1.5742342922754688e21,0.0032778060323707557,3.8662248600230534e21,0.00805009472279225,759989.0,0.00828691556907622,0.00828691556907622,1.038592557461722,1.0,3.059325810512218e21,0.006370002639308381,7.446485650282792e21,0.01550476679629345,1.149803e6,0.010538334939558969,0.010538334939558969,2.0183736520285005,1.0,1.7745805866323309e19,3.694958863704922e-5,2.329766330130192e19,4.850943832430971e-5,187620.0,0.06598059793534417,0.06598059793534417,0.011707699412571842,1.0,5.674112382185843e18,1.1814403920648333e-5,7.58957443251724e18,1.5802700385895743e-5,1.153394e6,0.018303161575439975,0.018303161575439975,0.0037434649462637993,1.0,1.515738083202554e21,1.0
18000.0,3.8671728676896477e8,8.053393954074794e-16,4.0951474036564803e8,8.528151305880262e-16,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0300091816754226e21,0.002144995840670053,1.030009181675423e21,0.0021449958406700538,1.07999e6,1.9031973640691817e7,3.9634116884882647e-17,2.8601169751673377e8,5.956198376391754e-16,3.8239829810976884e21,0.00796345094313185,5.14962711159661e20,0.001072410705835559,5.1496271115966126e20,0.0010724107058355597,457238.0,0.0,0.0,0.0,0.0,0.0,1.7289165153668158e9,3.600471530064683e-15,1.5940905332753778e9,3.319696197237094e-15,0.0,4.912814417796071e21,0.010230944228104145,1.1678626060820543e22,0.024320758271740257,1.5552e6,5.149627111596622e20,0.0010724107058355616,5.149627111596626e20,0.0010724107058355623,457238.0,0.0027107548610481257,0.0027107548610481257,0.27694502434980334,1.0,5.149627111596598e20,0.0010724107058355567,5.1496271115966015e20,0.0010724107058355573,457238.0,0.0017743784324158783,0.0017743784324158783,0.27694502434980206,1.0,4.51629239699863e16,9.405186457711165e-8,4.51629239699863e16,9.405186457711165e-8,82580.0,0.00013674079013449423,0.00013674079013449423,2.4288451974337665e-5,1.0,3.859643213016811e16,8.037713435646167e-8,3.859643213016813e16,8.037713435646171e-8,82934.0,0.00010097943705775911,0.00010097943705775911,2.0757017167386376e-5,1.0,1.6451748323899762e21,0.003426079335439922,3.959089130666812e21,0.008244809725199522,950277.0,0.008660172042617006,0.008660172042617006,0.8847688854788972,1.0,3.267947692853987e21,0.006805506526938913,7.719933429184073e21,0.016076774256433463,1.431805e6,0.011260185987846302,0.011260185987846302,1.7574900740545587,1.0,2.657208833808503e19,5.533641833211401e-5,3.490556632292045e19,7.269090015014143e-5,240886.0,0.08045290329935272,0.08045290329935272,0.014290369947843568,1.0,8.385770689816105e18,1.7463381463464083e-5,1.1154968436172468e19,2.323024039404697e-5,1.448245e6,0.021939603139928838,0.021939603139928838,0.004509836183387146,1.0,1.8594401988938564e21,1.0
21600.0,4.253818889989058e8,8.859968160619955e-16,4.502099074629106e8,9.377092793264888e-16,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.35368725476673e21,0.002819496148483443,1.3536872547667303e21,0.0028194961484834433,1.338009e6,2.295466259330524e7,4.781058737434435e-17,3.0720996920650643e8,6.398651696715008e-16,3.991965728992328e21,0.008314573368507713,6.767786178451378e20,0.0014096126706305838,6.767786178451385e20,0.0014096126706305851,566943.0,0.0,0.0,0.0,0.0,0.0,2.0712406422960744e9,4.314035603845948e-15,1.9113655310323453e9,3.981043430905586e-15,0.0,5.191890122505557e21,0.01081380810243071,1.204411248223375e22,0.025085800753447424,1.86624e6,6.767786178451391e20,0.0014096126706305864,6.767786178451396e20,0.0014096126706305875,566943.0,0.0035624215121544634,0.0035624215121544634,0.3086703828594387,1.0,6.767786178451368e20,0.0014096126706305816,6.767786178451373e20,0.0014096126706305827,566943.0,0.0023325965616646654,0.0023325965616646654,0.30867038285943765,1.0,7.51666633195873e16,1.5655914390687573e-7,7.51666633195873e16,1.5655914390687573e-7,102883.0,0.00019269302773447113,0.00019269302773447113,3.428258832851095e-5,1.0,5.485241313395547e16,1.1424807836641758e-7,5.485241313395547e16,1.1424807836641758e-7,101240.0,0.00012114837537634482,0.00012114837537634482,2.5017509295331156e-5,1.0,1.7155229767598987e21,0.003573137302266239,4.0512027055835264e21,0.008437953733328734,1.144228e6,0.009030155202691617,0.009030155202691617,0.7824288771513901,1.0,3.476808495929383e21,0.00724159005617339,7.993483218777566e21,0.016649041400773255,1.713654e6,0.011983226611079397,0.011983226611079397,1.5857294856396296,1.0,3.6628930396422447e19,7.629171938504937e-5,4.810508325733088e19,0.00010019455859462319,298368.0,0.09389986450180234,0.09389986450180234,0.016706003515883174,1.0,1.1449092231127527e19,2.3846476603533093e-5,1.517496418854912e19,3.1606822722403e-5,1.744355e6,0.025286743902182267,0.025286743902182267,0.005221789798305671,1.0,2.1925609174927815e21,1.0
25200.0,4.6300537020272195e8,9.645033979861355e-16,4.865948360411718e8,1.0136434758817785e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.6829476363487504e21,0.003505809691106607,1.6829476363487507e21,0.0035058096911066076,1.598824e6,2.9290089143413626e7,6.101525451804183e-17,3.317506141421215e8,6.910818215433787e-16,4.1607714495597034e21,0.008667454979165682,8.413777176877909e20,0.00175270465511962,8.413777176877915e20,0.0017527046551196212,677313.0,0.0,0.0,0.0,0.0,0.0,2.41836779078669e9,5.037790276110006e-15,2.2291420358522644e9,4.643607194516728e-15,0.0,5.466902138243254e21,0.011388303523314708,1.2404292235110579e22,0.02583983422295704,2.17728e6,8.413777176877919e20,0.001752704655119622,8.413777176877924e20,0.0017527046551196232,677313.0,0.004428631463497912,0.004428631463497912,0.33435480152580854,1.0,8.413777176877898e20,0.0017527046551196177,8.413777176877906e20,0.0017527046551196195,677313.0,0.002900708254642474,0.002900708254642474,0.3343548015258077,1.0,1.171678366791956e17,2.4407660015323154e-7,1.1716783667919562e17,2.440766001532316e-7,123898.0,0.00026118179051615853,0.00026118179051615853,4.656128627430279e-5,1.0,7.503313648851178e16,1.563042672119349e-7,7.503313648851178e16,1.563042672119349e-7,120300.0,0.00014381044612551914,0.00014381044612551914,2.9817392273495516e-5,1.0,1.786289481815519e21,0.003721084863969538,4.1439286146508553e21,0.008632369054580855,1.342214e6,0.009402219283657136,0.009402219283657136,0.7098529621171749,1.0,3.6812804757791965e21,0.007668609818228366,8.261236804500441e21,0.01720928412994454,1.994591e6,0.01269147071435673,0.01269147071435673,1.4629027807184185,1.0,4.757269304951325e19,9.910041448875012e-5,6.245612920410146e19,0.00013010464396134738,356754.0,0.10604549424572327,0.10604549424572327,0.01890489611054862,1.0,1.476322575195822e19,3.0753814792181894e-5,1.9520832519621e19,4.0664559221957e-5,2.04178e6,0.028295579539926743,0.028295579539926743,0.00586675319824472,1.0,2.5164218185239573e21,1.0
28800.0,4.9596285235387707e8,1.033305283332581e-15,5.2649898559179485e8,1.0969252654694175e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.0122076141058403e21,0.004192299380789216,2.01220761410584e21,0.004192299380789215,1.861873e6,3.2633447711728893e7,6.798959594221189e-17,3.558217375180013e8,7.413306854675271e-16,4.327541952827358e21,0.009016142927795928,1.0059686952158631e21,0.0020958681939591208,1.0059686952158639e21,0.0020958681939591225,788526.0,0.0,0.0,0.0,0.0,0.0,2.765120455715863e9,5.760942704441764e-15,2.547997804440412e9,5.308582247142794e-15,0.0,5.736557689928319e21,0.011951732556202887,1.2757476141531675e22,0.026579344474025667,2.48832e6,1.0059686952158642e21,0.002095868193959123,1.005968695215865e21,0.0020958681939591247,788526.0,0.0052947234346970495,0.0052947234346970495,0.35524432181204907,1.0,1.0059686952158619e21,0.002095868193959118,1.0059686952158628e21,0.0020958681939591203,788526.0,0.0034690667777862957,0.0034690667777862957,0.35524432181204824,1.0,1.716272006332545e17,3.575737423402542e-7,1.7162720063325453e17,3.5757374234025426e-7,146133.0,0.0003392352524930393,0.0003392352524930393,6.060783877611411e-5,1.0,9.859647347879558e16,2.0541912863043837e-7,9.85964734787956e16,2.054191286304384e-7,138688.0,0.0001673162453269775,0.0001673162453269775,3.481801920935368e-5,1.0,1.8585530951108348e21,0.0038721705132098772,4.238639296768729e21,0.008830920216514852,1.543796e6,0.009782138026870169,0.009782138026870169,0.6563230416257203,1.0,3.8789828492648797e21,0.008081600170413521,8.520118004558576e21,0.017751093467874728,2.276242e6,0.013376609628095951,0.013376609628095951,1.3698106493383264,1.0,5.9145650602644324e19,0.00012322598953489443,7.762142405492648e19,0.00016171902229186627,417594.0,0.11690623422174183,0.11690623422174183,0.02088649143496473,1.0,1.8250899792133612e19,3.80245235934105e-5,2.409093742943629e19,5.019184966802595e-5,2.339912e6,0.0309714122555858,0.0309714122555858,0.00644505992080093,1.0,2.8317657269919637e21,1.0
32400.0,5.300751880805325e8,1.1045277824582093e-15,5.63284528686199e8,1.1737267190636016e-15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.3350208809481268e21,0.00486552755839501,2.335020880948127e21,0.0048655275583950105,2.125694e6,3.873554504516434e7,8.071399422782518e-17,3.767209661268066e8,7.849806644002727e-16,4.488387942997248e21,0.009352539588662525,1.167330273221524e21,0.0024323883612560626,1.1673302732215254e21,0.002432388361256065,899605.0,0.0,0.0,0.0,0.0,0.0,3.1135934656867943e9,6.487854107234543e-15,2.865178813149501e9,5.970227756356453e-15,0.0,6.000987808891805e21,0.012504372787407294,1.3103786075731253e22,0.027304609046962774,2.79936e6,1.1673302732215251e21,0.0024323883612560647,1.1673302732215263e21,0.0024323883612560673,899605.0,0.006143844761790556,0.006143844761790556,0.37186798999873816,1.0,1.167330273221523e21,0.0024323883612560604,1.1673302732215243e21,0.002432388361256063,899605.0,0.004026510048667478,0.004026510048667478,0.3718679899987375,1.0,2.388958387883195e17,4.977918170643897e-7,2.388958387883195e17,4.977918170643897e-7,169864.0,0.00042518932235405835,0.00042518932235405835,7.610332519185524e-5,1.0,1.2143866628808808e17,2.530440658155955e-7,1.2143866628808808e17,2.530440658155955e-7,156620.0,0.00018527152759598142,0.00018527152759598142,3.868584048287503e-5,1.0,1.9327533122787858e21,0.004027314950885263,4.335897441985819e21,0.009034792222410578,1.748169e6,0.010172387871606174,0.010172387871606174,0.6157032897099567,1.0,4.0695863480615373e21,0.008479874715176645,8.769661787716344e21,0.018273511579310554,2.558125e6,0.014037355751228912,0.014037355751228912,1.2964187857507572,1.0,7.106056757399077e19,0.00014807026038501787,9.322507713195898e19,0.00019425487181719273,481677.0,0.12647434432565424,0.12647434432565424,0.022637252745088998,1.0,2.1820809248173384e19,4.5468436539359103e-5,2.8765933902146216e19,5.9940125283603836e-5,2.638193e6,0.03329067080824946,0.03329067080824946,0.006951297898640401,1.0,3.1390985635130523e21,1.0
