t_seconds,water,on_growth_net,on_growth_gross,on_remainder_net,on_ledger_q_tag_led_rescale_net,on_ledger_q_tag_led_empty_net,on_ledger_q_tag_led_repair_net,on_ledger_q_tag_led_repairnet_net,on_ledger_q_tag_led_leaknet_net,on_ledger_q_tag_inc_left_net,on_ledger_q_tag_inc_moved_net,on_ledger_q_tag_led_fix_tropo_net,on_ledger_q_tag_led_fix_strat_net,on_ledger_q_tag_led_fix_evap_net,on_ledger_q_tag_led_fix_evap_tropo_net,on_ledger_q_tag_led_fix_evap_strat_net,on_ledger_q_tag_led_inc_tropo_net,on_ledger_q_tag_led_inc_strat_net,on_ledger_q_tag_led_inc_evap_net,on_ledger_q_tag_led_inc_evap_tropo_net,on_ledger_q_tag_led_inc_evap_strat_net,on_ledger_q_tag_led_leak_tropo_net,on_ledger_q_tag_led_leak_strat_net,on_ledger_q_tag_led_leak_evap_net,on_ledger_q_tag_led_leak_evap_tropo_net,on_ledger_q_tag_led_leak_evap_strat_net,vdiff_source_net,vdiff_source_gross,vdiff_growth_net,vdiff_growth_gross,vdiff_remainder_net,vdiff_remainder_gross,vdiff_ledger_q_tag_led_rescale_net,vdiff_ledger_q_tag_led_rescale_gross,vdiff_ledger_q_tag_led_empty_net,vdiff_ledger_q_tag_led_empty_gross,vdiff_ledger_q_tag_led_repair_net,vdiff_ledger_q_tag_led_repair_gross,vdiff_ledger_q_tag_led_repairnet_net,vdiff_ledger_q_tag_led_repairnet_gross,vdiff_ledger_q_tag_led_leaknet_net,vdiff_ledger_q_tag_led_leaknet_gross,vdiff_ledger_q_tag_inc_left_net,vdiff_ledger_q_tag_inc_left_gross,vdiff_ledger_q_tag_inc_moved_net,vdiff_ledger_q_tag_inc_moved_gross,vdiff_ledger_q_tag_led_fix_tropo_net,vdiff_ledger_q_tag_led_fix_tropo_gross,vdiff_ledger_q_tag_led_fix_strat_net,vdiff_ledger_q_tag_led_fix_strat_gross,vdiff_ledger_q_tag_led_fix_evap_net,vdiff_ledger_q_tag_led_fix_evap_gross,vdiff_ledger_q_tag_led_fix_evap_tropo_net,vdiff_ledger_q_tag_led_fix_evap_tropo_gross,vdiff_ledger_q_tag_led_fix_evap_strat_net,vdiff_ledger_q_tag_led_fix_evap_strat_gross,vdiff_ledger_q_tag_led_inc_tropo_net,vdiff_ledger_q_tag_led_inc_tropo_gross,vdiff_ledger_q_tag_led_inc_strat_net,vdiff_ledger_q_tag_led_inc_strat_gross,vdiff_ledger_q_tag_led_inc_evap_net,vdiff_ledger_q_tag_led_inc_evap_gross,vdiff_ledger_q_tag_led_inc_evap_tropo_net,vdiff_ledger_q_tag_led_inc_evap_tropo_gross,vdiff_ledger_q_tag_led_inc_evap_strat_net,vdiff_ledger_q_tag_led_inc_evap_strat_gross,vdiff_ledger_q_tag_led_leak_tropo_net,vdiff_ledger_q_tag_led_leak_tropo_gross,vdiff_ledger_q_tag_led_leak_strat_net,vdiff_ledger_q_tag_led_leak_strat_gross,vdiff_ledger_q_tag_led_leak_evap_net,vdiff_ledger_q_tag_led_leak_evap_gross,vdiff_ledger_q_tag_led_leak_evap_tropo_net,vdiff_ledger_q_tag_led_leak_evap_tropo_gross,vdiff_ledger_q_tag_led_leak_evap_strat_net,vdiff_ledger_q_tag_led_leak_evap_strat_gross,vdiff_excess_ρq_tag_tropo_net,vdiff_excess_ρq_tag_tropo_gross,vdiff_excess_ρq_tag_strat_net,vdiff_excess_ρq_tag_strat_gross,vdiff_excess_ρq_tag_evap_net,vdiff_excess_ρq_tag_evap_gross,vdiff_excess_ρq_tag_evap_tropo_net,vdiff_excess_ρq_tag_evap_tropo_gross,vdiff_excess_ρq_tag_evap_strat_net,vdiff_excess_ρq_tag_evap_strat_gross,sgs_mass_flux_source_net,sgs_mass_flux_source_gross,sgs_mass_flux_growth_net,sgs_mass_flux_growth_gross,sgs_mass_flux_remainder_net,sgs_mass_flux_remainder_gross,sgs_mass_flux_ledger_q_tag_led_rescale_net,sgs_mass_flux_ledger_q_tag_led_rescale_gross,sgs_mass_flux_ledger_q_tag_led_empty_net,sgs_mass_flux_ledger_q_tag_led_empty_gross,sgs_mass_flux_ledger_q_tag_led_repair_net,sgs_mass_flux_ledger_q_tag_led_repair_gross,sgs_mass_flux_ledger_q_tag_led_repairnet_net,sgs_mass_flux_ledger_q_tag_led_repairnet_gross,sgs_mass_flux_ledger_q_tag_led_leaknet_net,sgs_mass_flux_ledger_q_tag_led_leaknet_gross,sgs_mass_flux_ledger_q_tag_inc_left_net,sgs_mass_flux_ledger_q_tag_inc_left_gross,sgs_mass_flux_ledger_q_tag_inc_moved_net,sgs_mass_flux_ledger_q_tag_inc_moved_gross,sgs_mass_flux_ledger_q_tag_led_fix_tropo_net,sgs_mass_flux_ledger_q_tag_led_fix_tropo_gross,sgs_mass_flux_ledger_q_tag_led_fix_strat_net,sgs_mass_flux_ledger_q_tag_led_fix_strat_gross,sgs_mass_flux_ledger_q_tag_led_fix_evap_net,sgs_mass_flux_ledger_q_tag_led_fix_evap_gross,sgs_mass_flux_ledger_q_tag_led_fix_evap_tropo_net,sgs_mass_flux_ledger_q_tag_led_fix_evap_tropo_gross,sgs_mass_flux_ledger_q_tag_led_fix_evap_strat_net,sgs_mass_flux_ledger_q_tag_led_fix_evap_strat_gross,sgs_mass_flux_ledger_q_tag_led_inc_tropo_net,sgs_mass_flux_ledger_q_tag_led_inc_tropo_gross,sgs_mass_flux_ledger_q_tag_led_inc_strat_net,sgs_mass_flux_ledger_q_tag_led_inc_strat_gross,sgs_mass_flux_ledger_q_tag_led_inc_evap_net,sgs_mass_flux_ledger_q_tag_led_inc_evap_gross,sgs_mass_flux_ledger_q_tag_led_inc_evap_tropo_net,sgs_mass_flux_ledger_q_tag_led_inc_evap_tropo_gross,sgs_mass_flux_ledger_q_tag_led_inc_evap_strat_net,sgs_mass_flux_ledger_q_tag_led_inc_evap_strat_gross,sgs_mass_flux_ledger_q_tag_led_leak_tropo_net,sgs_mass_flux_ledger_q_tag_led_leak_tropo_gross,sgs_mass_flux_ledger_q_tag_led_leak_strat_net,sgs_mass_flux_ledger_q_tag_led_leak_strat_gross,sgs_mass_flux_ledger_q_tag_led_leak_evap_net,sgs_mass_flux_ledger_q_tag_led_leak_evap_gross,sgs_mass_flux_ledger_q_tag_led_leak_evap_tropo_net,sgs_mass_flux_ledger_q_tag_led_leak_evap_tropo_gross,sgs_mass_flux_ledger_q_tag_led_leak_evap_strat_net,sgs_mass_flux_ledger_q_tag_led_leak_evap_strat_gross
120.0,11.572872709327104,-2.0533521871727786e-6,0.0077803577599541325,-5.440139414092811e-17,0.0,0.0,0.0,0.0,0.0,-1.0097942988495985e-16,3.134021904840911e-20,0.0,0.0,0.0,0.0,0.0,-1.888312968170434e-19,2.8248548790930916e-19,-3.155445885795821e-30,9.466328597740369e-30,4.137738972677572e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,NaN,NaN,-8.245865741520614e-17,2.588874875126347e-7,-4.018070357326347e-16,1.703847553406224e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6757259775445695e-16,1.9226818902113179e-16,8.470329472543003e-20,2.5866199534436214e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84516796539814e-20,2.586616404110289e-7,2.9353057375037545e-19,3.054666429936118e-12,-3.155445885795821e-30,2.377463828475098e-13,9.466328597740369e-30,2.3774626294073867e-13,4.137738972677572e-36,1.1990677200414817e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.0,11.574373375984083,1.9167988969453695e-7,0.005251264623516189,6.236036055879083e-16,0.0,0.0,0.0,0.0,-4.513898307157584e-36,-9.063711125649668e-16,-7.386127300057499e-19,0.0,0.0,0.0,0.0,0.0,1.9689730218331632e-19,-3.350015306390758e-19,1.3509614275594677e-23,-2.539082002041519e-23,-4.1906422691928713e-29,1.504632769052528e-36,-4.408103815583578e-39,1.3254524700622003e-55,-1.5293682346871542e-55,1.458519205748705e-62,-1.3518185034456306e-36,7.919595740622926e-20,7.264928679392166e-12,1.839817183697545e-5,1.7598189363497778e-15,3.1847755151985418e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.513898307157584e-36,4.0287819036392013e-19,-7.567621645784247e-16,7.567621645784247e-16,-4.658681209898652e-19,2.289714918117747e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.474324487175227e-19,2.2897139350266096e-5,-8.736268039478802e-19,2.8101843224057945e-8,1.0086174181445826e-22,2.955592116860951e-7,-1.5391443999672164e-22,2.955590626215728e-7,-1.751511874575565e-29,1.4906452239107776e-13,1.504632769052528e-36,4.024988183103635e-19,-4.408103815583578e-39,3.793720535566697e-22,1.3254524700622003e-55,3.9489505705734476e-39,-1.5293682346871542e-55,3.948948578930477e-39,1.458519205748705e-62,1.9916429854796454e-45,-3.6939909974590385e-36,7.917976465832923e-20,-7.346839692639297e-40,2.0021452386672415e-23,-0.0,0.0,-0.0,0.0,-0.0,0.0,NaN,NaN,9.338875786108142e-13,4.019141252540123e-6,1.268991426197707e-16,2.247094408874454e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7085157676246546e-35,1.2514840575742252e-27,-3.2680168926601817e-16,3.2680168926601817e-16,-6.776263578034403e-19,9.558076430971299e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4425909446676623e-19,9.558071132233025e-6,-4.86377237097505e-19,6.439035395929882e-9,2.691667999173059e-23,1.2605267199309859e-7,-4.837970134327934e-23,1.260526084187599e-7,-3.077553354213566e-29,6.357433841962833e-14,-2.798284965119091e-35,1.2470068158012326e-27,-1.2589545663187022e-38,4.4772273938873864e-30,-4.078315292499078e-56,3.9489504356560116e-39,-1.0195788231247695e-55,3.948948444013109e-39,9.723461371658034e-63,1.991642917434386e-45
360.0,11.57587530281012,7.031461641388535e-8,0.0015716657917724344,-3.3996368427387223e-13,0.0,0.0,0.0,0.0,-4.53493567068158e-23,3.3935527998796284e-13,-3.040848280642938e-19,0.0,0.0,0.0,0.0,0.0,2.2000669932060775e-19,-7.072725109573408e-19,4.597345627083377e-23,2.3127725519875486e-22,6.181823084559652e-29,1.3335048186689078e-23,-6.320032888744046e-29,-2.0229108805471433e-24,1.5040303926071637e-24,-3.7215486163192065e-31,-6.904479053662848e-23,5.465976071095614e-7,2.591922990475339e-11,6.779899579167459e-5,-3.1629814939504897e-13,3.1676734460189865e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.53493567068158e-23,8.006445789626788e-7,3.158289955639068e-13,3.158327850848558e-13,-3.9048218868423246e-19,6.454770492168135e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.587678887438123e-20,6.454767521449592e-5,-8.1698312996147395e-19,8.606644000203609e-8,8.158198133841301e-24,1.5448690983427095e-6,-1.2391395285164219e-22,1.5448683191919836e-6,2.0533490588123716e-28,7.791507257969349e-13,1.3335048186689078e-23,8.006430405650778e-7,-6.320032888744046e-29,1.538397600931906e-12,-2.0229108805471433e-24,1.3984436431276174e-8,1.5040303926071637e-24,1.3984429378261905e-8,-3.7215486163192065e-31,7.053014269609522e-15,1.40306476249367e-23,5.465968870721071e-7,-1.9251770590634438e-29,7.200374544324286e-13,-1.337908095254836e-26,4.121085614231214e-10,1.0450829272367964e-26,4.121083535772367e-10,2.0101893794541774e-33,2.078458848613238e-16,NaN,NaN,6.928421106173422e-12,3.004325477041817e-5,-1.635954719397464e-14,1.677086639316133e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.664288300886521e-24,6.64358105400574e-9,1.6588557639266457e-14,1.6588557639266457e-14,-4.129285617864714e-19,6.767648656513439e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0091641525996593e-19,6.767644386463947e-6,-3.445653928814139e-19,2.666155934094473e-8,-1.2747880524123623e-22,1.293406457588317e-7,-5.616682557796527e-23,1.293405805262123e-7,2.5358468294803227e-28,6.523261946668959e-14,-3.686953205923527e-23,6.6435703494481516e-9,-1.8259355770390573e-29,1.0704557589200137e-14,-9.046144303350264e-25,2.1528909194637006e-11,7.1604823911119315e-25,2.1528898336587035e-11,8.429509573824448e-32,1.0858049554241487e-17
480.0,11.577311801390719,1.3652035173536024e-8,0.0004775442141255622,-1.439388298038583e-11,0.0,0.0,0.0,0.0,-5.056951359987689e-22,1.4401991839479902e-11,2.0582900618279498e-19,0.0,0.0,0.0,0.0,0.0,3.597523481485308e-19,-2.0413494028828638e-19,3.0223737484444746e-22,7.715732944912816e-22,1.3737516334241792e-28,-1.8741855895970488e-21,1.0771571141597287e-27,3.451919234579364e-24,4.3427688349476445e-23,-1.2459619538278545e-29,1.3307427055850708e-22,8.515723920737751e-6,-5.631892598269071e-11,9.627968836682017e-5,-1.1682945507775048e-11,1.176243681902079e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.056951359987689e-22,1.1270863695279972e-5,1.1690178191160559e-11,1.176908063512084e-11,3.4728350837426314e-20,9.140294149274287e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0758771311483253e-18,9.140289509834045e-5,-1.3737815613280684e-19,1.279281114090106e-7,9.935451092260735e-22,2.8350924333409424e-6,1.2569037096523902e-21,2.8350910034694213e-6,5.403717549328394e-28,1.4298715208354588e-12,-1.8741855895970488e-21,1.1270835151444054e-5,1.0771571141597287e-27,2.8564454016393604e-11,3.451919234579364e-24,5.280098892566026e-7,4.3427688349476445e-23,5.280096229561833e-7,-1.2459619538278545e-29,2.663004191640433e-13,-5.98784872960215e-22,8.515703933911565e-6,1.92912313623503e-28,2.0005077485213435e-11,-6.775451181696325e-24,2.5623915375308584e-7,-1.734123685032391e-24,2.562390245195327e-7,-2.8916741938715838e-30,1.2923355308128481e-13,NaN,NaN,5.0694151486793497e-11,0.00012745918099460517,-1.7187885807272865e-12,1.7194324349550406e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2996122579045694e-21,5.395412403159084e-7,1.7192602542051134e-12,1.7192602542051134e-12,-1.0503208545953324e-19,3.8694500978229433e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.357840548076609e-19,3.8694471887506676e-5,-3.4433212794867394e-19,6.806887869997858e-8,5.254454859484571e-22,8.1003913379962e-7,3.205551874540602e-22,8.100387252584822e-7,4.4989951533039715e-29,4.0854113769313243e-13,-6.328716936751313e-22,5.395403170965914e-7,1.472582887365494e-27,9.23219317017607e-13,3.8395285794579295e-23,5.754941259263072e-9,-2.2143793488605645e-23,5.7549383567732984e-9,1.0592713730439385e-29,2.9024897085997936e-15
600.0,11.577995352234188,1.0927840889333302e-9,0.0002805917387551221,-6.637215052035028e-11,0.0,0.0,0.0,0.0,4.992304151636389e-21,6.647679357224002e-11,-3.8285889215894375e-19,0.0,0.0,0.0,0.0,0.0,-6.0304107089947995e-19,-2.574980159653073e-19,-5.24271339952888e-22,1.102683072351261e-21,2.289708934822321e-28,-1.3556019465039198e-21,1.0001264838053496e-26,1.08057674883839e-22,-5.384031773059378e-23,-1.7140857742932278e-28,9.415901576882474e-22,2.0442789806839272e-5,-1.1013434089023805e-10,9.861737946525485e-5,-4.9284385024957746e-11,4.928621137473387e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.992304151636389e-21,1.715294226473611e-5,4.9346501945858e-11,4.9346501945858e-11,-1.4992483166401116e-19,0.0001137743968595497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.513275872343458e-19,0.00011377431081443238,-3.8715361389931907e-19,1.0886963384645788e-7,1.1592624670094174e-21,3.6248825330996584e-6,2.5320676521610933e-21,3.6248807048995495e-6,2.876590263612956e-28,1.828200110690991e-12,-1.3556019465039198e-21,1.7152869978683793e-5,1.0001264838053496e-26,8.002177228928087e-11,1.08057674883839e-22,2.5035908168656518e-6,-5.384031773059378e-23,2.503589554186111e-6,-1.7140857742932278e-28,1.2626795397435555e-12,1.7457430326042287e-22,2.0442715123799565e-5,5.617268964900876e-27,7.963593668224706e-11,6.593024769892272e-23,2.025090851173802e-6,9.734096258832385e-23,2.0250898298244787e-6,1.846431721004402e-29,1.0213493222108424e-12,NaN,NaN,1.6676922344492236e-10,0.00025178064915506776,-1.3219093682021162e-11,1.5318343216958707e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.994458171178712e-22,4.462464108347417e-6,1.3220889656517282e-11,1.531546226635036e-11,-2.574980159653073e-19,8.865930779609304e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.269910444054981e-19,8.865509477182863e-5,-5.9853465635357e-19,1.3894277266428998e-7,-4.433464838568342e-22,1.3409645087335506e-6,8.58738470829703e-22,1.340963832421576e-6,2.0738896575204705e-28,6.763119745022557e-13,-2.2498496150715885e-21,4.462458329434019e-6,-1.6732479356836305e-27,5.820128914833419e-12,1.4073420542994424e-22,1.6595489937068554e-8,9.051179390465831e-23,1.659548156717507e-8,-6.307166069879461e-29,8.369892337993941e-15
720.0,11.577366390622561,-5.188673224427586e-10,0.000546231032609325,-1.178516585618269e-10,0.0,0.0,0.0,0.0,6.807036825774534e-22,1.1811854551078685e-10,1.8634724839594607e-20,0.0,0.0,0.0,0.0,0.0,-4.923635868114038e-19,-4.743384504624082e-19,-3.7187240937878715e-22,1.461203550835008e-21,-6.795611787793569e-28,-3.982500213147491e-21,6.200687071094212e-27,-2.970319703934154e-22,7.62235294511168e-22,1.6476808473242163e-28,-7.476137829560429e-23,1.2438764840108612e-5,-6.664455216608978e-12,0.00013767216192579315,-8.146690000458007e-11,8.146808792378628e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.807036825774534e-22,3.5518044971069135e-6,8.153538776227714e-11,8.153538776227714e-11,-2.702035101741218e-19,0.00010067325693949949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.406189498372934e-19,0.00010067316641980569,-7.374480597032752e-20,1.1508599183076046e-7,-2.199535469082044e-21,3.215376900162877e-6,-1.2870811254178658e-21,3.2153752784958735e-6,-1.6141442705107626e-28,1.6216670060655468e-12,-3.982500213147491e-21,3.551725529854544e-6,6.200687071094212e-27,1.3940112618764494e-10,-2.970319703934154e-22,4.285045801459936e-6,7.62235294511168e-22,4.285043640308192e-6,1.6476808473242163e-28,2.161151744094226e-12,4.531306988837912e-22,1.2438761094700235e-5,-3.860207639525424e-27,1.467187046526681e-10,7.276997205100337e-24,4.118576509760608e-6,-4.963757647794457e-24,4.118574432567221e-6,-5.618491035266304e-29,2.0771933882765213e-12,NaN,NaN,3.361236941295044e-10,0.0005820951285791335,-3.8644448682957605e-11,7.856681795784406e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4386266944459405e-21,8.38627016590343e-6,3.860903098860971e-11,7.86012190693695e-11,4.599388903590851e-19,0.0003119300922588506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.317890198647673e-19,0.00031191999250307817,-1.1972810709439535e-18,3.898040558762949e-7,-2.2671315275177845e-21,4.146766407312008e-6,2.179169609935137e-21,4.1467643159011136e-6,-3.378560674733076e-28,2.091410890044712e-12,-4.847693641904501e-22,8.386266806868408e-6,-1.7208137830781287e-27,4.256312174510723e-12,-1.3181950175497094e-21,1.5571184660944058e-7,-5.036918935946654e-22,1.5571176807657495e-7,1.3576941571026584e-28,7.85328662674914e-14
840.0,11.576528983823046,7.303477103018403e-9,0.0009447278490610797,-1.6645630872202515e-10,0.0,0.0,0.0,0.0,5.7083423071761166e-21,1.6686775320925457e-10,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,-8.864716183131859e-20,-2.973085644862594e-19,3.382660218242515e-22,-2.1874991289161704e-21,4.185706659019541e-28,-2.7695189820979964e-22,-5.331437541845686e-26,4.7967105403517065e-23,-8.920666956955996e-22,5.737299905537657e-28,-7.717796053769526e-23,2.24232711396786e-6,-1.379472487455358e-11,0.0001584506331394299,-1.1698939430823332e-10,1.169903689394149e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7083423071761166e-21,6.166411581679532e-6,1.1704159688092614e-10,1.1704159688092614e-10,6.437450399132683e-20,0.00011345657520349587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4781967079528086e-19,0.00011345639782765578,-3.5020841902025064e-19,1.236323074923663e-7,-8.704757413593138e-22,2.7786837430865373e-6,-2.326701641450023e-21,2.7786823416645905e-6,8.574875765502272e-28,1.4014219441042518e-12,-2.7695189820979964e-22,6.166216213578041e-6,-5.331437541845686e-26,4.4169456338485724e-10,4.7967105403517065e-23,4.112707615563527e-6,-8.920666956955996e-22,4.112705541330095e-6,5.737299905537657e-28,2.074233426699072e-12,-5.967679736544123e-23,2.2423071415851618e-6,1.3732490638087374e-26,4.403555453920899e-10,-1.256183127880661e-22,3.6504486760667396e-6,1.5449045860635863e-22,3.650446834972407e-6,-1.2249755336292852e-28,1.841094328634761e-12,NaN,NaN,1.0545631138576475e-9,0.0010295041509677592,-6.299103515513872e-11,1.6335335506611284e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083976767355591e-21,5.2956952052145825e-6,6.29005735007066e-11,1.6344374911551207e-10,2.1175823681357508e-20,0.0006643475025703017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.918310989855956e-20,0.0006643450427552793,-4.277516383634217e-20,8.531009764382736e-7,-1.4786769686554597e-21,4.846140132887619e-6,-2.1079668829557612e-22,4.8461376887494e-6,1.1792496840859698e-28,2.444138215919842e-12,3.8954134515543574e-21,5.295708975323013e-6,1.1280710944660469e-26,1.8653029282789792e-11,-2.1447108631736197e-23,3.48517364187755e-7,-1.1480722161431575e-22,3.4851718841392474e-7,6.2310164506832145e-28,1.7577382934970477e-13
960.0,11.575985307230997,6.50658822164611e-9,0.001208860516621834,-2.171030850513766e-10,0.0,0.0,0.0,0.0,-1.3754680727371389e-21,2.1764627240954807e-10,-4.1758724299637007e-19,0.0,0.0,0.0,0.0,0.0,-2.8939533954068375e-19,3.2949581648192283e-19,4.448377073594424e-22,-4.115519706690534e-22,-5.277508359790242e-28,9.799914264832416e-21,3.332148463653554e-25,3.125914318339682e-22,4.702850344809526e-22,-1.5787588113840866e-27,-5.4380662926826e-24,2.2356193903166805e-5,-2.965366947609379e-11,0.00017657303029387816,-1.7255860550558764e-10,1.7256052003860732e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3754680727371389e-21,1.5696280814057073e-5,1.7261424409144043e-10,1.7261424409144043e-10,-7.242131699024268e-19,0.00012907731978074768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9318971065679173e-19,0.00012907675784054213,-3.5469504666273827e-20,1.5879938288459277e-7,1.8800422868047874e-21,2.857576883424754e-6,-8.080038961804159e-22,2.857575442213254e-6,5.690999593154996e-29,1.441211494960604e-12,9.799914264832416e-21,1.5695780550306086e-5,3.332148463653554e-25,2.402200481291173e-9,3.125914318339682e-22,3.4558026547952645e-6,4.702850344809526e-22,3.455800911870152e-6,-1.5787588113840866e-27,1.7429251122850725e-12,-6.525566460119747e-22,2.2355726279146665e-5,1.6640547479094111e-25,2.444755648826284e-9,-7.844463492417629e-23,2.7190529014789e-6,1.1078270350706214e-22,2.719051530131613e-6,1.8309741274806964e-29,1.3713472836891275e-12,NaN,NaN,2.003366952341032e-9,0.0013810480004936845,-6.457940895702519e-11,2.6315202674338705e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6116562084474797e-22,2.6172019087803374e-6,6.442546080153262e-11,2.633065804006286e-10,-8.978549240895584e-20,0.0010478929661392128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.550949401367467e-19,0.0010478665192219265,8.787966827763366e-21,1.3322285009303846e-6,1.1917635911079717e-21,7.540147284929082e-6,-6.44680831930996e-23,7.540143482075334e-6,-8.76944536980266e-28,3.802853740793128e-12,-1.709041983343002e-21,2.617220983980166e-6,1.687136817996178e-25,5.050970802878096e-11,-4.834571674859914e-22,2.2777418532286013e-7,-3.877147056580169e-22,2.2777407044554084e-7,-9.6403844135379e-28,1.1487732002827665e-13
1080.0,11.575656302847136,6.722880880900145e-9,0.0015102209255325643,-2.6951514537927834e-10,0.0,0.0,0.0,0.0,-8.021099314092818e-22,2.7019277377314937e-10,1.6178329292557136e-19,0.0,0.0,0.0,0.0,0.0,-3.092475304547015e-19,-1.4399560103323106e-20,-1.2090362291513427e-23,8.012257469372083e-22,-5.327853021460978e-28,9.186907797703308e-21,-5.735334325318844e-25,-2.152257367435271e-21,-9.720343481571777e-22,3.9466397983492678e-28,3.8879104377126193e-22,1.745411188705007e-5,-2.0973781951758366e-10,0.00018196197786201124,-2.313211956157446e-10,2.3246411833274013e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.021099314092818e-22,1.574335242799727e-5,2.3137916022676245e-10,2.3252056309263333e-10,4.0657581468206416e-20,0.00015846514039297523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9030263786927355e-19,0.00015840913225090552,-5.637533659569403e-19,2.460804907981632e-7,-1.5676953929931205e-22,2.999738506551981e-6,2.2656809306093896e-21,2.9997369936416377e-6,-5.912695848958925e-29,1.512910341133966e-12,9.186907797703308e-21,1.5741125339939003e-5,-5.735334325318844e-25,8.278257153478587e-9,-2.152257367435271e-21,3.109104280054586e-6,-9.720343481571777e-22,3.1091027119858996e-6,3.9466397983492678e-28,1.5680686855485897e-12,6.208608459289187e-22,1.7453729647961388e-5,-4.434786682535275e-25,8.28025629364583e-9,-2.0509847256991865e-23,2.560549484262225e-6,5.472415956304711e-23,2.560548192855731e-6,-2.0662941009563537e-29,1.2914064960210016e-12,NaN,NaN,2.415170251236689e-9,0.00157372271094672,-5.622834460336761e-11,3.912487806353378e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9417340952405584e-21,3.020282234924152e-6,5.599904065303838e-11,3.91480832863179e-10,3.5998900258307764e-19,0.0013097043232209037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6788786570910006e-19,0.0013096112052304089,-6.003346013664854e-20,1.7828147261781098e-6,-3.793452819037408e-22,7.791741133318931e-6,6.967099729200945e-22,7.791737203574486e-6,-5.110752172851349e-29,3.929744446154052e-12,4.558868015334456e-21,3.0202285865541066e-6,5.246303672954235e-25,1.341027794761327e-10,-1.7520752613078143e-22,1.7880091693446943e-7,9.044077871087457e-23,1.7880082675668854e-7,-2.1452174218873073e-28,9.017777904425549e-14
