# twin_c1_limiter_off_no_sfc.csv, from experiments/tag_closure/run_c1_twin.jl
# config: /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn.jl/experiments/tag_closure/configs/c1_sphere_shift.yml
# T_0 unshifted 273.16 K, shifted 163.16 K
# overrides in both halves: disable_surface_flux_tendency = true, energy_q_tot_upwinding = none, t_end = 6hours
# columns after time: max|shifted - unshifted| / max|unshifted|;
# energy_after_shift has the predicted shift removed, relative to it
time,rho,rho_q_tot,u_h,u_3,energy_after_shift
0.0,0.0,0.0,0.0,0.0,5.54474068044277e-16
400.0,3.711736948062672e-8,4.4407531681837247e-10,1.7497047128950953e-7,4.667581068847166e-5,8.004728528649812e-8
3600.0,2.4466528122534434e-7,3.642488006728065e-9,2.207487367663771e-6,8.543119300804942e-5,8.318578245765866e-7
7200.0,5.125308556714497e-7,1.6961563896442404e-8,3.966561165080771e-6,7.56180062354881e-5,3.59617749855925e-6
10800.0,5.008551139491649e-7,3.4456706443123514e-8,4.9871918226248906e-6,0.00011497324825535808,2.1314535330520207e-6
14400.0,4.561266377920269e-7,6.055665147889281e-8,5.647211895772636e-6,0.00012388150643022694,3.3510856144711643e-6
18000.0,6.832956643371835e-7,9.424544782848872e-8,6.2188752997563404e-6,0.00010153372048161933,1.6398869766460398e-6
21600.0,8.632595893408648e-7,1.1409564398793769e-7,6.58814368813319e-6,0.00016613435314897262,2.5115363389194364e-6
