ρ,ρq_tot,ρe_tot,ρq_rai,ρq_sno,ρq_tag_tropo,ρq_tag_strat,ρq_tag_evap
1.2143348025399623,0.0118969124483887,-51364.347772497174,0.0001127801567656356,0.0,0.012204404823602188,6.65203877956097e-6,0.0004750287020052133
1.2097058199999087,0.011680672569574172,-51259.590883940786,0.0,0.0,0.011888410000394947,8.28360307724053e-6,0.00031565883013719446
1.2044552078767308,0.01157763826931966,-51110.810451825986,0.0,0.0,0.011751775286455235,1.0903215998609378e-5,0.00022928720150278226
1.2001432504423015,0.01155697086736486,-50828.49894723963,5.359563024520084e-5,0.0,0.011664727692097965,2.002888929025227e-5,0.0001374625133896846
1.194555660960351,0.011381784976684366,-50505.49460830043,7.189844195354426e-6,0.0,0.011263360086376288,6.0231202463011315e-5,2.6988601088869085e-5
1.1892947937392604,0.011365091931688972,-49993.378925352496,7.804777294890926e-6,0.0,0.01123644507488836,9.288185847137329e-5,6.679282880471889e-5
1.1838794008141071,0.011366699236537664,-49392.69504863443,8.03651168914599e-6,0.0,0.011174904888210947,0.0001589240973686344,0.00011965648264477272
1.1784451047716686,0.011365950633656365,-48804.45502869369,8.191094371469476e-6,0.0,0.011076753320657638,0.0002642637120584247,0.00017310190336719035
1.172820992143918,0.01128404510089274,-48383.83863607478,8.298926217800234e-6,0.0,0.01074520859993731,0.0005133065382516592,0.00017223193881717557
1.1677774492535993,0.011175861497247076,-48321.21841241705,8.373369905198131e-6,0.0,0.01042884519665963,0.0007190608471869506,0.00014574618308507773
1.1628607191429468,0.01101249332072661,-48505.7004684284,8.282662221297323e-6,0.0,0.00978760287982621,0.001190549564369138,0.00011173894071986628
1.1579860043347971,0.010813319515313535,-48705.770924528326,8.035682553006367e-6,0.0,0.008887306116381003,0.0018803846214017772,8.87269821164981e-5
1.1531696396810542,0.010540093239084336,-48944.52242988982,7.628451734231571e-6,0.0,0.007574419202791858,0.00290103107113322,6.48997615942421e-5
1.1482645893118777,0.010279266766399292,-49086.979983835394,6.94807136863269e-6,0.0,0.0064476185588067895,0.0037556081912657477,4.717500790072189e-5
1.1431041129704538,0.010174087237090056,-49116.60564815901,6.507069599773777e-6,0.0,0.006360614180170919,0.00374744578248078,6.472959763446643e-5
1.1337096288355257,0.011008116771036865,-45805.02877663569,4.693190047978152e-6,0.0,0.01102216316608905,0.0,0.00040536621293661696
1.101787172592903,0.005353797416928077,-49939.35684216398,0.0,0.0,0.000901875749742883,0.004277156430835907,-4.5400197576418474e-7
1.0924438975049624,0.004914173170532906,-49283.55461269119,0.0,0.0,0.00036381343485909003,0.004526349157108539,-8.995677103540357e-11
1.0853175569427205,0.004622473547024958,-48873.20049014897,0.0,0.0,0.00013215690499999275,0.004469434717705173,7.96847169586616e-13
1.0788697142965218,0.004360219962234201,-48572.53481778484,0.0,0.0,4.679251187608374e-5,0.0042934779428071435,-3.0086692326899902e-15
1.0728001869450994,0.004124549081117892,-48308.253004359845,0.0,0.0,1.6434688173306672e-5,0.004090319577147265,6.221718934969931e-18
1.0669860571562435,0.003912444663272143,-48054.856158070485,0.0,0.0,5.761544341363022e-6,0.0038906127487517658,-7.695798571081529e-21
1.061356861765377,0.003721249392161823,-47799.86277946822,0.0,0.0,2.0219243220414716e-6,0.0037046374976127715,5.884688465951186e-24
1.0558704556353775,0.003548697816329448,-47537.40994090908,0.0,0.0,7.109863065169897e-7,0.003534705681329835,-2.7915114565957184e-27
1.050499026891538,0.00339281436208339,-47264.762226168554,0.0,0.0,2.5059130171680156e-7,0.003380404402657023,8.051075331589404e-31
1.045223245977733,0.0032518607439853678,-46980.87939877831,0.0,0.0,8.85346394785656e-8,0.0032405736956141146,-1.347780856087411e-34
1.040029452950771,0.0031243371919210125,-46685.66524623982,0.0,0.0,3.135465452082512e-8,0.003113959343345869,1.2061887187429128e-38
1.0349112941000094,0.003009347951177341,-46379.53325221792,0.0,0.0,1.1131957396864608e-8,0.0029997166094379536,-5.011159634712526e-43
1.0298923139876899,0.0029092734695556717,-46063.05238892314,0.0,0.0,3.965867816028566e-9,0.0029002593411649705,7.699233415757615e-48
1.025112683462954,0.0028395963399181806,-45736.54282715884,0.0,0.0,1.427826611578383e-9,0.002831124893397074,-4.344617979650101e-53
