ρ,ρq_tot,ρe_tot,ρq_rai,ρq_sno,ρq_tag_tropo,ρq_tag_strat,ρq_tag_evap
1.2143348025399623,0.0118969124483887,-51364.347772497174,0.0001127801567656356,0.0,0.011594010891614166,6.690388043167437e-6,0.00046072869049404647
1.2097058199999087,0.011680672569574172,-51259.590883940786,0.0,0.0,0.011481082665557408,8.359232721005638e-6,0.0003054810780370133
1.2044552078767308,0.01157763826931966,-51110.810451825986,0.0,0.0,0.01120911572177902,1.0804420930915344e-5,0.00021860637813733277
1.2001432504423015,0.01155697086736486,-50828.49894723963,5.359563024520084e-5,0.0,0.011287566120107046,2.002936313314961e-5,0.00013165726360436086
1.194555660960351,0.011381784976684366,-50505.49460830043,7.189844195354426e-6,0.0,0.011341619883508904,6.143468998249374e-5,2.7211144262331787e-5
1.1892947937392604,0.011365091931688972,-49993.378925352496,7.804777294890926e-6,0.0,0.011264767965985587,9.527134280661669e-5,6.590017206013196e-5
1.1838794008141071,0.011366699236537664,-49392.69504863443,8.03651168914599e-6,0.0,0.01121336892702611,0.0001641609166667172,0.00011795330249372523
1.1784451047716686,0.011365950633656365,-48804.45502869369,8.191094371469476e-6,0.0,0.011117381054936494,0.0002744232676084795,0.00017049971029778032
1.172820992143918,0.01128404510089274,-48383.83863607478,8.298926217800234e-6,0.0,0.01079306801248208,0.00053380120952834,0.0001697944656378898
1.1677774492535993,0.011175861497247076,-48321.21841241705,8.373369905198131e-6,0.0,0.010478922440900741,0.000745451923072038,0.00014386644428863746
1.1628607191429468,0.01101249332072661,-48505.7004684284,8.282662221297323e-6,0.0,0.009835343928963793,0.0012252874602593203,0.00011044468404171323
1.1579860043347971,0.010813319515313535,-48705.770924528326,8.035682553006367e-6,0.0,0.008922423045361024,0.0019138680136872124,8.776306638584667e-5
1.1531696396810542,0.010540093239084336,-48944.52242988982,7.628451734231571e-6,0.0,0.0075872525545675725,0.0029087580802484637,6.468934589308664e-5
1.1482645893118777,0.010279266766399292,-49086.979983835394,6.94807136863269e-6,0.0,0.006470973407070507,0.003723994903094083,4.912423759215621e-5
1.1431041129704538,0.010174087237090056,-49116.60564815901,6.507069599773777e-6,0.0,0.006379743441620734,0.0036723328434744504,6.924276593726855e-5
1.1337096288355257,0.011008116771036865,-45805.02877663569,4.693190047978152e-6,0.0,0.010680554636145631,0.0,0.00039039834718307024
1.101787172592903,0.005353797416928077,-49939.35684216398,0.0,0.0,0.000907271788587448,0.004282850353660403,-4.088061675586006e-7
1.0924438975049624,0.004914173170532906,-49283.55461269119,0.0,0.0,0.0003637931952918994,0.0045262968436818865,-8.932561176389785e-11
1.0853175569427205,0.004622473547024958,-48873.20049014897,0.0,0.0,0.0001321678333595949,0.004469436131176001,7.900981472270138e-13
1.0788697142965218,0.004360219962234201,-48572.53481778484,0.0,0.0,4.6792418301333135e-5,0.004293477461657888,-2.9823489055654932e-15
1.0728001869450994,0.004124549081117892,-48308.253004359845,0.0,0.0,1.643469990348109e-5,0.004090319580985923,6.166530426828211e-18
1.0669860571562435,0.003912444663272143,-48054.856158070485,0.0,0.0,5.761544237382536e-6,0.0038906127483376886,-7.626867975800323e-21
1.061356861765377,0.003721249392161823,-47799.86277946822,0.0,0.0,2.0219243291246427e-6,0.003704637497615607,5.8315279654481386e-24
1.0558704556353775,0.003548697816329448,-47537.40994090908,0.0,0.0,7.109863064612952e-7,0.0035347056813296624,-2.7660849241004232e-27
1.050499026891538,0.00339281436208339,-47264.762226168554,0.0,0.0,2.50591301719253e-7,0.0033804044026570237,7.97715076872249e-31
1.045223245977733,0.0032518607439853678,-46980.87939877831,0.0,0.0,8.853463947854998e-8,0.0032405736956141146,-1.3353195798275612e-34
1.040029452950771,0.0031243371919210125,-46685.66524623982,0.0,0.0,3.1354654520825565e-8,0.003113959343345869,1.1950122120716315e-38
1.0349112941000094,0.003009347951177341,-46379.53325221792,0.0,0.0,1.1131957396864606e-8,0.0029997166094379536,-4.965544680164257e-43
1.0298923139876899,0.0029092734695556717,-46063.05238892314,0.0,0.0,3.965867816028566e-9,0.0029002593411649705,7.637368205054636e-48
1.025112683462954,0.0028395963399181806,-45736.54282715884,0.0,0.0,1.427826611578383e-9,0.002831124893397074,-4.327395149825909e-53
