time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction
0.0,7.193520302297007e6,1.496659214535201e-17,5.4364515816972675e6,1.1310895100307929e-17,0.0,0.0,0.0,0.0,0.0
3600.0,6.278421378429312e20,0.0013063301093823119,6.278867120494477e20,0.0013064228534409926,0.0,0.0,0.0,0.0,0.0
7200.0,6.402459135125838e20,0.0013321985804192811,6.406840290790728e20,0.0013331101941030518,0.0,0.0,0.0,0.0,0.0
10800.0,6.548237528495253e20,0.0013625875137257722,6.556950279082436e20,0.0013644005031154577,0.0,0.0,0.0,0.0,0.0
14400.0,6.696688558290667e20,0.001393529981237872,6.708816986656782e20,0.0013960538149814248,0.0,0.0,0.0,0.0,0.0
18000.0,6.841574804537465e20,0.0014237288869114193,6.855980588881349e20,0.0014267267246746494,0.0,0.0,0.0,0.0,0.0
21600.0,6.985508184984009e20,0.0014537285352538474,7.002076999485285e20,0.0014571766105832284,0.0,0.0,0.0,0.0,0.0
25200.0,7.128451719521888e20,0.0014835215350506219,7.147377863650624e20,0.001487460306539185,0.0,0.0,0.0,0.0,0.0
28800.0,7.271917646116087e20,0.0015134231295615328,7.293789924462428e20,0.0015179751629530603,0.0,0.0,0.0,0.0,0.0
32400.0,7.41500000844478e20,0.001543245676670659,7.440425289461166e20,0.0015485373091672183,0.0,0.0,0.0,0.0,0.0
36000.0,7.552039560617536e20,0.0015718123707814118,7.581569622031915e20,0.0015779584873991139,0.0,0.0,0.0,0.0,0.0
39600.0,7.680995836858308e20,0.0015986991427874744,7.715174402336719e20,0.0016058129655902207,0.0,0.0,0.0,0.0,0.0
43200.0,7.804160683918332e20,0.0016243828785303582,7.843407457984397e20,0.001632551827173591,0.0,0.0,0.0,0.0,0.0
46800.0,7.92777249466486e20,0.0016501611344039732,7.972469463791647e20,0.0016594647819705897,0.0,0.0,0.0,0.0,0.0
50400.0,8.053211525002072e20,0.0016763201898383727,8.103715603605409e20,0.0016868328910593848,0.0,0.0,0.0,0.0,0.0
54000.0,8.179490040241219e20,0.001702653508629999,8.236113504983619e20,0.0017144403242432117,0.0,0.0,0.0,0.0,0.0
57600.0,8.304651758923861e20,0.0017287532076343344,8.36765511434137e20,0.0017418684177516889,0.0,0.0,0.0,0.0,0.0
61200.0,8.417266759438543e20,0.0017522393553536283,8.486834556375338e20,0.0017667214235999758,0.0,0.0,0.0,0.0,0.0
64800.0,8.517815635525321e20,0.0017732115005272815,8.594060100424805e20,0.0017890838283395251,0.0,0.0,0.0,0.0,0.0
68400.0,8.61064010638269e20,0.0017925733338018755,8.6936703630154e20,0.001809858671720969,0.0,0.0,0.0,0.0,0.0
72000.0,8.706058378603313e20,0.001812473078338034,8.796048398580295e20,0.0018312076745737127,0.0,0.0,0.0,0.0,0.0
75600.0,8.805979956360053e20,0.0018333086044867452,8.903087032357605e20,0.0018535252344206211,0.0,0.0,0.0,0.0,0.0
79200.0,8.91130646642709e20,0.0018552679637240544,9.015664818176155e20,0.0018769945991479972,0.0,0.0,0.0,0.0,0.0
82800.0,9.014268265166036e20,0.001876733977489827,9.12600014951322e20,0.0018999961012202283,0.0,0.0,0.0,0.0,0.0
86400.0,9.10877446494395e20,0.001896438923885169,9.227955292037183e20,0.0019212522684630036,0.0,0.0,0.0,0.0,0.0
