z,rho,rho_q_tot,ρq_tag_tropo,ρq_tag_strat,ρq_tag_evap,ρq_tag_evap_tropo,ρq_tag_evap_strat
25.0,1.2147208489796109,0.011646864736524048,0.011646858427332499,6.309191554895737e-9,0.00017260908075284172,0.00017260899369789923,8.705494251389564e-11
75.0,1.2099527696297312,0.011443068176968628,0.011443052911862801,1.526510582906608e-8,5.8931278911890645e-6,5.893124919005285e-6,2.9721837782630855e-12
125.0,1.2048905254940347,0.011386254133404477,0.011386211608557061,4.252484741276271e-8,-1.5878715973567205e-10,-1.5878707965177955e-10,-8.008389247218739e-17
175.0,1.1998250232970475,0.011338420522124311,0.011338305299506291,1.1522261802409145e-7,0.0,0.0,0.0
225.0,1.194772378332533,0.011290737715969957,0.011290425516272646,3.121996973163673e-7,0.0,0.0,0.0
275.0,1.1897325897432185,0.011243214757535628,0.011242368851609565,8.459059260579466e-7,0.0,0.0,0.0
325.0,1.1847056633632835,0.01119587204663859,0.011193580185529798,2.2918611087892585e-6,0.0,0.0,0.0
375.0,1.1796906747735678,0.011148800153290353,0.011142591722759733,6.2084305306188865e-6,0.0,0.0,0.0
425.0,1.174430337880574,0.011099952265985188,0.011083151565952423,1.680070003276758e-5,0.0,0.0,0.0
475.0,1.1686610941410827,0.011046280180281809,0.011000957317748762,4.53228625330456e-5,0.0,0.0,0.0
525.0,1.1629733520267633,0.010993397933815539,0.010871780792729503,0.0001216171410860341,0.0,0.0,0.0
575.0,1.1573388211968745,0.01094101064925926,0.01061877024665669,0.00032224040260257287,0.0,0.0,0.0
625.0,1.1517302698981031,0.010888634432968265,0.010060713885086451,0.0008279205478818183,0.0,0.0,0.0
675.0,1.1461537754042703,0.010835486597960341,0.008854778841605154,0.001980707756355194,0.0,0.0,0.0
725.0,1.1406630165676244,0.010778947935051748,0.00671015976593982,0.004068788169111937,0.0,0.0,0.0
775.0,1.1356171362663943,0.010634894707145008,0.004031212439606956,0.0066036822675380556,0.0,0.0,0.0
825.0,1.1014058670238258,0.005361443754980589,0.0009977927209899194,0.004363651033990664,0.0,0.0,0.0
875.0,1.092282605245847,0.004973798056404943,0.00038202290699513404,0.004591775149409808,0.0,0.0,0.0
925.0,1.085142902839986,0.00467822699374061,0.00013896123126337046,0.004539265762477242,0.0,0.0,0.0
975.0,1.0786874857051345,0.004412848242089219,4.9109296381944344e-5,0.004363738945707275,0.0,0.0,0.0
1025.0,1.072615528497752,0.0041742708050924405,1.7193232728709655e-5,0.0041570775723637305,0.0,0.0,0.0
1075.0,1.0668001816882549,0.003959319326651739,6.008240929518182e-6,0.00395331108572222,0.0,0.0,0.0
1125.0,1.061170578692943,0.0037653513806258274,2.101592363504007e-6,0.003763249788262323,0.0,0.0,0.0
1175.0,1.0556842004303815,0.003590112904344145,7.365404934529935e-7,0.0035893763638506914,0.0,0.0,0.0
1225.0,1.0503130399936444,0.0034316374353622766,2.5872269225511425e-7,0.0034313787126700216,0.0,0.0,0.0
1275.0,1.0450376279741123,0.0032881906668244744,9.109543153348853e-8,0.003288099571392941,0.0,0.0,0.0
1325.0,1.0398438554164742,0.003158233059102861,3.2149582648675816e-8,0.0031582009095202125,0.0,0.0,0.0
1375.0,1.0347211387296606,0.0030403926862545027,1.137221857740709e-8,0.003040381314035924,0.0,0.0,0.0
1425.0,1.0296615123058066,0.0029334698586637254,4.031601610396492e-9,0.002933465827062115,0.0,0.0,0.0
1475.0,1.0246759919913035,0.0028383622977169692,1.433314467826885e-9,0.002838360864402502,0.0,0.0,0.0
