z,rho,rho_q_tot,ρq_tag_tropo,ρq_tag_strat,ρq_tag_evap,ρq_tag_evap_tropo,ρq_tag_evap_strat
25.0,1.2147256028919269,0.011644641326568587,0.011644634825418354,6.501150228579312e-9,0.00017000402143972686,0.00017000393569863924,8.574108760105226e-11
75.0,1.2099482100001038,0.011445297328232351,0.0114452822551011,1.5073131249310173e-8,8.498347401257054e-6,8.49834311513757e-6,4.286119486024594e-12
125.0,1.2048906387237244,0.011386251745454047,0.011386209220669682,4.2524784363779636e-8,-1.3763935767583134e-10,-1.3763928825777807e-10,-6.941805331363917e-17
175.0,1.1998251307056083,0.011338418374043587,0.011338303151629574,1.1522241400898758e-7,0.0,0.0,0.0
225.0,1.194772482110626,0.011290731354389304,0.011290419155666923,3.121987223788202e-7,0.0,0.0,0.0
275.0,1.1897326877611811,0.011243206930430325,0.011242361028281595,8.459021487241076e-7,0.0,0.0,0.0
325.0,1.1847057688259743,0.011195866762896045,0.011193574913410187,2.2918494858592087e-6,0.0,0.0,0.0
375.0,1.1796907301346546,0.011148790014789974,0.011142581628284342,6.208386505634398e-6,0.0,0.0,0.0
425.0,1.1744304842364008,0.011099907484480379,0.01108310707176051,1.68004127198667e-5,0.0,0.0,0.0
475.0,1.168661132546967,0.011046216082898859,0.011000894519012282,4.532156388657959e-5,0.0,0.0,0.0
525.0,1.1629732144317642,0.010993317288573652,0.010871705260794225,0.00012161202777942694,0.0,0.0,0.0
575.0,1.157338498048891,0.010940907426956687,0.010618685572893593,0.00032222185406309767,0.0,0.0,0.0
625.0,1.1517296994946158,0.010888493342734118,0.010060634355341467,0.0008278589873926591,0.0,0.0,0.0
675.0,1.146152841460464,0.010835290648772833,0.008854748202167641,0.0019805424466051978,0.0,0.0,0.0
725.0,1.1406615845997208,0.010778752099700419,0.0067102515299462175,0.004068500569754205,0.0,0.0,0.0
775.0,1.1356178028166797,0.010635782308753047,0.004031548750245412,0.006604233558507643,0.0,0.0,0.0
825.0,1.1014060860120574,0.005361438675777344,0.0009977876024341709,0.004363651073343174,0.0,0.0,0.0
875.0,1.0922826335768487,0.004973777912167292,0.00038201949982825505,0.004591758412339037,0.0,0.0,0.0
925.0,1.0851430247475755,0.00467822694196302,0.00013896137027743493,0.004539265571685586,0.0,0.0,0.0
975.0,1.0786876132738785,0.004412848413611267,4.9109357019821855e-5,0.004363739056591446,0.0,0.0,0.0
1025.0,1.0726156573997205,0.004174271020575183,1.7193254760982803e-5,0.004157077765814198,0.0,0.0,0.0
1075.0,1.0668003113207805,0.003959319589822606,6.008248690336808e-6,0.003953311341132268,0.0,0.0,0.0
1125.0,1.0611707080087422,0.003765351676374938,2.101595016880551e-6,0.003763250081358058,0.0,0.0,0.0
1175.0,1.0556843293828597,0.0035901132231120833,7.365413782994731e-7,0.003589376681733783,0.0,0.0,0.0
1225.0,1.0503131688338978,0.003431637770817224,2.5872298000696763e-7,0.0034313790478372177,0.0,0.0,0.0
1275.0,1.0450377562111783,0.0032881910115518994,9.10955223266787e-8,0.003288099916029572,0.0,0.0,0.0
1325.0,1.0398439831803283,0.0031582334087433797,3.2149610252494475e-8,0.0031582012591331275,0.0,0.0,0.0
1375.0,1.0347212661497671,0.0030403930375750786,1.1372226541656614e-8,0.0030403816653485362,0.0,0.0,0.0
1425.0,1.0296616388938524,0.0029334702075297014,4.031603720346535e-9,0.002933466175925982,0.0,0.0,0.0
1475.0,1.0246761193335736,0.0028383626469071234,1.4333149449875992e-9,0.002838361213592178,0.0,0.0,0.0
