# process_record_extrema.csv, from analysis/reduce_run.jl
# run: mp1_sphere_4ranks
# generated: 1789385944 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# min and max of every e_prc_<process>. A record is a signed running total of what a process applied, not a share of what is present, so it is not comparable with a tag value directly.
time,geometry,remapped,min_e_prc_radiation,min_e_prc_surface_flux,min_e_prc_microphysics,max_e_prc_radiation,max_e_prc_surface_flux,max_e_prc_microphysics
0.0,sphere,true,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,sphere,true,-378.0891626629638,-902.3947867402674,-0.00492158440982344,308.663354386175,1069.59530558049,2.2934088481465302
7200.0,sphere,true,-721.2845968842945,-1722.3552128901417,-0.009051292832246692,597.7024557759291,2109.6833110190855,2.302168182375493
10800.0,sphere,true,-1022.3871503454642,-2470.2823099272737,-0.015506610539318521,870.9477322448058,3122.0538684073367,3.02208712585246
14400.0,sphere,true,-1285.9508809096553,-3174.9201135241356,-0.0211476226912343,1128.765910223661,4108.697667922517,24.916310591882553
18000.0,sphere,true,-1515.7429641971694,-3848.3781277850785,-0.025651449842616334,1371.921215836002,5069.333283931335,43.97629302552435
21600.0,sphere,true,-1714.9280039033767,-4485.937151877138,-0.02879426448429636,1599.3145278533063,6004.0245272324255,61.93806262628808
25200.0,sphere,true,-1886.226797051442,-5092.715239761906,-0.03045379384014624,1810.3732965492234,6912.145826850649,78.56216007982017
28800.0,sphere,true,-2032.2038425919363,-5675.236285712465,-0.030601237578198267,2005.3907098262252,7793.418805376286,93.99045322828171
32400.0,sphere,true,-2155.2493600633543,-6245.895009534713,-0.029762699756988392,2184.956370902009,8648.240017189,108.30536556753029
36000.0,sphere,true,-2257.4922129397646,-6854.4498083630515,-0.03201636789110817,2349.466494344891,9477.8624000987,121.94870602967416
39600.0,sphere,true,-2340.9048652450438,-7464.8048826399445,-0.03553499784771081,2499.3023947418937,10283.831941101264,135.13564801600262
43200.0,sphere,true,-2407.3947939497793,-8066.357286194411,-0.0407345710270056,2634.915457181567,11067.292819940829,147.6196244959438
46800.0,sphere,true,-2458.7487642667506,-8647.115324778211,-0.04565857617415517,2756.706001941464,11828.7200798818,159.41858071221844
50400.0,sphere,true,-2496.6121826664034,-9197.73131911803,-0.05001594571512438,2865.122293432253,12568.24726176129,170.43955118187452
54000.0,sphere,true,-2522.4343455437315,-9714.731159314588,-0.054408177209859535,2961.5452365336387,13286.077942836771,180.8922129556223
57600.0,sphere,true,-2537.3832335218276,-10196.17068113911,-0.058284243848583904,3046.289554738853,13983.337866266575,191.21006401540626
61200.0,sphere,true,-2542.522477007551,-10643.067976929597,-0.06147795190279016,3119.8535794017334,14661.036211204344,201.84549744162024
64800.0,sphere,true,-2538.8524902785252,-11059.148778452414,-0.06514025874056267,3182.97530632093,15319.453766741255,212.4786100803779
68400.0,sphere,true,-2527.239161712483,-11445.340636448991,-0.06791028154625187,3236.0776759347777,15958.57122884379,222.95001363777206
72000.0,sphere,true,-2508.2770816365446,-11809.867909802117,-0.07145016011384539,3279.4503016927647,16578.371143919314,233.1227519065594
75600.0,sphere,true,-2482.347881317637,-12156.880804457687,-0.07345871679996499,3313.3101150335087,17179.301593048385,242.9856843941915
79200.0,sphere,true,-2449.6858733010663,-12490.328528602486,-0.07369889942539329,3337.7671512260595,17762.40072481912,252.54658388591403
82800.0,sphere,true,-2410.6629782851064,-12813.473973516237,-0.07202044821607274,3352.936207052544,18328.527725888845,261.7754812411303
86400.0,sphere,true,-2365.786257779546,-13129.072297603561,-0.06836157677074813,3359.1482360544323,18878.573250062655,270.66224755486974
