# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: mp1_sphere_4ranks
# generated: 1789385942 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,min_e_src_rad,min_e_src_mp,min_e_src_new_tropics,min_e_src_new_extratropics,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc,max_e_src_rad,max_e_src_mp,max_e_src_new_tropics,max_e_src_new_extratropics
0.0,sphere,true,3.801784917881153e-11,0.0,0.0031357680740889526,0.0,0.0,0.0,0.0,0.0,217406.80386903352,222808.42859456438,0.0,0.0,0.0,0.0,0.0
3600.0,sphere,true,1317.916880520468,-4590.567138623694,-5398.405032655453,-3.388530444328885,-1.0472701955877053,-0.004397094635654702,-0.9598302618950996,-4.379923361702952,220944.17356298296,221239.8513876746,1077.3067383628063,307.9660916574225,1.494478538539881,88.32944389447796,1345.8938555936409
7200.0,sphere,true,1301.104614886485,-7623.694100594713,-8108.958867605319,-10.604607410654937,-3.189147812383532,-0.008765018706220973,-3.488153606303875,-13.03953812932739,223743.15373848402,223682.2798578824,2122.2030457983956,595.3471669173468,1.499883876316732,183.67290942684374,2639.8194117517987
10800.0,sphere,true,1310.0900024540715,-9568.786547451702,-9281.735667049063,-20.158761991582583,-5.800406314360566,-0.01170793466049886,-7.101235448028004,-24.48033659880154,225004.75135687657,225710.59675173764,3134.7787659452565,865.8488110231394,2.0134071112875547,279.6118183199283,3885.3925702212005
14400.0,sphere,true,1321.3865971282978,-10743.754766502992,-9627.849625054492,-30.49423725818815,-8.548066719741087,-0.05534332107292109,-11.384925560375699,-37.58377428231847,225438.00328456215,226966.46030289654,4117.23122034183,1119.9364757026256,16.516741979774785,375.61602313723654,5096.500144078891
18000.0,sphere,true,1412.4525743843467,-11383.710576153597,-9597.41023133734,-41.038433663476795,-11.298187927108232,-0.021232720299699498,-16.058242488157507,-51.24569714827207,225492.71860378256,227687.63660456936,5070.331189033848,1358.28303468705,28.858766110266878,471.4216891809156,6261.812285597695
21600.0,sphere,true,1722.6304665594682,-11651.138118845129,-9314.938484668604,-51.67828863339549,-14.04711648313393,-0.1624162776500482,-20.92171092508545,-65.1220932688427,225292.04070666793,228036.29580404484,5994.906102533776,1579.7657295921447,40.25696782334734,566.8518285358172,7380.008912504181
25200.0,sphere,true,2009.4519990080203,-11663.60966673317,-8897.05028234337,-62.473726607996134,-17.16225747413797,-0.3842308253179218,-25.85086788109888,-79.11862425181286,224954.68476888686,228130.3515981203,6890.8398445494095,1784.296761986209,50.56250189904026,661.8485233476393,8454.194460186234
28800.0,sphere,true,2275.333840002639,-11500.697165156933,-8413.993258357497,-73.36392159551205,-20.55419337178814,-0.5969008558401561,-30.76131658478197,-93.39925151156382,224553.12108986254,228048.2390989923,7758.98193200229,1972.3468988573889,59.8994814813026,756.4986484222807,9485.842922902522
32400.0,sphere,true,2531.6577192081227,-11233.65373522084,-7912.9097197657875,-84.31233483317222,-23.864470593336723,-0.7812652162308678,-35.57471462103389,-107.6505590051021,224135.35321032198,227858.04367699783,8599.755797339665,2144.3519802916803,68.36285639721093,850.7204897317773,10474.900873732122
36000.0,sphere,true,2783.5191205060546,-10971.594304255472,-7431.149276427743,-95.24145520214603,-27.0289971061352,-0.8885261269715627,-40.2259818885832,-121.63651274274335,223738.19206044846,227675.50007324206,9414.48574323903,2301.065371551884,76.2389838026843,944.535434658141,11423.31628464119
39600.0,sphere,true,3030.456238242097,-10642.679217990637,-6958.205382344045,-106.02565832901706,-29.84798995537223,-0.854838911865403,-44.645568848892886,-135.13108627531096,223349.86126885196,227417.51482122135,10204.428126104443,2443.1056938450147,83.6760947437534,1037.9472503262436,12332.993942919937
43200.0,sphere,true,3263.4492239623687,-10265.590385822885,-6494.573942460509,-116.49395960399539,-31.473839928882636,-0.6784693104180182,-48.7765951003529,-147.32686072102354,222968.78301233327,227100.12304581972,10970.34754786633,2571.1388778759974,90.55704265535428,1130.9559629553585,13205.311485179196
46800.0,sphere,true,3475.9024017289216,-9857.617569545246,-6032.447727544278,-126.48986434254945,-29.392736287723583,-0.39396102527968824,-52.577408265882454,-155.58748167212278,222585.38952273605,226749.3551323578,11712.94020193714,2685.754564161245,96.91705969211402,1223.51942975571,14041.194344653799
50400.0,sphere,true,3671.006428263076,-9434.560873306948,-5562.415923312868,-135.9140895398974,-22.42425425104011,-0.476019694238711,-56.050727302118084,-157.55353980786697,222189.95802393014,226381.4515359011,12432.370573222152,2787.485103131094,102.72754168702224,1315.5730463167313,14841.410935385027
