# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c6_sphere_wide_mask
# generated: 1789393804 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,min_e_src_rad,min_e_src_new_tropics,min_e_src_new_extratropics,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc,max_e_src_rad,max_e_src_new_tropics,max_e_src_new_extratropics
0.0,sphere,true,4.365574568510052e-11,0.008377837096735742,3597.9998687490074,0.0,0.0,0.0,0.0,208419.8049532433,222808.2433852629,0.0,0.0,0.0,0.0
3600.0,sphere,true,1317.916880505465,0.011498732885766107,3585.487953276438,0.0,0.0,0.0,0.0,206644.85332269288,221239.62783936327,1077.3067383703237,307.966078016206,84.24781485236971,1345.8846747270075
7200.0,sphere,true,1301.104614715326,0.013900677302604749,3571.7427635956465,0.0,0.0,0.0,0.0,206756.9124404702,221246.7633664667,2122.203045424949,595.3470502804774,173.85840506602875,2639.801460033926
10800.0,sphere,true,1310.0900006730274,0.016073076390726387,3557.831383498715,0.0,0.0,0.0,0.0,206869.5320912231,221259.05607617754,3134.778762669072,865.8487542227211,263.2582700199368,3885.3662318740257
14400.0,sphere,true,1321.3865952585688,0.018136354180833387,3543.783920044687,0.0,0.0,0.0,0.0,206980.37259527502,221277.00109048764,4117.231211782319,1119.9370369939659,352.44266683104695,5096.465704943219
18000.0,sphere,true,1412.4525742795872,0.019048889262503026,3529.6492754551227,0.0,0.0,0.0,0.0,207087.4961120894,221294.13883343473,5070.331177390347,1358.2847039145229,441.3974306631877,6261.770112501377
21600.0,sphere,true,1722.630465171266,0.01962344912744833,3515.4130064846795,0.0,0.0,0.0,0.0,207190.80602671817,221309.7996958583,5994.906095586457,1579.7685239914974,530.1154935549946,7379.959404001538
25200.0,sphere,true,2009.4519952034764,0.020016178251029103,3501.0654591264856,-1.519051817787185e-53,0.0,0.0,-7.760086853996048e-18,207290.97887118842,221321.95260231046,6890.839855452512,1784.3001999178032,618.5988993526205,8454.17439631985
28800.0,sphere,true,2275.3338328865066,0.020194700488721115,3486.581063473042,-2.644127451236632e-53,0.0,0.0,0.0,207389.3506677546,221334.3509064441,7758.981979748077,1972.3501498803341,706.8613659752447,9485.820530556744
32400.0,sphere,true,2531.6577084980477,0.020141802181408597,3471.9430721925673,0.0,0.0,0.0,0.0,207487.92397220863,221355.3649249437,8599.755907255576,2144.354238032077,794.9265198916243,10474.87626344122
