time,form_a_max,form_a_relative,initial_min_extratropics,initial_min_tropics,form_a_max_unrepaired
0.0,0.0,0.0,3597.9998687490074,0.008377837096735742,0.0
3600.0,1.502655009806361,0.0011164736383293878,3585.48795327032,0.01025198121620587,1.502655009806361
7200.0,1.749554727400664,0.0006627554597106873,3571.742763589563,0.011291572714891255,1.5080877803417252
10800.0,3.10541304025503,0.0007992533554611499,3557.8313834926466,0.012079507721428167,2.0192860307197407
14400.0,16.52261820505555,0.0032419538653495864,3543.783920038632,0.012771167441512764,16.52261820505555
18000.0,28.864641346533972,0.0046096306373435356,3529.6492754490923,0.013389011471181468,28.864641346533972
21600.0,40.262845769866544,0.005455663664571095,3515.413006478681,0.01388175628449194,40.262845769866544
25200.0,50.56838605482881,0.005981455253737523,3501.0654591205057,0.014199118891160994,50.56838605482881
28800.0,59.90537077676527,0.006315239577898902,3486.5810634670306,0.014285899532228185,59.90537077676527
32400.0,68.368742753466,0.006526910727019854,3471.943072186408,0.014107469822868434,68.368742753466
36000.0,76.24485436726718,0.0066744939112318765,3457.1801499589224,0.013648569377165463,76.24485436726718
39600.0,83.68193846819122,0.006785208870146407,3442.3008040162463,0.012918299406918944,83.68193846819122
43200.0,90.56285687278978,0.006858063101737001,3427.32291396903,0.01195724204615059,90.56285687278978
46800.0,96.92285385742798,0.006902750258716123,3412.2415700231004,0.010813563265584365,96.92285385742798
50400.0,102.73333367583837,0.0069220736384557014,3397.1478148617707,0.009541846441420265,102.73333367583837
54000.0,108.12718818660869,0.00692803349336261,3382.0461651295714,0.008199410623686728,108.12718818660869
57600.0,113.33569127795454,0.006935877905987289,3366.9549714292007,0.006844358556988391,113.33569127795454
61200.0,118.57661758988979,0.006957436473720447,3351.739409744461,0.005531615424200231,118.57661758988979
64800.0,123.68549744512711,0.006981409689352667,3336.3871341772856,0.004312191618620231,123.68549744512711
68400.0,128.58797244538073,0.0070032025282040136,3320.930823772399,0.0032302746196514465,128.58797244538073
72000.0,133.21665066992864,0.007019307233138188,3305.448040732655,0.0023248089812134796,133.21665066992864
75600.0,137.56875660990409,0.007029896070007292,3289.951773772351,0.001626941675038386,148.1650914763648
79200.0,141.62578130073598,0.007034091495938901,3274.431703797195,0.0011583035247399974,173.71130880663563
82800.0,145.35847926554197,0.007030106854983041,3258.8090011728523,0.0009518729741680859,198.37305971910584
86400.0,148.78139341347196,0.007018605743439428,3243.114349505196,0.0010276380162308092,222.06667301099134
