time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction
0.0,8.0571670499149375e6,1.6763466010451116e-17,7.129564691198906e6,1.483352828975875e-17,0.0,0.0,0.0,0.0,0.0
3600.0,6.494907082147868e20,0.0013515835399129672,6.504557187996155e20,0.0013535917170982592,0.0,0.0,0.0,0.0,0.0
7200.0,6.869992728179214e20,0.0014299253549364132,6.89096998831074e20,0.0014342915773366393,0.0,0.0,0.0,0.0,0.0
10800.0,7.24414217698075e20,0.0015080827578550417,7.278573308105265e20,0.0015152506176117602,0.0,0.0,0.0,0.0,0.0
14400.0,7.608278220209561e20,0.0015841653268863132,7.657765723107483e20,0.0015944694172384288,0.0,0.0,0.0,0.0,0.0
18000.0,7.960811714878515e20,0.0016578414944950267,8.026566762394685e20,0.0016715350034171206,0.0,0.0,0.0,0.0,0.0
21600.0,8.310517016146613e20,0.0017309381478901134,8.393443388305315e20,0.0017482102888118807,0.0,0.0,0.0,0.0,0.0
25200.0,8.665667203020075e20,0.0018051783937800894,8.766405426310071e20,0.0018261635597056304,0.0,0.0,0.0,0.0,0.0
28800.0,9.017805754936543e20,0.001878801116504579,9.13680485280836e20,0.001903593803774674,0.0,0.0,0.0,0.0,0.0
32400.0,9.365798072905496e20,0.0019515713806630137,9.50339792902232e20,0.0019802433570488592,0.0,0.0,0.0,0.0,0.0
36000.0,9.700333926755723e20,0.002021551149114154,9.8568000013373e20,0.002054158704199998,0.0,0.0,0.0,0.0,0.0
39600.0,1.0025971099289867e21,0.002089691086396118,1.0201484302676916e21,0.0021262729170268405,0.0,0.0,0.0,0.0,0.0
43200.0,1.0351941266286545e21,0.002157915219914637,1.054657757103307e21,0.002198488155324184,0.0,0.0,0.0,0.0,0.0
46800.0,1.0676524031536512e21,0.0022258638651225533,1.0890228322401729e21,0.002270417378743041,0.0,0.0,0.0,0.0,0.0
50400.0,1.1002130033258147e21,0.0022940380003259033,1.1234707162457451e21,0.0023425323164971428,0.0,0.0,0.0,0.0,0.0
54000.0,1.1326621205426421e21,0.002361990541952527,1.1577770511132954e21,0.002414363820261912,0.0,0.0,0.0,0.0,0.0
57600.0,1.1640586101762287e21,0.0024277577906178177,1.1909949443674672e21,0.002483936143332862,0.0,0.0,0.0,0.0,0.0
61200.0,1.1937640253068382e21,0.0024900069014861556,1.2224878173880483e21,0.002549920283865628,0.0,0.0,0.0,0.0,0.0
64800.0,1.221689844925677e21,0.0025485518893097058,1.2521758421484396e21,0.0026121483464156326,0.0,0.0,0.0,0.0,0.0
68400.0,1.2486471797927743e21,0.0026050837295629684,1.280883081118096e21,0.002672338293870181,0.0,0.0,0.0,0.0,0.0
72000.0,1.2756569255009824e21,0.0026617319819490304,1.3096336623366638e21,0.0027326264091809306,0.0,0.0,0.0,0.0,0.0
75600.0,1.3031536613725522e21,0.0027194037859847734,1.3388628658740857e21,0.002793921280578385,0.0,0.0,0.0,0.0,0.0
79200.0,1.3308705157439247e21,0.002777543370339482,1.3683053553399877e21,0.0028556703476146877,0.0,0.0,0.0,0.0,0.0
82800.0,1.3580219816125092e21,0.0028345124109422815,1.397176105582903e21,0.0029162363092564113,0.0,0.0,0.0,0.0,0.0
86400.0,1.3839738688666751e21,0.0028889882541674877,1.4248434189264237e21,0.002974301750853962,0.0,0.0,0.0,0.0,0.0
