exclusive_s,inferences,specializations,method
1.961307,111,111,ClimaCore.DataLayouts.foreach_point /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:171
1.935398,42439,42439,ClimaCore.MatrixFields.#83 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:336
1.920295,111,111,ClimaCore.DataLayouts.#foreach_point#49 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:171
1.898448,575,575,ClimaCore.MatrixFields.is_valid_name /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name.jl:151
1.852414,5685,5473,UnrolledUtilities.unrolled_flatmap_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:395
1.755370,66,66,ClimaCore.MatrixFields.multiply_matrix_at_index /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/matrix_multiplication.jl:462
1.744140,44845,11308,Base.getproperty Base.jl:49
1.740392,224,112,ClimaCore.DataLayouts.#foreach_slice#57 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:238
1.619962,112,112,ClimaCore.DataLayouts.foreach_slice /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:238
1.589863,1106,441,Base.Broadcast.broadcasted broadcast.jl:1327
1.554135,7233,4470,UnrolledUtilities.#25 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:115
1.474387,1877,1877,ClimaAtmos.#345 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/prognostic_equations/implicit/manual_sparse_jacobian.jl:437
1.469569,811,327,Base.Broadcast._broadcast_getindex broadcast.jl:649
1.412564,113,113,ClimaCore.DataLayouts.scoped_slice_loop /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:264
1.223463,3272,3272,UnrolledUtilities.unrolled_flatten /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:426
1.145721,627,597,Base.isequal operators.jl:134
1.134689,261,108,Base.Dict dict.jl:90
1.125004,43214,43214,ClimaCore.MatrixFields.is_child_value /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:324
1.093396,209,111,ClimaCore.DataLayouts.slice_every_arg /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:286
1.087750,170,103,ClimaCore.Operators.getidx /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl:2918
1.040766,112,112,ClimaCore.DataLayouts.foreach_pool_slice /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:221
0.984445,7149,6184,UnrolledUtilities.unrolled_map_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:155
0.972895,2,2,ClimaAtmos.TurbulenceConvectionParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:486
0.939081,112,112,ClimaCore.DataLayouts.#foreach_pool_slice#54 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:221
0.938951,205,104,ClimaCore.DataLayouts.#89 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:489
0.854512,341,162,Base.Broadcast.getindex broadcast.jl:607
0.824918,128,128,ClimaCore.MatrixFields.union_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:370
0.824521,6215,6205,Base.Iterators.map iterators.jl:62
0.791345,20812,20812,ClimaCore.MatrixFields.#95 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:376
0.768799,2279,2279,ClimaCore.MatrixFields.#45 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:44
0.766632,124,73,Base.ntuple ntuple.jl:17
0.722746,697,403,Base.map tuple.jl:358
0.714654,570,561,Base.ntuple ntuple.jl:49
0.711294,540,31,Base._maybe_reindex subarray.jl:269
0.683855,15665,2198,Base.indexed_iterate tuple.jl:159
0.628694,194,191,Base.ntuple ntuple.jl:50
0.600816,6614,6614,UnrolledUtilities.inferred_output_type /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:127
0.560704,4609,4609,UnrolledUtilities.maybe_ambiguous_promoted_output_type /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:123
0.559914,548,548,ClimaCore.DataLayouts.vijh_params /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/broadcast.jl:152
0.538991,42,21,ClimaCore.Operators.apply_stencil! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl:3224
0.509416,45,45,ClimaCore.MatrixFields.expand_child_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:422
0.499392,209,133,CommonDataModel.#_defVar#8 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/CommonDataModel/xg2OM/src/variable.jl:126
0.492026,356,347,Base.print_to_string strings/io.jl:137
0.468883,39,39,ClimaCore.MatrixFields.subtree_at_name /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name.jl:139
