inclusive_s,method,signature
0.007027,ClimaTimeSteppers.ClimaODEFunction /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaTimeSteppers/DdUag/src/functions.jl:135,Tuple{typeof(Core.kwcall); @NamedTuple{T_exp_T_lim!::typeof(ClimaAtmos.remaining_tendency!); T_imp!::ClimaTimeSteppers.ODEFunction{typeof(ClimaAtmos.implicit_tendency!); ClimaAtmos.Jacobian{ClimaAtmos.ManualSparseJacobian; @NamedTuple{matrix::ClimaCore.MatrixFields.FieldMatrixWithSolver{ClimaCore.MatrixFields.FieldMatrix{ClimaCore.MatrixFields.FieldMatrixKeys{Tuple{Tuple{ClimaCore.MatrixFields.Fie
0.006930,ClimaTimeSteppers.initialize /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaTimeSteppers/DdUag/src/integrators.jl:541,Tuple{ClimaTimeSteppers.var"#initialize#39"{ClimaTimeSteppers.NonInterpolatingSavingAffect{ClimaUtilities.TimeManager.ITime{Int64; Dates.Second; Dates.DateTime}; ClimaCore.Fields.FieldVector{Float64; @NamedTuple{c::ClimaCore.Fields.Field{ClimaCore.DataLayouts.VIJFH{@NamedTuple{ρ::Float64; uₕ::ClimaCore.Geometry.Covariant12Vector{Float64}; ρe_tot::Float64; ρq_tot::Float64; ρq_lcl::Float64; ρq_icl::
0.006618,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{entropy_water_vapor::Float64; pow_icenuc::Float64; potential_temperature_reference_pressure::Float64; isobaric_specific_heat_vapor::Float64; gravitational_acceleration::Float64; entropy_dry_air::Float64; isobaric_specific_heat_dry_air::Float64; gas_constant_vapor::Float64; latent_heat_vaporization_at_re
0.006592,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; CloudMicrophysics.Parameters.Microphysics1MOptions{CloudMicrophysics.Parameters.CloudLiquidFormation; CloudMicrophysics.Parameters.PrescribedIceNumber; CloudMicrophysics.Parameters.CloudIceMelt; CloudMicrophysics.Parameters.HomogeneousAndHeterogeneous; CloudMicrophysics.Parameters.Kessler1M; CloudMicrophysics
0.006578,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{ClimaAtmos.var"##any_reltype#1"; Bool; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.TanhAltitudeRegion{Float64}; String; Tuple{DataType; DataType}; Tuple{String; Symbol; String; Symbol; String; Symbol; String; Int64; String; Symbol}}
0.006572,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{ClimaAtmos.var"##any_reltype#1"; Bool; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.EnergySourceTag{:tropo; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}}; String; Tuple{DataType; DataType}; Tuple{String; Symbol; String; Symbol; String; Symbol; String; Int64}}
0.006568,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{ClimaAtmos.var"##any_reltype#1"; Bool; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.AtmosRadiation{ClimaAtmos.RadiationDYCOMS{Float64}; ClimaAtmos.IdealizedInsolation}; String; Tuple{DataType; DataType}; Tuple{String; Symbol}}
0.006435,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{ClimaAtmos.var"##any_reltype#1"; Bool; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.SurfaceConditions.SurfaceBoundaryOverrides{Float64; Float64; Nothing; Nothing; Nothing; Nothing}; String; Tuple{DataType; DataType}; Tuple{String; Symbol; String; Symbol}}
0.006432,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.NonEquilibriumMicrophysics1M{CloudMicrophysics.Parameters.Microphysics1MOptions{CloudMicrophysics.Parameters.CloudLiquidFormation; CloudMicrophysics.Parameters.PrescribedIceNumber; CloudMicrophysics.Parameters.CloudIceMelt; CloudMicrophysics.Parameters.HomogeneousAndHeterogeneous; CloudMicrophysics
0.006410,Base.collect_similar array.jl:720,Tuple{typeof(Base.collect_similar); Vector{ClimaAtmos.EnergySourceTag{name; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}} where name}; Base.Generator{Vector{ClimaAtmos.EnergySourceTag{name; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}} where name}; typeof(ClimaAtmos.tag_name)}}
0.006356,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.EnergySourceTag{:tropo; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}}; String; Tuple{DataType; DataType}; Tuple{String; Symbol; String; Symbol; String; Symbol; String; Int64}}
0.006266,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{reference_dust_aerosol_mass_concentration::Float64; dust_calibration_coefficient::Float64; prescribed_cloud_droplet_number_concentration::Float64; seasalt_calibration_coefficient::Float64; reference_ammonium_sulfate_mass_concentration::Float64; liquid_water_specific_humidity_calibration_coefficient::Flo
0.006211,Base.setindex! dict.jl:354,Tuple{typeof(setindex!); Dict{UnionAll; Symbol}; Symbol; Type{ClimaAtmos.ShipwayHill2012VelocityProfile}}
0.006174,Base.map abstractarray.jl:3371,Tuple{typeof(map); Function; Vector{Float64}}
0.006172,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{SB2006_cloud_gamma_distribution_coeff_mu::Float64; SB2006_cloud_droplets_min_mass::Float64; SB2006_cloud_gamma_distribution_coeff_nu::Float64; density_liquid_water::Float64; SB2006_raindrops_min_mass::Float64}}}}
0.006147,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{cloud_liquid_rain_collision_efficiency::Float64}}}}
0.006140,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{angular_velocity_planet_rotation::Float64; alpha_rayleigh_uh::Float64; temperature_minimum::Float64; held_suarez_T_equator_wet::Float64; alpha_rayleigh_w::Float64; astronomical_unit::Float64; c_smag::Float64; kappa_2_sponge::Float64; zd_rayleigh::Float64; held_suarez_T_equator_dry::Float64; planet_radiu
0.006121,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{SB2006_raindrops_breakup_mean_diameter_threshold::Float64; SB2006_raindrops_equilibrium_mean_diameter::Float64; SB2006_raindrops_breakup_coeff_kappabr::Float64; SB2006_raindrops_breakup_coeff_kbr::Float64}}}}
0.006115,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{mam3_stdev_coarse::Float64; MERRA2_seasalt_aerosol_bin04_radius::Float64; sulfate_aerosol_kappa::Float64; MERRA2_sulfate_aerosol_radius::Float64; MERRA2_seasalt_aerosol_bin05_radius::Float64; seasalt_aerosol_density::Float64; MERRA2_seasalt_aerosol_bin02_radius::Float64; mam3_stdev_accum::Float64; MERRA
0.006107,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{BarklieGokhale1959_B_parameter::Float64; BarklieGokhale1959_a_parameter::Float64}}}}
0.006100,Base.collect_similar array.jl:720,Tuple{typeof(Base.collect_similar); Vector{Float64}; Base.Generator{Vector{Float64}; ClimaParams.var"#1#2"{ClimaParams.ParamDict{Float64}; String; String}}}
0.006099,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{D_0_diffusion::Float64; H_diffusion::Float64; C_E::Float64}}}}
