exclusive_s,inferences,specializations,method
2.277602,1282,1282,UnrolledUtilities.output_type_for_promotion /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:34
2.200712,391,391,UnrolledUtilities._unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:21
1.495178,835,831,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:3
1.391456,101,45,Base.Broadcast.materialize! broadcast.jl:882
1.261486,129,76,ClimaCore.Operators.getidx /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl:2918
1.113838,70,35,ClimaCore.DataLayouts.#foreach_slice#57 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:238
1.021503,39,39,ClimaCore.MatrixFields.multiply_matrix_at_index /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/matrix_multiplication.jl:462
0.998194,449,441,UnrolledUtilities.first_reduction_value /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:60
0.968258,266,108,Base.Dict dict.jl:90
0.967777,74,31,ClimaCore.Fields.copyto! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:170
0.869737,74,31,ClimaCore.Fields.#copyto!#10 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:170
0.800975,2,2,ClimaAtmos.TurbulenceConvectionParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:486
0.732223,70,35,ClimaCore.DataLayouts.#foreach_slice#53 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:201
0.678066,1276,1269,UnrolledUtilities.unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:157
0.653934,142,92,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24
0.596816,110,45,Base.Broadcast.materialize! broadcast.jl:879
0.550026,213,207,Base.ntuple ntuple.jl:69
0.481945,2050,2044,UnrolledUtilities.unrolled_map_into_tuple /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:153
0.467671,279,217,Base.collect array.jl:784
0.462220,124,74,Base.ntuple ntuple.jl:17
0.458240,209,133,CommonDataModel.#_defVar#8 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/CommonDataModel/xg2OM/src/variable.jl:126
0.429759,406,343,Base.ntuple ntuple.jl:48
0.415424,23063,4180,Base.getproperty Base.jl:49
0.407322,255,104,Base.Broadcast._getindex broadcast.jl:674
0.400738,58,58,Base.grow_to! array.jl:863
0.379107,413,125,Base.Broadcast._broadcast_getindex broadcast.jl:649
0.364130,918,909,UnrolledUtilities.unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:163
0.343274,301,293,Base.print_to_string strings/io.jl:137
0.342871,12579,1399,Base.indexed_iterate tuple.jl:159
0.323038,141,79,ClimaParams.get_parameter_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaParams/9BD0g/src/ClimaParams.jl:257
0.322186,6096,1957,UnrolledUtilities.generic_getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:8
0.321627,34,34,ClimaCore.DataLayouts.#foreach_point#49 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:171
0.321225,35,35,ClimaCore.DataLayouts.foreach_slice /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:201
0.312430,845,636,Base.iterate generator.jl:43
0.311452,34,34,ClimaCore.DataLayouts.foreach_point /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:171
0.304613,32,32,ClimaCore.DataLayouts.#copyto!#88 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:487
0.301335,32,32,ClimaCore.DataLayouts.copyto! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:487
0.296128,58,58,ClimaCore.MatrixFields.union_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:370
0.292318,465,452,UnrolledUtilities.unrolled_reduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:174
0.290805,14462,3586,Base.getindex tuple.jl:31
0.277106,24,12,ClimaCore.Operators.apply_stencil! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl:3224
0.266269,198,189,Base.ntuple ntuple.jl:49
0.260688,36,36,ClimaCore.DataLayouts.scoped_slice_loop /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:264
0.259602,376,258,Base.map tuple.jl:358
0.254980,85,83,Base.ntuple ntuple.jl:50
0.248133,4,4,Dates.parse /dss/dsshome1/0D/di38kez/.julia/juliaup/julia-1.11.9+0.x64.linux.gnu/share/julia/stdlib/v1.11/Dates/src/parse.jl:281
0.244109,3,2,CreateParametersExt.ThermodynamicsParameters /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/Thermodynamics/keokW/ext/CreateParametersExt.jl:9
0.234354,35,35,ClimaCore.DataLayouts.foreach_pool_slice /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:221
0.231130,44,43,UnrolledUtilities.unrolled_product /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:443
0.226439,4,4,ClimaAtmos.set_implicit_precomputed_quantities! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl:189
0.224868,206,90,ClimaCore.DataLayouts.VIJHWithF /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:405
0.220577,794,728,UnrolledUtilities.unrolled_flatmap_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:395
0.211156,42,16,ClimaCore.DataLayouts.get_struct /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:263
0.197650,363,262,Base.collect_to! array.jl:844
0.195969,157,152,Base.axes generator.jl:53
0.194083,59,59,ClimaCore.MatrixFields.is_valid_name /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name.jl:151
