time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative
0.0,2.797045234315121e-9,2.4755373367908736e-17,6.911249350594062e-10,6.116832005920909e-18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
3600.0,4.050582065246999,3.582735640171755e-8,88.7058966197975,7.846027365791937e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.320439162050365e-9
7200.0,15.694537141826004,1.387288105685915e-7,70.37449515082531,6.220616714220105e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.315734868995033e-9
10800.0,8.00363423768431,7.070514725796808e-8,166.2919359767358,1.4690446204660095e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.311451523891924e-9
14400.0,32.619636747404,2.8800100523259845e-7,79.3815250098577,7.008649169447026e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.3072621883845046e-9
18000.0,47.56386125809513,4.197009255538917e-7,62.071928290032815,5.477193201972791e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.303022362217444e-9
21600.0,26.970023702597246,2.3784958322344094e-7,97.55756999322907,8.603636251512313e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.298958153774474e-9
25200.0,37.43371095479233,3.299630597274457e-7,101.47031980258042,8.944199316497501e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.295284728199927e-9
28800.0,61.139927939802874,5.386553367641591e-7,71.73509661512406,6.320009513762232e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.291650626683093e-9
32400.0,45.249894636071986,3.984603115970387e-7,92.80094660655737,8.17184092885634e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.287982230906799e-9
36000.0,64.78766165164416,5.702189216214135e-7,109.3679946895217,9.62586060399556e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.284321845750456e-9
39600.0,85.15281050931662,7.491319444671735e-7,96.74970017654424,8.511555941179501e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.281135901091704e-9
43200.0,67.57181728826254,5.942065709186121e-7,124.65107788234167,1.0961447023660418e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.2779934119971375e-9
46800.0,85.51063758714008,7.515995275920319e-7,114.49648713628453,1.0063719330227572e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.274550464118183e-9
50400.0,95.18842897959985,8.363401279014213e-7,109.05318117567944,9.581579659442764e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.271744027528792e-9
54000.0,82.99332827227772,7.289258759639389e-7,112.12599444948944,9.847964941746123e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.2690891160876e-9
57600.0,73.72097841071081,6.471872515878423e-7,114.77510688879448,1.0075963121952753e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.2657202204898805e-9
61200.0,95.06251934726606,8.341826348757846e-7,99.85842765525702,8.762671857214027e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.262591755197891e-9
64800.0,109.99096245432156,9.648881224999834e-7,89.52049249751322,7.853123384302707e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.2603869126727315e-9
68400.0,77.48618702607928,6.79544653655397e-7,142.11771948069398,1.2463555140518014e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.2582766384873474e-9
72000.0,112.05067719347426,9.823685659573413e-7,125.97516115227508,1.1044470368860277e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.256041850358444e-9
75600.0,120.89674572634976,1.059666899794496e-6,120.36101427572886,1.0549711829495874e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.254284187494697e-9
79200.0,105.1147803053027,9.211315627723041e-7,150.299278961256,1.3170879424475008e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.252666103081452e-9
82800.0,133.5039258490724,1.169670340591553e-6,135.9444776547947,1.1910527909103378e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.251189381949436e-9
86400.0,133.20682281191694,1.1668432498206914e-6,133.7355853027481,1.1714750166488505e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.8276368272070297,7.249797155608918e-9
