time,form_a_max,form_a_relative,initial_min_extratropics,initial_min_tropics
0.0,0.0,0.0,0.0031357680740889526,0.0
3600.0,0.0401604380437135,2.9839231286184903e-5,-5397.265517560024,-4589.607308361778
7200.0,0.13549467760697098,5.132725253999955e-5,-8105.047680637425,-7620.205946988425
10800.0,0.30543153262289024,7.861021173608802e-5,-9274.232826801352,-9561.685312003665
14400.0,0.5718749695393512,0.00011220935021529452,-9616.608787538087,-10732.36984094252
18000.0,0.9176763208088232,0.00014655123452336975,-9582.219456370774,-11367.652333665395
21600.0,1.3307876089780848,0.00018032330648278745,-9295.882294139068,-11630.216407920137
25200.0,1.8005573663770065,0.0002129779927416997,-8874.300091003213,-11637.75886749848
28800.0,2.3448072936837434,0.0002471901878139246,-8387.760025216734,-11469.935848572193
32400.0,2.9808825113510693,0.00028457381576059253,-7883.919463872403,-11199.058346120228
36000.0,3.6796367531389933,0.0003221163330724246,-7399.0838130639995,-10932.317815751096
39600.0,4.440956043985125,0.0003600874260154671,-6923.230452245086,-10598.91851497221
43200.0,5.268835572684111,0.00039899366088890013,-6456.8462020529605,-10217.580188746811
46800.0,6.18309307857362,0.0004403537852080138,-5992.143071270152,-9805.621623714667
50400.0,7.175671676460752,0.0004834898587202309,-5519.753976649279,-9378.837875083946
54000.0,8.227167596416393,0.0005271392854744836,-5508.273305014856,-8952.564804960577
57600.0,9.318878833140388,0.0005702934325903743,-5745.596139587355,-8540.22207543954
61200.0,10.460919300665864,0.0006137902732112936,-5980.357299519348,-8151.87645986071
64800.0,11.681917634566616,0.0006593840510749954,-6198.136718325925,-7792.374167962268
68400.0,13.004030219901324,0.000708229902750621,-6451.6907154624105,-7457.892141768159
72000.0,14.400245876523968,0.0007587620487647457,-6682.872277080913,-7139.062609818537
75600.0,15.840735696989213,0.0008094767775227475,-6886.290329024606,-6969.173411735449
79200.0,17.291952431050504,0.0008588349015972826,-7063.882416245176,-7204.332142052491
82800.0,18.750377883013243,0.0009068417003920796,-7217.997789510197,-7430.977962127921
86400.0,20.212703440664882,0.0009535127451504347,-7352.035893840106,-7653.47034839477
