exclusive_s,inferences,specializations,method
0.243631,465,452,UnrolledUtilities.unrolled_reduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:174
0.237206,4,4,Dates.parse /dss/dsshome1/0D/di38kez/.julia/juliaup/julia-1.11.9+0.x64.linux.gnu/share/julia/stdlib/v1.11/Dates/src/parse.jl:281
0.236913,35,35,ClimaCore.DataLayouts.foreach_slice /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:238
0.235752,66,35,ClimaCore.DataLayouts.slice_every_arg /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:286
0.233332,36,36,ClimaCore.DataLayouts.scoped_slice_loop /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:264
0.232528,3,2,CreateParametersExt.ThermodynamicsParameters /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/Thermodynamics/keokW/ext/CreateParametersExt.jl:9
0.232300,413,125,Base.Broadcast._broadcast_getindex broadcast.jl:649
0.223613,44,43,UnrolledUtilities.unrolled_product /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:443
0.215590,794,728,UnrolledUtilities.unrolled_flatmap_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:395
0.205545,4,4,ClimaAtmos.set_covariance_cache! /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameterized_tendencies/microphysics/cloud_fraction.jl:241
0.199775,42,16,ClimaCore.DataLayouts.get_struct /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:263
0.198264,59,59,ClimaCore.MatrixFields.is_valid_name /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name.jl:151
0.197988,139,134,Base._setindex! dict.jl:322
0.195349,12,12,ClimaCore.Operators._serial_copyto! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl:3144
0.192435,6096,1957,UnrolledUtilities.generic_getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:8
0.187556,1016,325,Base.setproperty! Base.jl:50
0.187340,363,262,Base.collect_to! array.jl:844
0.184523,25,15,LLVM.Interop.unsafe_load /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/LLVM/N6lMx/src/interop/pointer.jl:87
0.182057,461,461,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:10
0.181278,50,40,Base.grow_to! abstractdict.jl:589
0.180790,21,21,ClimaCore.MatrixFields.expand_child_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:422
0.178077,31,17,ClimaCore.DataLayouts.set_struct! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:207
0.177907,18,4,StaticArrays.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/indexing.jl:259
0.172954,469,435,Base.merge namedtuple.jl:334
0.170860,1695,995,Base.Broadcast.Broadcasted broadcast.jl:176
0.170001,89,39,ClimaCore.DataLayouts.view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:183
0.166303,2,2,ClimaAtmos.NonOrographicGravityWaveParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:617
0.164531,4,4,ClimaCore.Topologies._Topology2D /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Topologies/topology2d.jl:313
0.162789,536,44,Base.checkbounds_indices abstractarray.jl:723
0.158687,706,506,UnrolledUtilities.unrolled_append_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:112
0.156850,3631,1008,Core.NamedTuple boot.jl:727
0.156756,72,72,UnrolledUtilities.unrolled_split /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:413
0.156211,204,113,Core.Array boot.jl:577
0.155909,114,20,Base.SubArray subarray.jl:26
0.154568,3287,811,Base.iterate tuple.jl:69
0.150928,367,225,Base.Broadcast.broadcasted broadcast.jl:1327
0.145158,53,53,NCDatasets.#defVar#30 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NCDatasets/xJGTj/src/cfvariable.jl:99
0.143082,79,71,Base.convert number.jl:7
0.142907,86,83,Base.ht_keyindex2_shorthash! dict.jl:265
0.142342,47,47,Base.rehash! dict.jl:137
0.142018,142,92,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24
0.141990,3336,1739,Base.Generator generator.jl:33
0.141655,167,149,Base.afoldl operators.jl:549
