# transport_ledger.csv, from analysis/transport_ledger.jl
# config: experiments/tag_closure/configs/c6_sphere_no_repair.yml; ledger from step 9; offset 110495.0 J/kg
# gross integrals since the spin-up, `_signed` ones signed, `_slope` regression slopes
time,moved,moved_signed,pressure_v,residual_v,limiter,pressure_h,residual_h,hyperdiffusion,other,other_signed,sum_of_parts,unexplained,pressure_v_slope,pressure_h_slope,hyperdiffusion_slope,sum_slope
7200.0,1.148170801349792e20,-9.43809677702601e17,1.3122834220162351e20,6.406305494943533e17,1.0379803635048072e16,3.800756696100941e19,6.117229500792321e17,3.8712518997574886e18,9.307873519266968e17,-9.30785867199554e17,1.141896251432879e20,5.721250221788234e18,0.9499003893831662,-0.4151064516738809,-2.224094137929761,1.0014259965584402
10800.0,2.1692174908909365e20,-2.0146305304141783e18,2.6454604978149373e20,1.61951417294094e18,2.4995827519659056e16,9.811757190696377e19,1.2813972674032156e18,6.149193275948771e18,1.9918055266874358e18,-1.9917984692768835e18,2.1622493066688725e20,1.0044874570498294e19,0.9287759236260122,-0.4794389842943794,-4.376257071803812,1.001736574559132
14400.0,3.112866679983932e20,-3.1624529267323023e18,4.000088331436948e20,2.970575245484929e18,4.388504582079254e16,1.7106548272749897e20,2.0998786012685297e18,8.110121094424054e18,3.132090397013764e18,-3.1320669560213115e18,3.10264134024205e20,1.438045650731038e19,0.9064049257111362,-0.5572744430621318,-5.455478129921868,1.0024370935562867
18000.0,4.002646276387554e20,-4.3548220605403116e18,5.349444770056346e20,4.4341885933124547e18,6.632204392289502e16,2.493679160364641e20,2.9805533974702305e18,9.882497078780097e18,4.3185195612981473e18,-4.3184668469368156e18,3.9843543771840866e20,1.95519770824467e19,0.8838875672351073,-0.6994891223020585,-5.763123212932046,1.0029310873052943
21600.0,4.86166509283618e20,-5.574398814254117e18,6.672169998767615e20,5.786490024920617e18,9.466452183151718e16,3.283706934682352e20,3.927461433822382e18,1.1762868438004122e19,5.533040785423065e18,-5.532942122226663e18,4.833067243547466e20,2.5902655441780056e19,0.8621659162689229,-0.8303486502669062,-5.387276236444154,1.004664616450772
