t_seconds,error_n1_ρq_tot,increment_ρq_tot,error_n1_ρq_tag_pbl,increment_ρq_tag_pbl,error_n1_ρq_tag_free,increment_ρq_tag_free,error_n1_ρq_tag_evap,increment_ρq_tag_evap,error_n2_ρq_tot,increment_ρq_tot,error_n2_ρq_tag_pbl,increment_ρq_tag_pbl,error_n2_ρq_tag_free,increment_ρq_tag_free,error_n2_ρq_tag_evap,increment_ρq_tag_evap
1320.0,3.9509572929872766e-10,7.198871182448033e-6,3.9002377501231473e-10,6.646965605763591e-6,5.171053010806546e-12,5.986056659154873e-7,3.5486145142664275e-13,6.624252881345465e-6,6.917896655946976e-14,7.198871182448033e-6,6.913503024826415e-14,6.646965605763591e-6,2.6220796913829444e-16,5.986056659154873e-7,1.1633774455165317e-16,6.624252881345465e-6
1440.0,5.217347874497886e-10,8.016640580841327e-6,5.168124360878269e-10,7.499339333364176e-6,5.024487827781105e-12,5.522860681470693e-7,5.496125376322911e-13,7.494638664693788e-6,1.650351626037731e-13,8.016640580841327e-6,1.6492490323500944e-13,7.499339333364176e-6,2.0758797597688694e-16,5.522860681470693e-7,2.939198639915347e-16,7.494638664693788e-6
1560.0,4.968594283457782e-10,8.852840600980143e-6,4.923386258780442e-10,8.387852431820094e-6,4.96944711166073e-12,5.216313769025633e-7,5.385406896392431e-13,8.388037615355778e-6,4.40923270684978e-15,8.852840600980143e-6,4.494559775996521e-15,8.387852431820094e-6,6.088260007835913e-16,5.216313769025633e-7,5.722841967524592e-17,8.388037615355778e-6
1680.0,4.779266120216003e-10,9.711599513077368e-6,4.734618509157419e-10,9.301880519933158e-6,4.696476691204995e-12,5.013754588809085e-7,8.048300542783427e-13,9.302868359502168e-6,3.91285065009853e-14,9.711599513077368e-6,3.910857952709216e-14,9.301880519933158e-6,7.092964167754661e-16,5.013754588809085e-7,1.1190256019755398e-16,9.302868359502168e-6
1800.0,5.384147411934484e-10,1.0596582642699332e-5,5.341116677952617e-10,1.0236490859706383e-5,4.731746689886628e-12,5.334097410776204e-7,1.0668793527810012e-12,1.0237736551811842e-5,4.707083817114579e-14,1.0596582642699332e-5,4.706386940698062e-14,1.0236490859706383e-5,8.741458630909797e-16,5.334097410776204e-7,1.511861752116713e-16,1.0237736551811842e-5
1920.0,6.029315929938797e-10,1.1502751529844559e-5,5.987753197412809e-10,1.1190018125718423e-5,4.823990324689256e-12,5.699859229207788e-7,1.3929485659434138e-12,1.1191397808119694e-5,5.579521895024283e-14,1.1502751529844559e-5,5.576936396279526e-14,1.1190018125718423e-5,9.225005917695635e-16,5.699859229207788e-7,2.0673242510755903e-16,1.1191397808119694e-5
2040.0,6.847529216602916e-10,1.2431821084786147e-5,6.806775460493456e-10,1.2161229252737632e-5,4.9129233375173485e-12,6.117606803799971e-7,1.7612498829128012e-12,1.2162729950416807e-5,5.815316131672209e-14,1.2431821084786147e-5,5.812033018810666e-14,1.2161229252737632e-5,9.760528734311774e-16,6.117606803799971e-7,1.2077089758049756e-16,1.2162729950416807e-5
2160.0,8.337567835259715e-10,1.3377864267827279e-5,8.29627124424935e-10,1.3149089066355423e-5,4.910492854984569e-12,6.568022535175285e-7,2.343153350723098e-12,1.315071178562819e-5,1.0735951026124434e-13,1.3377864267827279e-5,1.0734140539261785e-13,1.3149089066355423e-5,7.028867596449152e-16,6.568022535175285e-7,7.823238911817808e-16,1.315071178562819e-5
2280.0,1.0555700659333704e-9,1.4340901259782098e-5,1.051273023629501e-9,1.415266000845216e-5,4.882694051624812e-12,7.071526601049527e-7,3.156129230464526e-12,1.4154406585254677e-5,5.113688494444321e-13,1.4340901259782098e-5,5.112221479836255e-13,1.415266000845216e-5,2.424790630193045e-16,7.071526601049527e-7,3.0505946811003518e-15,1.4154406585254677e-5
2400.0,1.0898319436544861e-9,1.532085837196946e-5,1.0856715284925113e-9,1.5171076761891786e-5,5.272163154202247e-12,7.786963083373805e-7,3.285817970153973e-12,1.5172949021486713e-5,1.5801018913541984e-13,1.532085837196946e-5,1.5805668491406161e-13,1.5171076761891786e-5,8.761990709551241e-16,7.786963083373805e-7,1.7470325342531308e-15,1.5172949021486713e-5
2520.0,9.98132206941315e-10,1.6318788811449687e-5,9.945664939111913e-10,1.620353501849421e-5,5.382894221750025e-12,8.561244348732394e-7,4.560381213876562e-12,1.6205534693573737e-5,1.14872475001211e-13,1.6318788811449687e-5,1.148147532136673e-13,1.620353501849421e-5,1.4338130627010264e-15,8.561244348732394e-7,1.0945365788146332e-15,1.6205534693573737e-5
2640.0,1.0966433860775663e-9,1.7338342726467187e-5,1.0931625541898282e-9,1.724928289750462e-5,5.5087147654923095e-12,9.446643674006117e-7,5.536611809207253e-12,1.7251411628127645e-5,1.3312282854484955e-13,1.7338342726467187e-5,1.3305925539223856e-13,1.724928289750462e-5,1.4681583164182773e-15,9.446643674006117e-7,1.2857917306794479e-15,1.7251411628127645e-5
