time,gap_integral,gap_gross,new_integral,kept_over_levels,kept_over_columns,kept_overall
0.0,0.0,0.0,0.0,0.0,NaN,0.0
3600.0,4.057073397787035e-10,0.0007913402777928568,493957.2342245384,5.126837988207425e-7,NaN,5.126837988207425e-7
7200.0,-3.2102326585257845e-9,0.0007758288457332563,1.0005156558780696e6,4.137810389728045e-6,NaN,4.137810389728045e-6
10800.0,-1.5516009969931106e-8,0.0007600747756885643,1.5130898310659062e6,2.0413794097922665e-5,NaN,2.0413794097922665e-5
14400.0,-1.711130396188438e-8,0.0007446074178066961,2.0464404116289169e6,2.2980302845071252e-5,NaN,2.2980302845071252e-5
18000.0,-4.798787484721471e-9,0.0007297094600665606,2.585938338204435e6,6.576298852263404e-6,NaN,6.576298852263404e-6
21600.0,1.43069788107334e-8,0.000715436292541149,3.126908377629681e6,1.9997558077346934e-5,NaN,1.9997558077346934e-5
25200.0,3.6682730859600545e-8,0.0007017862487646414,3.6633368906366285e6,5.227051815873192e-5,NaN,5.227051815873192e-5
28800.0,6.359378282660228e-8,0.0006898894515646812,4.191231140285169e6,9.2179671224673e-5,NaN,9.2179671224673e-5
32400.0,1.4765831008248843e-7,0.0006776778343939208,4.7363492881976105e6,0.00021788865237793443,NaN,0.00021788865237793443
36000.0,3.1614017110907964e-7,0.0006658424716435118,5.292158689965878e6,0.0004747972449530664,NaN,0.0004747972449530664
39600.0,6.254462781357295e-7,0.0006542508788441178,5.847687283504201e6,0.0009559731570261272,NaN,0.0009559731570261272
43200.0,1.1310903694165254e-6,0.0006428574120561674,6.396998634543894e6,0.0017594731711947662,NaN,0.0017594731711947662
46800.0,1.983690661598959e-6,0.0006315259500284436,6.93661506210518e6,0.003141107125541895,NaN,0.003141107125541895
50400.0,3.15488595530631e-6,0.0006213321766386407,7.4641155878185555e6,0.005077615603901283,NaN,0.005077615603901283
54000.0,4.622090118277483e-6,0.0006102870672611748,8.004271411967236e6,0.007573632747979306,NaN,0.007573632747979306
57600.0,6.378096250798822e-6,0.0005998121260224234,8.550092530661482e6,0.010633490011437987,NaN,0.010633490011437987
61200.0,8.738013322151018e-6,0.0005883306642951165,9.093828545211086e6,0.014852214668463863,NaN,0.014852214668463863
64800.0,1.1481660204180115e-5,0.0005764592546544438,9.632785433468426e6,0.019917557245329943,NaN,0.019917557245329943
68400.0,1.449405404581878e-5,0.0005642755466391607,1.0162496994228298e7,0.025686128226086933,NaN,0.025686128226086933
72000.0,1.7785581558228556e-5,0.0005531624424873062,1.068175015655854e7,0.032152547230530196,NaN,0.032152547230530196
75600.0,2.1366113679168026e-5,0.0005432204124878236,1.1189215596220218e7,0.039332310031053835,NaN,0.039332310031053835
79200.0,2.5048155104835586e-5,0.0005326290902161044,1.1688980584005136e7,0.047027388411460515,NaN,0.047027388411460515
82800.0,2.994895922992604e-5,0.0005189696267385066,1.218116068022841e7,0.057708501012172786,NaN,0.057708501012172786
86400.0,3.327690756719568e-5,0.0005061774074551208,1.268870420581065e7,0.06574158995854851,NaN,0.06574158995854851
