# twin_c1.csv, from experiments/tag_closure/run_c1_twin.jl
# config: /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn.jl/experiments/tag_closure/configs/c1_sphere_shift.yml
# T_0 unshifted 273.16 K, shifted 163.16 K
# columns after time: max|shifted - unshifted| / max|unshifted|;
# energy_after_shift has the predicted shift removed, relative to it
time,rho,rho_q_tot,u_h,u_3,energy_after_shift
0.0,0.0,0.0,0.0,0.0,5.54474068044277e-16
400.0,3.794102877969762e-5,7.843773030734876e-6,0.0001323109321853001,0.0003452963633861667,3.931437061796709e-5
3600.0,2.9007930947882678e-5,1.0076561197905385e-5,0.0003311417336969286,0.03483725653761793,2.8774206899850116e-5
7200.0,2.9569175936899073e-5,1.6263058162470178e-5,0.0005223685332121535,0.022493803365020326,2.9852118258901913e-5
10800.0,2.899222296733302e-5,2.729394487030953e-5,0.0006276485168756107,0.050132543241105505,2.9780488294027438e-5
14400.0,2.7872194774277466e-5,4.2532735995901965e-5,0.0006930989419878838,0.04442981658190157,3.104551796075491e-5
18000.0,2.7871790326013965e-5,5.8447757370620495e-5,0.0007139483831918618,0.03631378891847308,3.581613412797713e-5
21600.0,2.8614693950663915e-5,7.524998530438594e-5,0.00077618755811523,0.06183334480095264,4.033772103488667e-5
25200.0,2.941536918299507e-5,9.026332213710411e-5,0.0008655715248544741,0.048129331092324305,4.3960062802595995e-5
28800.0,3.0032645543306605e-5,0.00010128505331405894,0.0009365867641715049,0.049673174212001174,4.6738326034127985e-5
32400.0,3.070566485260235e-5,0.00010880219746274791,0.000989723321726435,0.04662653319905103,4.8070084071242595e-5
36000.0,3.1045123832985795e-5,0.00011039205648188098,0.001022460506044995,0.04682814004254729,5.097645490540667e-5
39600.0,3.129612230636861e-5,0.0001075704411506985,0.001035967504167413,0.04020579532957865,5.307103427889817e-5
43200.0,3.139062226637975e-5,0.0001019746433978069,0.0010322294687008036,0.03206575571489883,5.45245017992123e-5
46800.0,3.13210399358012e-5,9.721460865323284e-5,0.0010285698084136748,0.02785045003278259,5.525993515770681e-5
50400.0,3.259566266842205e-5,9.239474644605629e-5,0.0010523382066066863,0.024600467782213625,5.5256395691973796e-5
54000.0,3.372310884721721e-5,8.640423377845885e-5,0.0010621809851742037,0.025875779512062935,5.453169946611638e-5
57600.0,3.402670419609918e-5,8.552587782595053e-5,0.0010585275276783308,0.022079447027485776,5.347061970321311e-5
61200.0,3.384550415499193e-5,8.349523890612068e-5,0.001069355821163127,0.04745250251302011,5.206864874800452e-5
64800.0,3.329394331584007e-5,8.609949910034211e-5,0.0010796944000845735,0.040721137803202766,5.079279960107307e-5
68400.0,3.3011243475944565e-5,9.433459649684716e-5,0.0010814988777558417,0.033956601732176635,4.96293981871738e-5
72000.0,3.36399847928559e-5,9.891734911441877e-5,0.0010741172291857126,0.03591526108508961,4.858624822840133e-5
75600.0,3.469372179648256e-5,9.986592293074085e-5,0.0010580485425376663,0.03386522321570374,4.8840177458696284e-5
79200.0,3.6012163377243815e-5,9.816771609140785e-5,0.0010352381798721597,0.03154286364854963,5.25207885066547e-5
82800.0,3.7354689827823216e-5,9.416908819351944e-5,0.0010046563339735023,0.02884112221817966,5.593100744620703e-5
86400.0,3.858418128373154e-5,8.833943075114688e-5,0.0009711390687351534,0.027469036481271237,5.865077314843163e-5
