time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,increment_left,increment_left_relative,increment_left_gross,increment_left_gross_relative,increment_moved_gross,increment_moved_gross_relative
0.0,2.797045234315121e-9,2.4755373367908736e-17,6.911249350594062e-10,6.116832005920909e-18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,11.467438797990326,1.014293773617027e-7,96.43245574168203,8.529440719625119e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,74096.07312239951,0.0006553789991073923,-85.7132315208297,-7.581326447838401e-7,108.64837382145748,9.60993740817107e-7,1.1583910664965701e6,0.01024595698184122
7200.0,23.172864261141513,2.048320296014516e-7,78.83942889485803,6.968858079505099e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,395460.2919000563,0.0034955943859087167,-56.97281490962893,-5.036001237713318e-7,103.32669977026215,9.133362793417603e-7,2.0746667011947383e6,0.018338613058933646
10800.0,3.6460683593759313,3.2209842754743544e-8,163.70481012042296,1.44618961370118e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,441705.3628624693,0.0039020827037269928,-162.61902570695253,-1.436597652778807e-6,169.91975288338816,1.5010932275103035e-6,3.2891826968391323e6,0.029057068330706055
14400.0,44.05835575525998,3.889942381844624e-7,93.22523284534071,8.230919608458831e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,441705.3628624693,0.003899846877698441,-53.052914811814034,-4.684078156553304e-7,141.1518295572191,1.2462391631670987e-6,4.829314856864223e6,0.042638351375028964
18000.0,61.79846806116984,5.453063220066321e-7,79.20584145201279,6.989080383171545e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,441705.3628624693,0.003897584105073986,-22.2567026263567,-1.9639193381235044e-7,145.56993239880762,1.284501168420148e-6,6.120112792677094e6,0.05400354251398426
21600.0,41.12897736195009,3.627178912343373e-7,115.1307987105943,1.0153425444286736e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,441705.3628624693,0.003895415058692726,-79.91557271566766,-7.047782335339089e-7,162.2698701289942,1.431063665553484e-6,7.204805565289987e6,0.06353943251244246
25200.0,48.91988170274999,4.312090208645899e-7,116.90886363729798,1.0305044669925528e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,441705.3628624693,0.0038934545710452278,-75.30329371118978,-6.637681535369579e-7,173.24831227014496,1.5271139769794736e-6,9.109861350360416e6,0.08029975250083775
28800.0,76.27796948363539,6.72024595455e-7,91.36826207956366,8.049731760966482e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,441705.3628624693,0.0038915150704377103,-23.472810334747837,-2.068002855370326e-7,175.66364328368988,1.5476328173523225e-6,1.05390670420879e7,0.09285134768764026
32400.0,60.739629142335616,5.348594013089741e-7,113.29430440313395,9.976439547033886e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,441705.3628624693,0.0038895572671667285,-61.83696370897199,-5.445222806784118e-7,183.45096738335948,1.615427620644224e-6,1.2042335419612296e7,0.10604207506440519
36000.0,76.69360291620251,6.750072843388085e-7,126.82971950813106,1.1162728217655547e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,441705.3628624693,0.0038876037391209124,-60.973343022825794,-5.36647766253282e-7,214.56064604822075,1.8884234604708158e-6,1.4942095399280677e7,0.13151061958609656
39600.0,94.6664955416054,8.328285990421503e-7,112.44086412509324,9.891986262788632e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,441705.3628624693,0.003885903417439599,-29.981914106212553,-2.637659224504091e-7,219.17643109466803,1.92820489453322e-6,1.6279804569573369e7,0.1432215986742532
43200.0,76.45956892811228,6.723628295043753e-7,140.33916440084565,1.2341010940769099e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,441705.3628624693,0.0038842262877612456,-77.42080912554343,-6.808156914291634e-7,230.64725774941468,2.028243750414382e-6,1.7672030960606806e7,0.15540261220847393
46800.0,89.92433725579758,7.903939358610093e-7,126.37195169818007,1.1107518535392067e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,441705.3628624693,0.0038823888048312967,-51.41859564329863,-4.519460184771321e-7,231.60991137816555,2.035745550371631e-6,2.0521251550446797e7,0.1803724472899105
50400.0,96.98753058401053,8.521473103717082e-7,119.16844970768965,1.0470322657778381e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,441705.3628624693,0.003880891024583587,-38.49570181374528,-3.382291369202304e-7,232.45980271630074,2.04242745909123e-6,2.30271252372913e7,0.20231985203039338
54000.0,86.75371084464132,7.619531110150154e-7,125.03748298361883,1.0981973938091237e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,441705.3628624693,0.0038794741124997486,-55.86846552504257,-4.906896857781015e-7,229.65926405798814,2.0170847911713494e-6,2.4077353738047637e7,0.21147008476177023
57600.0,78.1379930456751,6.859636707761488e-7,128.9388186424257,1.13193776668665e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,441705.3628624693,0.00387767615087755,-69.64406259124802,-6.113965173757502e-7,226.42007407397637,1.9877135193170796e-6,2.618268936235064e7,0.22985455609655903
