time,form_a_max,form_a_relative,initial_min_extratropics,initial_min_tropics,form_a_max_unrepaired
0.0,0.0,0.0,0.0031357680740889526,0.0,0.0
3600.0,0.10810536953213301,8.169481458433969e-5,0.003154111576224675,-2.0755453372622293e-24,0.0032293203367501633
7200.0,0.44402128269346974,0.00017286885574802532,0.003526785653222264,-5.789728439252536e-10,0.028189603939281938
10800.0,1.0031746203950718,0.00026804938609687986,0.003583237986207637,-0.0018019896235008208,0.07717821347907261
14400.0,1.7777917010921556,0.00036637653728410747,0.0036418186837940424,-0.011294976837165432,0.14457211168880235
18000.0,2.7427395921957327,0.00046471158434760977,0.003905345360672793,-0.021668840227304982,0.22336402373113629
21600.0,3.874200589828689,0.000561832226417089,0.003187168824643946,-0.030880226820498406,0.36562288808598
25200.0,5.158435837415766,0.0006579448537141883,0.0017870347888213082,-0.03895638880184797,0.6207177451876191
28800.0,6.653923341164159,0.0007612270938843614,0.001740331361880368,-0.046384435852214814,0.9604572203384407
32400.0,8.463015497023548,0.000881837307908422,0.0022399121260688365,-0.05408466056193889,1.3811835419946021
36000.0,15.636983799242804,0.001502435467900099,0.0024574156182073977,-0.061125963002259774,1.9012081135729773
39600.0,27.74252414501713,0.002482020808684772,0.0028617162115857015,-0.0677806344112307,2.585543510443358
43200.0,42.985939245667915,0.003608586684689234,0.0033592437050283435,-0.07406890707125173,3.381655528772228
46800.0,60.990803213376076,0.00483420382533401,0.0038763510825221585,-0.0791818331136691,4.27633152269857
50400.0,78.68557044857546,0.005919847101203756,0.0038579572304840676,-0.08263019721080718,5.249931018842062
54000.0,95.972268578076,0.006888026103916665,0.004356021988831022,-0.08422358701465898,7.845780868364642
57600.0,113.16976630649309,0.007782692172519138,0.0053926762668146935,-0.08438454014806429,11.513680538109696
61200.0,130.06847937492506,0.008604773663367876,0.006525339117661591,-0.08382201711432016,15.861631876864756
64800.0,146.9564233221052,0.009382762934454244,0.007451533251673666,-0.08265775795929914,20.69170877211614
68400.0,164.6770852758758,0.010175172600478087,0.008483327402984363,-0.08076194254309035,25.78962941589794
72000.0,184.0021192259142,0.011027967463364291,0.009375834534232706,-0.07741580048736099,31.135488311730477
75600.0,205.48816450239752,0.011971659146044448,0.010364146132577402,-0.07248611154219968,36.71871048011827
79200.0,228.43549654299636,0.01295932779091035,0.009672089747884693,-0.06604878312905166,42.532771606331245
82800.0,251.6255723621885,0.01391869327988922,0.0063259185071327375,-0.058697172664664746,48.58611416740034
86400.0,274.19825872022545,0.014811761071003243,0.002141020527830496,-0.05061467815917835,54.85652411705074
