time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction
0.0,7.193520302297007e6,1.496659214535201e-17,5.4364515816972675e6,1.1310895100307929e-17,0.0,0.0,0.0,0.0,0.0
3600.0,1.2662069422283663e20,0.0002634963733266271,1.2689951568229945e20,0.0002640765979401867,0.0,0.0,0.0,0.0,0.0
7200.0,1.2661761749760164e20,0.00026354284320974315,1.2688481497190192e20,0.00026409899000406185,0.0,0.0,0.0,0.0,0.0
10800.0,1.2661465481115786e20,0.000263585905891287,1.2687096021901846e20,0.0002641194815126599,0.0,0.0,0.0,0.0,0.0
14400.0,1.2661188718710505e20,0.00026362621850588514,1.2685789702468747e20,0.0002641384503716124,0.0,0.0,0.0,0.0,0.0
18000.0,1.2661058306476715e20,0.0002636669296608071,1.2684682817445256e20,0.00026415891083023487,0.0,0.0,0.0,0.0,0.0
21600.0,1.2661285771462925e20,0.0002637128652836254,1.268398501572701e20,0.0002641856516066501,0.0,0.0,0.0,0.0,0.0
25200.0,1.2661760431561155e20,0.0002637619911171762,1.2683564439194771e20,0.00026421619876854205,0.0,0.0,0.0,0.0,0.0
28800.0,1.2662369055280569e20,0.0002638122151348288,1.2683342448426007e20,0.00026424918212579517,0.0,0.0,0.0,0.0,0.0
32400.0,1.2663009568803855e20,0.0002638618393773783,1.2683202799320267e20,0.000264282610041578,0.0,0.0,0.0,0.0,0.0
36000.0,1.2663657131458812e20,0.0002639108181160338,1.2683100640537867e20,0.00026431602115768537,0.0,0.0,0.0,0.0,0.0
39600.0,1.2664292709567483e20,0.00026395906519787366,1.2683038546460747e20,0.00026434978054978267,0.0,0.0,0.0,0.0,0.0
43200.0,1.2664907707085727e20,0.0002640064930520828,1.2682986806541833e20,0.00026438336114740065,0.0,0.0,0.0,0.0,0.0
46800.0,1.2665500692651681e20,0.00026405298430636176,1.2682932107552591e20,0.00026441639805817167,0.0,0.0,0.0,0.0,0.0
50400.0,1.2666076420518637e20,0.00026409850216155766,1.268288143765114e20,0.00026444890110959365,0.0,0.0,0.0,0.0,0.0
54000.0,1.2666643392602569e20,0.000264143131027276,1.2682841591081224e20,0.00026448091924239633,0.0,0.0,0.0,0.0,0.0
57600.0,1.2667212835589056e20,0.00026418708111578345,1.2682822408264906e20,0.0002645126339817708,0.0,0.0,0.0,0.0,0.0
61200.0,1.2667797272817615e20,0.000264230634926662,1.2682827116653117e20,0.00026454413419523844,0.0,0.0,0.0,0.0,0.0
64800.0,1.266841512892768e20,0.00026427422185335806,1.2682874707469753e20,0.00026457586131091015,0.0,0.0,0.0,0.0,0.0
68400.0,1.2669027201680438e20,0.00026431707184062755,1.2682926502158757e20,0.00026460705641044325,0.0,0.0,0.0,0.0,0.0
72000.0,1.2669620548004964e20,0.0002643589631165095,1.2682969802577866e20,0.00026463750303677784,0.0,0.0,0.0,0.0,0.0
75600.0,1.2670214237644114e20,0.0002644003511512008,1.2683029008185714e20,0.0002646677680841406,0.0,0.0,0.0,0.0,0.0
79200.0,1.2670930398073261e20,0.00026444389823700295,1.2683213059776707e20,0.00026470023891914254,0.0,0.0,0.0,0.0,0.0
82800.0,1.2671916002357792e20,0.00026449279662212505,1.2683673608363265e20,0.000264738205611057,0.0,0.0,0.0,0.0,0.0
86400.0,1.2673015864620954e20,0.00026454396864985315,1.2684243185101213e20,0.00026477833432483373,0.0,0.0,0.0,0.0,0.0
