# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c10_sphere_enthalpy_repair
# generated: 1789114508 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,min_e_src_rad,min_e_src_mp,min_e_src_new_tropics,min_e_src_new_extratropics,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc,max_e_src_rad,max_e_src_mp,max_e_src_new_tropics,max_e_src_new_extratropics
0.0,sphere,true,3.801784917881153e-11,0.0,0.0031357680740889526,0.0,0.0,0.0,0.0,0.0,217406.80386903352,222808.42859456438,0.0,0.0,0.0,0.0,0.0
3600.0,sphere,true,1183.923658900568,0.0,0.003154111590509186,-1.9350334919086876e-26,1.3687997186059197e-9,0.0,0.0,1.6906214247842576e-19,215718.09192309418,221365.88402643922,1057.9922242575178,304.37605362144086,1.479481465310201,87.92355190594454,1323.2831249103053
7200.0,sphere,true,1183.8417668019044,2.280074326205944e-30,0.003531582424683667,-1.9115721416871586e-26,5.083154320510961e-23,0.0,0.0,5.044702836483504e-23,215823.195395023,221399.99920031248,2060.51788146794,583.547985552529,1.484475618493165,181.38209594039793,2568.544118442467
10800.0,sphere,true,1183.804879387812,0.0,0.0035906533410288944,-1.8899386535119796e-26,1.177497231447935e-22,0.0,0.0,1.1175732431443281e-22,215914.0893031938,221416.7585598188,3007.291561056599,842.0705182261713,2.010313841899652,274.6031835550484,3742.49922748377
14400.0,sphere,true,1183.8240310390772,0.0,0.0036514519220346986,0.0,2.3762238368128955e-22,0.0,0.0,1.9557637090993845e-22,216007.9485854255,221420.511964816,3902.6739295020902,1081.1231826407043,16.231506725976736,367.58663608922086,4852.3623108364145
18000.0,sphere,true,1183.7016367749175,0.0,0.003917651759372532,0.0,3.3665396887587066e-22,0.0,0.0,3.058198285318443e-22,216097.2539493051,221409.10649302704,4755.405473801937,1301.273950907967,28.025489109632694,460.32824175862095,5902.025438092223
21600.0,sphere,true,1183.5975719581877,0.0,0.003203046817243538,0.0,5.883184121897813e-22,0.0,0.0,4.831715318539566e-22,216190.33481258663,221422.41121668863,5571.607394698629,1502.5052014460446,38.674696635440675,552.8206609878911,6895.6539117294915
25200.0,sphere,true,1183.6264817642516,0.0,0.0017911632764245253,0.0,1.0346000710479743e-21,0.0,0.0,7.642961527782697e-22,216282.57654488302,221447.8672130514,6357.29037088292,1685.5402803605036,48.13940568174046,645.0573423971191,7840.22522297377
28800.0,sphere,true,1183.6856893133695,0.0,0.0017443443045072186,-5.148407328372879e-41,1.723542207693533e-21,0.0,0.0,1.7806857724194693e-21,216371.45120325295,221503.6427923303,7114.867742569562,1852.5000420941797,56.59172376677826,737.0251763063143,8741.049017594429
32400.0,sphere,true,1183.6552938019645,0.0,0.0022441182486696008,-5.318542464277065e-37,2.701316304725978e-21,0.0,0.0,2.804736701536746e-21,216454.1146612817,221541.16867732018,7842.413369151819,2003.0193034799836,64.10512737100129,828.7326671175246,9597.025915241074
