time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction
0.0,4.806384935485137e23,4.806384935485137e23,0.0,0.0,1.2629971883994274e7,2.6277487245659936e-17,4.806384935485137e23,0.0
3600.0,4.8054055782346215e23,4.805408366449216e23,-2.7882145947897037e17,-5.802246135931818e-7,2.5352020990513604e20,0.0005275729712668137,4.8054055782346215e23,0.0
7200.0,4.804441507707032e23,4.804444179681776e23,-2.6719747442527437e17,-5.561467945788293e-7,2.5350243246950348e20,0.0005276418332138048,4.804441507707032e23,0.0
10800.0,4.803544194938049e23,4.803546757992129e23,-2.5630540796893594e17,-5.3357562159838e-7,2.5348561503017632e20,0.0005277053874039469,4.803544194938049e23,0.0
14400.0,4.802704674242353e23,4.802707134340728e23,-2.460098375094108e17,-5.122318655752447e-7,2.534697842117925e20,0.0005277646688774975,4.802704674242353e23,0.0
18000.0,4.801913657797155e23,4.801916020248252e23,-2.362451097068503e17,-4.919811694723934e-7,2.5345741123921976e20,0.0005278258404910421,4.801913657797155e23,0.0
21600.0,4.801163476740358e23,4.801165746664785e23,-2.26992442669269e17,-4.7278632308387965e-7,2.5345270787189935e20,0.0005278985168902754,4.801163476740358e23,0.0
25200.0,4.800449214813583e23,4.8004513952143466e23,-2.180400763895808e17,-4.542076514771504e-7,2.5345324870755926e20,0.0005279781898857182,4.800449214813583e23,0.0
28800.0,4.799766018722485e23,4.7997681160617995e23,-2.0973393142611968e17,-4.369669909074919e-7,2.5345711503706574e20,0.0005280613972606239,4.799766018722485e23,0.0
32400.0,4.799106077136478e23,4.79910809645953e23,-2.0193230519795712e17,-4.2077066427013787e-7,2.534621236812412e20,0.0005281444494189563,4.799106077136478e23,0.0
36000.0,4.7984607913613363e23,4.798462735712244e23,-1.9443509074958746e17,-4.052030415662221e-7,2.534675777199668e20,0.0005282268392737192,4.7984607913613363e23,0.0
39600.0,4.7978245036115176e23,4.7978263781952065e23,-1.874583688923054e17,-3.9071535182497374e-7,2.5347331256028234e20,0.0005283088457476564,4.7978245036115176e23,0.0
43200.0,4.7971955388942706e23,4.797197346804216e23,-1.8079099453754573e17,-3.7686809526888106e-7,2.5347894513627562e20,0.0005283898541994835,4.7971955388942706e23,0.0
46800.0,4.796575477426458e23,4.7965772205679475e23,-1.7431414895856845e17,-3.6341375170456926e-7,2.5348432800204272e20,0.0005284693823645334,4.796575477426458e23,0.0
50400.0,4.795966776354675e23,4.795968456856388e23,-1.680501713540219e17,-3.503989480964539e-7,2.534895785816978e20,0.0005285474032711514,4.795966776354675e23,0.0
54000.0,4.79537110934548e23,4.795372729165328e23,-1.6198198479971942e17,-3.3778821514781227e-7,2.534948498368379e20,0.0005286240502696722,4.79537110934548e23,0.0
57600.0,4.794788898113259e23,4.794790459070527e23,-1.5609572681895117e17,-3.255528661134061e-7,2.5350035243853965e20,0.0005286997150975543,4.794788898113259e23,0.0
61200.0,4.7942197453121216e23,4.794221248296506e23,-1.502984384146309e17,-3.1349926870080487e-7,2.5350624389470736e20,0.0005287747691219005,4.7942197453121216e23,0.0
64800.0,4.7936628249565706e23,4.7936642709144245e23,-1.445957853868196e17,-3.0163945748130417e-7,2.535128983639743e20,0.0005288500831642681,4.7936628249565706e23,0.0
68400.0,4.79311726384414e23,4.793118653774187e23,-1.3899300470993715e17,-2.8998456966283987e-7,2.5351953703839197e20,0.0005289241282510708,4.79311726384414e23,0.0
72000.0,4.792582176387622e23,4.792583511313079e23,-1.3349254565619302e17,-2.7853992011632476e-7,2.535259035058283e20,0.0005289964661532874,4.792582176387622e23,0.0
75600.0,4.7920565091831084e23,4.792057790660163e23,-1.2814770548139622e17,-2.674169330762781e-7,2.5353243245829826e20,0.0005290681192353414,4.7920565091831084e23,0.0
79200.0,4.791538198668201e23,4.791539426934372e23,-1.2282661707972608e17,-2.5634068223407985e-7,2.5354143457849973e20,0.0005291441371561455,4.791538198668201e23,0.0
82800.0,4.791024997350637e23,4.791026173111238e23,-1.1757606009411994e17,-2.454089890141205e-7,2.5355589610721057e20,0.000529231002233182,4.791024997350637e23,0.0
86400.0,4.790514003891273e23,4.790515126623321e23,-1.122732047681454e17,-2.3436567490867853e-7,2.5357259049722164e20,0.0005293223029746868,4.790514003891273e23,0.0
