# where_negative.csv, from analysis/where_negative.jl
# run: c0_sphere
# geometry: sphere
# specific e_tot at t = 0, recovered as the sum of the
# region tags: tropics + extratropics
# smallest constant making the field positive: 100416.38783695316 J/kg
# NOTE: sphere. Horizontal statistics are over the bilinearly remapped
# lat-lon grid, not the model's own columns. The vertical structure is not affected.
level,z,fraction_negative,minimum,maximum,mean
1,250.00000000014066,1.0,-100416.38783695316,-8813.55517558885,-58502.560368250764
2,869.0564285175594,1.0,-95884.51354591473,-8590.321837960955,-55852.91292799869
3,1777.5110845151016,1.0,-88890.3621831805,-12080.593559393425,-53336.20587758692
4,3093.8777937241703,1.0,-78113.34493900667,-18960.799103683832,-50066.23191275459
5,4966.866480399572,1.0,-61742.44911517443,-23454.93153298689,-42784.39842087765
6,7564.234138981057,1.0,-37861.90609167732,-19067.127759776875,-28067.32727315977
7,11041.497772441604,1.0,-5901.356268515432,-4390.756695916841,-5002.376840157066
8,15485.326290822684,0.0,21594.33290607304,31412.124223556628,26153.094471976357
9,20841.831522348202,0.0,59853.52096183739,70432.62559855901,64685.6568741413
10,26865.212207659148,0.0,106911.76534584102,112313.42859456438,109381.02079163007
