time,form_a_max,form_a_relative,initial_min_extratropics,initial_min_tropics,form_a_max_unrepaired
0.0,0.0,0.0,0.0031357680740889526,0.0,0.0
3600.0,1.502655012625901,0.0011164736404589112,-5397.265517560024,-4589.607308361778,1.502655012625901
7200.0,1.5080877724216322,0.000571284446848177,-8105.047680637425,-7620.205946988425,1.5080877724216322
10800.0,2.019286228290639,0.0005197122792088474,-9274.232826801352,-9561.685312003665,2.019286228290639
14400.0,16.52261915458439,0.0032419540248178644,-9616.608787538087,-10732.36984094252,16.52261915458439
18000.0,28.864642041957268,0.0046096306828486335,-9582.219456370774,-11367.652333665395,28.864642041957268
21600.0,40.2628430410532,0.0054556632001822045,-9295.882294139068,-11630.216407920137,40.2628430410532
25200.0,50.568376811448616,0.005981454182256358,-8874.300091003213,-11637.75886749848,50.568376811448616
28800.0,59.90535646987519,0.006315238082352104,-8387.760025216734,-11469.935848572193,59.90535646987519
32400.0,68.36873178923997,0.006526909668492179,-7883.919463872403,-11199.058346120228,68.36873178923997
36000.0,76.2448598952833,0.006674494340817265,-7399.0838130639995,-10932.317815751096,76.2448598952833
39600.0,83.68197178646005,0.006785211455829998,-6923.230452245086,-10598.91851497221,83.68197178646005
43200.0,90.5629208501141,0.0068580677518412115,-6456.8462020529605,-10217.580188746811,90.5629208501141
46800.0,96.92293920472912,0.006902756049426094,-5992.143071270152,-9805.621623714667,96.92293920472912
50400.0,102.73342264024359,0.006922079247454658,-5519.753976649279,-9378.837875083946,102.73342264024359
54000.0,108.12726054779341,0.006928037650564516,-5508.273305014856,-8952.564804960577,108.12726054779341
57600.0,113.33572525104682,0.006935879406295241,-5745.596139587355,-8540.22207543954,113.33572525104682
61200.0,118.57660005990692,0.006957434777515572,-5980.357299519348,-8151.87645986071,118.57660005990692
64800.0,123.68542899598833,0.006981405089606174,-6198.136718325925,-7792.374167962268,123.68542899598833
68400.0,128.58786880473417,0.007003196107550844,-6451.6907154624105,-7457.892141768159,128.58786880473417
72000.0,133.21653093630084,0.007019300143155546,-6682.872277080913,-7139.062609818537,133.21653093630084
75600.0,137.56862803173135,0.007029888752484955,-6886.290329024606,-6969.173411735449,137.56862803173135
79200.0,141.62563441382736,0.007034083529922294,-7063.882416245176,-7204.332142052491,141.62563441382736
82800.0,145.35829646874117,0.007030096436361841,-7217.997789510197,-7430.977962127921,145.35829646874117
86400.0,148.78116354173108,0.007018592841467289,-7352.035893840106,-7653.47034839477,148.78116354173108
