exclusive_s,inferences,specializations,method
138.422180,5550,5550,UnrolledUtilities._unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:21
23.938898,10119,10107,UnrolledUtilities.unrolled_map_into_tuple /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:153
21.269146,6985,6975,UnrolledUtilities.unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:163
21.173276,5429,5429,UnrolledUtilities.output_type_for_promotion /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:34
21.075954,4549,4545,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:10
18.670184,5428,5415,UnrolledUtilities.unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:157
16.418920,4641,4637,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:3
14.746639,88597,88597,Base.== tuple.jl:547
14.392115,2889,2838,UnrolledUtilities.unrolled_reduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:174
12.806765,88578,88578,Base.isequal tuple.jl:533
12.345400,2828,2820,UnrolledUtilities.first_reduction_value /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:60
11.898517,88889,88889,ClimaCore.MatrixFields.#46 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:54
11.231422,189347,189347,UnrolledUtilities.#60 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:405
11.207645,2133,2125,Base.ntuple ntuple.jl:69
10.268764,89537,89006,Base.!= operators.jl:277
8.137434,320,95,ClimaCore.Fields.copyto! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:170
7.771900,320,95,ClimaCore.Fields.#copyto!#10 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:170
7.681037,381,122,Base.Broadcast.materialize! broadcast.jl:882
6.505135,89175,89151,Base.Fix2 operators.jl:1144
6.300009,390,122,Base.Broadcast.materialize! broadcast.jl:879
6.052322,2386,2385,UnrolledUtilities._unrolled_reduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:66
4.803380,3741,3741,UnrolledUtilities.unrolled_append /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:120
4.422705,1468,1336,Base.ntuple ntuple.jl:48
4.361273,210,105,ClimaCore.DataLayouts.#foreach_slice#53 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:201
4.300555,32,10,ClimaCore.Fields.level /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:153
3.850088,6,6,ClimaCore.MatrixFields.check_field_matrix_solver /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_matrix_solver.jl:512
